index,active,DrugBank ID,Route_Unique
0,troglitazone,DB00197,
1,imiquimod,DB00724,topical
2,anagrelide,DB00261,
3,nelfinavir,DB00220,oral
4,delavirdine,DB00705,
5,tamsulosin,DB00706,oral
6,toremifene,DB00539,oral
7,tazarotene,DB00799,topical
8,cerivastatin,DB00439,
9,pramipexole,DB00413,oral
10,bromfenac,DB00963,ophthalmic
11,letrozole,DB01006,oral
12,dolasetron,DB00757,oral
13,arbutamine,DB01102,
14,ropinirole,DB00268,
15,fenoldopam,DB00800,injection
16,quetiapine,DB01224,oral
17,tiagabine,DB00906,oral
18,irbesartan,DB01029,oral
19,grepafloxacin,DB00365,
20,clopidogrel,DB00758,
21,sibutramine,DB01105,
22,zolmitriptan,DB00315,nasal oral
23,mangafodipir,DB06796,
24,cefdinir,DB00535,
25,fomepizole,DB01213,
26,raloxifene,DB00481,oral
27,alatrofloxacin,DB09335,
28,trovafloxacin,DB00685,
29,eprosartan,DB00876,
30,repaglinide,DB00912,
31,talc,DB09511,intrapleural
32,emedastine,DB01084,
33,tolcapone,DB00323,oral
34,naratriptan,DB00952,oral
35,montelukast,DB00471,oral
36,loteprednol etabonate,DB14596,ophthalmic
37,tolterodine,DB01036,oral
38,sildenafil,DB00203,intravenous oral
39,brinzolamide,DB01194,ophthalmic
40,paricalcitol,DB00910,intravenous
41,capecitabine,DB01101,oral
42,tirofiban,DB00775,injection intravenous
43,rifapentine,DB01201,oral
44,rizatriptan,DB00953,oral
45,thalidomide,DB01041,oral
46,citalopram,DB00215,oral
47,leflunomide,DB01097,oral
48,efavirenz,DB00625,oral
49,valrubicin,DB00385,intravesical
50,sevelamer,DB00658,oral
51,telmisartan,DB00966,oral
52,abacavir,DB01048,oral
53,modafinil,DB00745,oral
54,celecoxib,DB00482,oral
55,cilostazol,DB01166,
56,alitretinoin,DB00523,topical
57,amprenavir,DB00701,
58,orlistat,DB01083,oral
59,rofecoxib,DB00533,
60,rosiglitazone,DB00412,
61,doxercalciferol,DB06410,injection oral
62,ketotifen,DB00920,ophthalmic
63,pioglitazone,DB01132,oral
64,zanamivir,DB00558,inhalation
65,ganirelix,DB06785,injection
66,temozolomide,DB00853,intravenous oral
67,zaleplon,DB00962,oral
68,rapacuronium,DB04834,
69,rabeprazole,DB01129,oral
70,epirubicin,DB00445,injection
71,sirolimus,DB00877,intravenous oral
72,dofetilide,DB00204,oral
73,entacapone,DB00494,oral
74,exemestane,DB00990,oral
75,oseltamivir,DB00198,oral
76,levetiracetam,DB01202,intravenous oral
77,aminolevulinic acid,DB00855,oral topical
78,gadoversetamide,DB00538,
79,moxifloxacin,DB00218,intravenous ophthalmic
80,dexmedetomidine,DB00633,injection intravenous
81,gatifloxacin,DB01044,ophthalmic
82,nitric oxide,DB00435,inhalation
83,bexarotene,DB00307,oral topical
84,cevimeline,DB00185,oral
85,oxcarbazepine,DB00776,oral
86,pantoprazole,DB00213,intravenous oral
87,alosetron,DB00969,oral
88,zonisamide,DB00909,oral
89,verteporfin,DB00460,injection
90,meloxicam,DB00814,intravenous oral
91,linezolid,DB00601,intravenous oral
92,rivastigmine,DB00989,transdermal
93,argatroban,DB00278,injection intravenous
94,balsalazide,DB01014,oral
95,docosanol,DB00632,topical
96,cetrorelix,DB00050,injection
97,arsenic trioxide,DB01169,injection
98,mifepristone,DB00834,oral
99,bivalirudin,DB00006,intravenous
100,nateglinide,DB00731,
101,caspofungin,DB00520,intravenous
102,ziprasidone,DB00246,oral intramuscular
103,formoterol,DB00983,inhalation
104,galantamine,DB00674,oral
105,travoprost,DB00287,ophthalmic
106,bimatoprost,DB00905,topical ophthalmic
107,almotriptan,DB00918,
108,imatinib,DB00619,oral
109,zoledronic acid,DB00399,intravenous
110,tenofovir disoproxil,DB00300,oral
111,frovatriptan,DB00998,oral
112,valdecoxib,DB00580,
113,dutasteride,DB01126,oral
114,bosentan,DB00559,oral
115,ertapenem,DB00303,"intramuscular, intravenous"
116,fondaparinux,DB00569,subcutaneous
117,pimecrolimus,DB00337,topical
118,desloratadine,DB00967,oral
119,nitisinone,DB00348,oral
120,fulvestrant,DB00947,intramuscular
121,treprostinil,DB00374,"(infusion), inhalation subcutaneous iv"
122,voriconazole,DB00582,intravenous oral
123,tegaserod,DB01079,
125,adefovir dipivoxil,DB00718,oral
126,eplerenone,DB00700,oral
127,ezetimibe,DB00973,oral
128,aripiprazole,DB01238,oral intramuscular
129,nitazoxanide,DB00507,oral
130,atomoxetine,DB00289,oral
131,eletriptan,DB00216,oral
132,aprepitant,DB00673,intravenous oral
133,gemifloxacin,DB01155,
