pref_name,SMILES,molecule_chembl_id,first_approval,molecule_type,indication_class,polymer_flag,withdrawn_flag,inorganic_flag,therapeutic_flag,natural_product,oral,parenteral,topical,mw
ACETOHYDROXAMIC ACID,CC(=O)NO,CHEMBL734,1983,Small molecule,Enzyme Inhibitor (urease),0,False,0,True,0,True,False,False,75.0320284
HYDROXYUREA,NC(=O)NO,CHEMBL467,1967,Small molecule,Antineoplastic,0,False,0,True,0,True,False,False,76.027277368
CYSTEAMINE,NCCS,CHEMBL602,1994,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,True,False,True,77.029920224
DIMETHYL SULFOXIDE,C[S+](C)[O-],CHEMBL504,1978,Small molecule,Anti-Inflammatory (topical),0,False,0,True,0,False,True,False,78.013935812
FOMEPIZOLE,Cc1cn[nH]c1,CHEMBL1308,1997,Small molecule,Antidote (alcohol dehydrogenase inhibitor),0,False,0,True,0,False,True,False,82.053098192
LACTIC ACID,CC(O)C(=O)O,CHEMBL1200559,2006,Small molecule,,0,False,0,True,0,False,True,False,90.031694052
DALFAMPRIDINE,Nc1ccncc1,CHEMBL284348,2010,Small molecule,Multiple Sclerosis Symptomatic Treatment,0,False,0,True,0,True,False,False,94.053098192
GUANIDINE HYDROCHLORIDE,Cl.N=C(N)N,CHEMBL1200728,1939,Small molecule,,0,False,0,True,0,True,False,False,95.025024872
CYCLOSERINE,N[C@@H]1CONC1=O,CHEMBL771,1964,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,102.042927432
OXYBATE,O=C(O)CCCO,CHEMBL1342,2002,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,104.047344116
AMIFAMPRIDINE,Nc1ccncc1N,CHEMBL354077,2018,Small molecule,,0,False,0,True,0,True,False,False,109.063997224
BETAZOLE,NCCc1cc[nH]n1,CHEMBL1201323,1982,Small molecule,,0,False,0,True,0,False,True,False,111.079647288
HISTAMINE,NCCc1c[nH]cn1,CHEMBL90,1939,Small molecule,Stimulant (gastric secretory),0,False,0,True,0,False,True,False,111.079647288
CYSTEAMINE HYDROCHLORIDE,Cl.NCCS,CHEMBL1256137,2012,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,False,False,True,113.006597936
METHIMAZOLE,Cn1ccnc1S,CHEMBL1515,1950,Small molecule,Thyroid Inhibitor,0,False,0,True,0,True,False,False,114.025169192
BETAINE,C[N+](C)(C)CC(=O)O,CHEMBL95889,1996,Small molecule,Replenisher Adjunct (electrolyte),0,False,0,True,0,True,False,False,118.08625504409
TROMETHAMINE,NC(CO)(CO)CO,CHEMBL1200391,1965,Small molecule,Alkalizer,0,False,0,True,0,False,True,False,121.073893212
PYRAZINAMIDE,NC(=O)c1cnccn1,CHEMBL614,1971,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,123.04326178
DIMERCAPROL,OCC(S)CS,CHEMBL1597,1946,Small molecule,Antidote (to arsenic and gold and mercury poisoning),0,False,0,True,0,False,True,False,124.001656876
MEQUINOL,COc1ccc(O)cc1,CHEMBL544,1999,Small molecule,,0,False,0,True,0,False,False,True,124.052429496
FOSCARNET,O=C(O)P(=O)(O)O,CHEMBL666,1991,Small molecule,Antiviral,0,False,0,True,0,False,True,False,125.971809826
SODIUM OXYBATE,O=C([O-])CCCO.[Na+],CHEMBL1200682,2002,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,126.029288364
PYRITHIONE,On1ccccc1=S,CHEMBL1650619,1986,Small molecule,,0,False,0,True,0,False,False,True,127.00918478
FLUCYTOSINE,Nc1nc(=O)[nH]cc1F,CHEMBL1463,1971,Small molecule,Antifungal,0,False,0,True,1,True,False,False,129.033839968
VIGABATRIN,C=CC(N)CCC(=O)O,CHEMBL89598,2009,Small molecule,Anticonvulsant (tardive dyskinesia),0,False,0,True,0,True,False,False,129.078978592
METFORMIN,CN(C)C(=N)NC(=N)N,CHEMBL1431,1995,Small molecule,Antidiabetic,0,False,0,True,0,True,False,False,129.10144535199998
FLUOROURACIL,O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185,1962,Small molecule,Antineoplastic,0,False,0,True,1,False,True,True,130.017855556
MONOMETHYL FUMARATE,COC(=O)/C=C/C(=O)O,CHEMBL589586,2020,Small molecule,,0,False,0,True,0,True,False,False,130.026608672
AMINOCAPROIC ACID,NCCCCCC(=O)O,CHEMBL1046,1964,Small molecule,Hemostatic,0,False,0,True,0,True,True,False,131.094628656
DEXTROAMPHETAMINE,C[C@H](N)Cc1ccccc1,CHEMBL612,1955,Small molecule,Stimulant (central),0,False,0,True,0,True,False,True,135.104799416
AMPHETAMINE,CC(N)Cc1ccccc1,CHEMBL405,1955,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,135.104799416
ALLOPURINOL,Oc1ncnc2[nH]ncc12,CHEMBL1467,1966,Small molecule,Xanthine Oxidase Inhibitor,0,False,0,True,0,True,True,False,136.038510748
PHENELZINE,NNCCc1ccccc1,CHEMBL1089,1961,Small molecule,Antidepressant,0,False,0,True,0,True,False,False,136.100048384
ISONIAZID,NNC(=O)c1ccncc1,CHEMBL64,1952,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,True,False,137.058911844
PRALIDOXIME,C[n+]1ccccc1C=NO,CHEMBL1420,1964,Small molecule,Cholinesterase Reactivator,0,False,0,True,0,True,True,False,137.07093932809
FOSFOMYCIN,C[C@@H]1O[C@@H]1P(=O)(O)O,CHEMBL1757,1996,Small molecule,Antibacterial,0,False,0,True,0,True,False,False,138.008195334
DEFERIPRONE,Cc1c(O)c(=O)ccn1C,CHEMBL70927,1999,Small molecule,,0,False,0,True,0,True,False,False,139.063328528
METHENAMINE,C1N2CN3CN1CN(C2)C3,CHEMBL1201270,1967,Small molecule,Antibacterial (urinary),0,False,0,True,0,True,False,False,140.106196384
ETHOSUXIMIDE,CCC1(C)CC(=O)NC1=O,CHEMBL696,1960,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,141.078978592
MESNA,O=S(=O)(O)CCS,CHEMBL1098319,1988,Small molecule,Detoxifying Agent,0,False,0,True,0,True,True,False,141.975836052
TRIMETHADIONE,CN1C(=O)OC(C)(C)C1=O,CHEMBL695,1946,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,143.058243148
ETHCHLORVYNOL,C#CC(O)(/C=C/Cl)CC,CHEMBL591,1961,Small molecule,Sedative-Hypnotic,0,False,0,True,0,True,False,False,144.034192588
DIMETHYL FUMARATE,COC(=O)/C=C/C(=O)OC,CHEMBL2107333,2013,Small molecule,,0,False,0,True,0,True,False,False,144.042258736
VALPROIC ACID,CCCC(CCC)C(=O)O,CHEMBL109,1978,Small molecule,Anticonvulsant,0,False,0,True,0,True,True,False,144.115029752
METHYL AMINOLEVULINATE,COC(=O)CCC(=O)CN,CHEMBL1096562,2004,Small molecule,,0,False,0,True,0,False,False,True,145.073893212
ISOSORBIDE,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1200660,1974,Small molecule,Diuretic,0,False,0,True,1,True,False,False,146.0579088
GLUTAMINE,NC(=O)CC[C@H](N)C(=O)O,CHEMBL930,2004,Small molecule,,0,False,0,True,0,True,False,False,146.06914218
ACETYLCHOLINE,CC(=O)OCC[N+](C)(C)C,CHEMBL667,1973,Small molecule,Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic,0,False,0,True,0,False,False,True,146.11755517209
TRIENTINE,NCCNCCNCCN,CHEMBL609,1985,Small molecule,Chelating Agent,0,False,0,True,0,True,False,False,146.15314657599998
BETAZOLE HYDROCHLORIDE,Cl.NCCc1cc[nH]n1,CHEMBL1200949,1982,Small molecule,,0,False,0,True,0,False,True,False,147.056325
CARBACHOL,C[N+](C)(C)CCOC(N)=O,CHEMBL965,1972,Small molecule,Cholinergic (ophthalmic),0,False,0,True,0,False,True,False,147.11280414009
PENICILLAMINE,CC(C)(S)[C@@H](N)C(=O)O,CHEMBL1430,1970,Small molecule,Chelating Agent,0,False,0,True,0,True,False,False,149.051049592
METHAMPHETAMINE,CN[C@@H](C)Cc1ccccc1,CHEMBL1201201,1943,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,149.12044948
PHENTERMINE,CC(C)(N)Cc1ccccc1,CHEMBL1574,1959,Small molecule,"Anorexic,Appetite Suppressant (systemic)",0,False,0,True,0,True,False,False,149.12044948
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,CHEMBL112,1968,Small molecule,Analgesic; Antipyretic,0,False,0,True,0,True,True,True,151.063328528
HYDROXYAMPHETAMINE,CC(N)Cc1ccc(O)cc1,CHEMBL1546,1969,Small molecule,Adrenergic (ophthalmic),0,False,0,True,0,False,False,True,151.099714036
PHENYLPROPANOLAMINE,CC(N)C(O)c1ccccc1,CHEMBL61006,1958,Small molecule,Adrenergic (vasoconstrictor),0,True,0,True,0,True,False,False,151.099714036
AMANTADINE,NC12CC3CC(CC(C3)C1)C2,CHEMBL660,1968,Small molecule,Antiviral,0,False,0,True,0,True,False,False,151.136099544
MERCAPTOPURINE,Sc1ncnc2nc[nH]c12,CHEMBL1425,1953,Small molecule,Antineoplastic,0,False,0,True,0,True,False,False,152.015667128
TAVABOROLE,OB1OCc2cc(F)ccc21,CHEMBL443052,2014,Small molecule,,0,False,0,True,0,False,False,True,152.044488052
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,CHEMBL704,1987,Small molecule,Anti-Inflammatory,0,False,0,True,0,True,False,True,153.042593084
AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,CHEMBL1169,1950,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,153.042593084
MECHLORETHAMINE,CN(CCCl)CCCl,CHEMBL427,1949,Small molecule,Antineoplastic,0,False,0,True,0,False,True,True,155.026854712
MENTHOL,CC1CCC(C(C)C)C(O)C1,CHEMBL256087,2008,Small molecule,Antipruritic (topical),0,False,0,True,0,False,False,True,156.15141526
PARAMETHADIONE,CCC1(C)OC(=O)N(C)C1=O,CHEMBL1100,1949,Small molecule,,0,False,0,True,0,True,False,False,157.073893212
TRANEXAMIC ACID,NC[C@H]1CC[C@H](C(=O)O)CC1,CHEMBL877,1986,Small molecule,Hemostatic,0,False,0,True,0,True,True,False,157.11027872
ALLOPURINOL SODIUM,O=c1[n-]cnc2[nH]ncc12.[Na+],CHEMBL1200477,1996,Small molecule,,0,False,0,True,0,False,True,False,158.02045499599998
SODIUM PHENYLACETATE,O=C([O-])Cc1ccccc1.[Na+],CHEMBL1200358,1987,Small molecule,Antihyperammonemic,0,False,0,True,0,True,True,False,158.034373744
PARGYLINE,C#CCN(C)Cc1ccccc1,CHEMBL673,1982,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,159.104799416
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059,2004,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,159.125928784
HYDRALAZINE,NNc1nncc2ccccc12,CHEMBL276832,1953,Small molecule,Antihypertensive,0,False,0,True,0,True,True,False,160.074896256
TOLAZOLINE,c1ccc(CC2=NCCN2)cc1,CHEMBL770,1985,Small molecule,Vasodilator (peripheral),0,False,0,True,0,False,True,False,160.100048384
METHACHOLINE,CC(=O)OC(C)C[N+](C)(C)C,CHEMBL978,1986,Small molecule,Cholinergic,0,False,0,True,0,False,False,True,160.13320523609
BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,CHEMBL1482,1948,Small molecule,Cholinergic,0,False,0,True,0,True,True,False,161.12845420409
NICOTINE,CN1CCC[C@H]1c1cccnc1,CHEMBL3,1984,Small molecule,Smoking Cessation Adjunct,0,False,0,True,0,True,False,True,162.115698448
TIOPRONIN,CC(S)C(=O)NCC(=O)O,CHEMBL1314,1988,Small molecule,,0,False,0,True,0,True,False,False,163.030314148
MIGALASTAT,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL110458,2018,Small molecule,,0,False,0,True,1,True,False,False,163.084457896
MEPHENTERMINE,CNC(C)(C)Cc1ccccc1,CHEMBL1201234,1951,Small molecule,Adrenergic (vasoconstrictor),0,False,0,True,0,False,True,False,163.136099544
PHENYLBUTANOIC ACID,O=C(O)CCCc1ccccc1,CHEMBL1469,1996,Small molecule,Antihyperammonemic,0,False,0,True,0,True,False,False,164.083729624
