pref_name,SMILES,molecule_chembl_id,first_approval,molecule_type,indication_class,polymer_flag,withdrawn_flag,inorganic_flag,therapeutic_flag,natural_product,oral,parenteral,topical,mw
NITROPRUSSIDE,not found,CHEMBL2097081,1981.0,Small molecule,Antihypertensive,0,False,0,True,0,False,True,False,
SODIUM NITROPRUSSIDE,not found,CHEMBL136478,1981.0,Small molecule,Antihypertensive,0,False,0,True,0,False,True,False,
FERRIC CITRATE,not found,CHEMBL3991241,2014.0,Small molecule,,0,False,0,True,0,True,False,False,
FERRIC CITRATE,not found,CHEMBL3301597,2014.0,Small molecule,,0,False,0,True,0,True,False,False,
GOLD SODIUM THIOMALATE,not found,CHEMBL306043,,Small molecule,,0,False,0,True,0,False,False,False,
BISMUTH SUBSALICYLATE,not found,CHEMBL1120,1996.0,Small molecule,Antidiarrheal; Anti-Ulcerative; Antacid,0,False,0,True,0,True,False,False,
CARBOPLATIN,not found,CHEMBL1351,1989.0,Small molecule,Antineoplastic,0,False,0,True,0,False,True,False,
AUROTHIOGLUCOSE,not found,CHEMBL2354773,,Small molecule,,0,False,0,True,1,False,False,False,
BISMUTH SUBGALLATE,not found,CHEMBL1592101,,Small molecule,,0,False,0,True,0,False,False,False,
OXALIPLATIN,not found,CHEMBL414804,2002.0,Small molecule,,0,False,0,True,0,False,True,False,
THIMEROSAL,not found,CHEMBL508338,,Small molecule,,0,False,0,True,0,False,False,False,
DICOBALT EDETATE,not found,CHEMBL3833337,,Small molecule,,0,False,0,True,0,False,False,False,
FERRIC MALTOL,not found,CHEMBL4298110,2019.0,Small molecule,,0,False,0,True,0,True,False,False,
LANTHANUM CARBONATE,not found,CHEMBL2096647,2004.0,Small molecule,,0,False,0,True,0,True,False,False,
MERSALYL,not found,CHEMBL1200943,,Small molecule,,0,False,0,True,0,False,True,False,
PENTETATE CALCIUM TRISODIUM YB,not found,CHEMBL2110560,1976.0,Small molecule,,0,False,0,True,0,False,True,False,
AURANOFIN,not found,CHEMBL1366,1985.0,Small molecule,Antirheumatic,0,False,0,True,1,True,False,False,
GADOXETATE DISODIUM,not found,CHEMBL2103740,2008.0,Small molecule,,0,False,0,True,0,False,True,False,
GADOXETIC ACID,not found,CHEMBL2221312,2008.0,Small molecule,,0,False,0,True,0,False,True,False,
SAMARIUM LEXIDRONAM PENTASODIUM,not found,CHEMBL2110561,1997.0,Small molecule,,0,False,0,True,0,False,True,False,
SODIUM STIBOGLUCONATE,not found,CHEMBL3991035,,Small molecule,,0,False,0,True,0,False,False,False,
SODIUM STIBOGLUCONATE,not found,CHEMBL2079699,,Small molecule,,0,False,0,True,0,False,False,False,
MERBROMIN,not found,CHEMBL3833381,,Small molecule,,0,False,0,True,0,False,False,False,
MERETHOXYLLINE PROCAINE,not found,CHEMBL1200443,,Small molecule,,0,False,0,True,0,False,True,False,
PADELIPORFIN,not found,CHEMBL4594284,,Small molecule,,0,False,0,True,1,False,False,False,
PRUSSIAN BLUE INSOLUBLE,not found,CHEMBL2096629,2003.0,Small molecule,,0,False,0,True,0,True,False,False,
GADOPICLENOL,not found,CHEMBL4297634,2022.0,Small molecule,,0,False,0,True,1,False,True,False,
HYDRARGAPHEN,not found,CHEMBL3833364,,Small molecule,,0,False,0,True,0,False,False,False,
LUTETIUM LU 177 VIPIVOTIDE TETRAXETAN,not found,CHEMBL4594406,2022.0,Small molecule,,0,False,0,True,1,False,True,False,
VIPIVOTIDE TETRAXETAN LUTETIUM,not found,CHEMBL4594730,2022.0,Small molecule,,0,False,0,True,1,False,True,False,
FERRIC PYROPHOSPHATE CITRATE,not found,CHEMBL3833317,2015.0,Small molecule,,0,False,0,True,0,False,True,False,
