parent_smiles,ring_fragment,chembl_id
Cc1cn[nH]c1,Cc1cn[nH]c1,CHEMBL1308
C1CNCCN1,C1CNCCN1,CHEMBL1412
Nc1ccncc1,Nc1ccncc1,CHEMBL284348
N[C@@H]1CONC1=O,N[C@@H]1CONC1=O,CHEMBL771
Nc1ccncc1N,Nc1ccncc1N,CHEMBL354077
Oc1cccc(O)c1,Oc1cccc(O)c1,CHEMBL24147
NCCc1cc[nH]n1,Cc1cc[nH]n1,CHEMBL1201323
NCCc1c[nH]cn1,Cc1c[nH]cn1,CHEMBL90
Cn1ccnc1S,Cn1ccnc1S,CHEMBL1515
NC(=O)c1cnccn1,Cc1cnccn1,CHEMBL614
COc1ccc(O)cc1,Oc1ccc(O)cc1,CHEMBL544
On1ccccc1=S,On1ccccc1=S,CHEMBL1650619
Nc1nc(=O)[nH]cc1F,Nc1nc(=O)[nH]cc1F,CHEMBL1463
O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185
N[C@@H]1C[C@H]1c1ccccc1,C[C@@H]1C[C@H]1N,CHEMBL3989843
N[C@@H]1C[C@H]1c1ccccc1,Cc1ccccc1,CHEMBL3989843
CC(N)Cc1ccccc1,Cc1ccccc1,CHEMBL405
C[C@H](N)Cc1ccccc1,Cc1ccccc1,CHEMBL612
Oc1ncnc2[nH]ncc12,Oc1ncnc2[nH]ncc12,CHEMBL1467
O=C(O)Cc1ccccc1,Cc1ccccc1,CHEMBL1200358
CNCCc1ccccn1,Cc1ccccn1,CHEMBL24441
NNCCc1ccccc1,Cc1ccccc1,CHEMBL1089
Nc1ccc(C(=O)O)cc1,Cc1ccc(N)cc1,CHEMBL542
COC(=O)c1cccnc1,Cc1cccnc1,CHEMBL379845
NNC(=O)c1ccncc1,Cc1ccncc1,CHEMBL64
C[n+]1ccccc1C=NO,Cc1cccc[n+]1C,CHEMBL1420
C[C@@H]1O[C@@H]1P(=O)(O)O,C[C@@H]1O[C@@H]1P,CHEMBL1757
O=C(O)c1ccccc1O,Cc1ccccc1O,CHEMBL424
Cc1c(O)c(=O)ccn1C,Cc1c(O)c(=O)ccn1C,CHEMBL70927
C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,CHEMBL1201270
CCC1(C)CC(=O)NC1=O,CC1(C)CC(=O)NC1=O,CHEMBL696
NC(=O)CN1CCCC1=O,CN1CCCC1=O,CHEMBL36715
CN1C(=O)OC(C)(C)C1=O,CN1C(=O)OC(C)(C)C1=O,CHEMBL695
O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1200660
CN[C@@H](C)Cc1ccccc1,Cc1ccccc1,CHEMBL1201201
CC(C)(N)Cc1ccccc1,Cc1ccccc1,CHEMBL1574
CC(=O)Nc1ccc(O)cc1,Nc1ccc(O)cc1,CHEMBL112
CC(N)C(O)c1ccccc1,Cc1ccccc1,CHEMBL61006
CC(N)Cc1ccc(O)cc1,Cc1ccc(O)cc1,CHEMBL1546
NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,CHEMBL660
Sc1ncnc2nc[nH]c12,Sc1ncnc2nc[nH]c12,CHEMBL1425
OB1OCc2cc(F)ccc21,OB1OCc2cc(F)ccc21,CHEMBL443052
O=C(O)C(O)c1ccccc1,Cc1ccccc1,CHEMBL3833312
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,CHEMBL504760
Nc1ccc(O)c(C(=O)O)c1,Cc1cc(N)ccc1O,CHEMBL704
Nc1ccc(C(=O)O)c(O)c1,Cc1ccc(N)cc1O,CHEMBL1169
NCCc1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL59
Cc1cnc(C(=O)O)c[n+]1[O-],Cc1c[n+]([O-])c(C)cn1,CHEMBL345714
Cc1cc(O)cc(C)c1Cl,Cc1cc(O)cc(C)c1Cl,CHEMBL398440
CC1CCC(C(C)C)C(O)C1,CC1CCC(C)C(O)C1,CHEMBL256087
CCC1(C)OC(=O)N(C)C1=O,CN1C(=O)OC(C)(C)C1=O,CHEMBL1100
NC[C@H]1CC[C@H](C(=O)O)CC1,C[C@H]1CC[C@H](C)CC1,CHEMBL877
C#CCN(C)Cc1ccccc1,Cc1ccccc1,CHEMBL673
NNc1nncc2ccccc12,Nc1nncc2ccccc12,CHEMBL276832
c1ccc(CC2=NCCN2)cc1,Cc1ccccc1,CHEMBL770
c1ccc(CC2=NCCN2)cc1,CC1=NCCN1,CHEMBL770
Cc1ncsc1CCCl,Cc1ncsc1C,CHEMBL315795
CN1CCC[C@H]1c1cccnc1,C[C@@H]1CCCN1C,CHEMBL3
CN1CCC[C@H]1c1cccnc1,Cc1cccnc1,CHEMBL3
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,C[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL110458
CNC(C)(C)Cc1ccccc1,Cc1ccccc1,CHEMBL1201234
O=C(O)CCCc1ccccc1,Cc1ccccc1,CHEMBL1469
CCOC(=O)c1ccc(N)cc1,Cc1ccc(N)cc1,CHEMBL278172
CN[C@@H](C)[C@@H](O)c1ccccc1,Cc1ccccc1,CHEMBL1590
CN[C@@H](C)[C@H](O)c1ccccc1,Cc1ccccc1,CHEMBL211456
CCc1cc(C(N)=S)ccn1,Cc1ccnc(C)c1,CHEMBL1441
Nc1nc2[nH]cnc2c(=S)[nH]1,Nc1nc2[nH]cnc2c(=S)[nH]1,CHEMBL727
C#CC1(OC(N)=O)CCCCC1,CC1(O)CCCCC1,CHEMBL1576
C[C@H](N)[C@H](O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL1201319
CNC[C@H](O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL1215
CNC1(C)C2CCC(C2)C1(C)C,CC1(C)C2CCC(C2)C1(C)N,CHEMBL267936
O=c1[nH]c2cc(Cl)ccc2o1,O=c1[nH]c2cc(Cl)ccc2o1,CHEMBL1371
NC[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL1437
CCCc1cc(=O)[nH]c(=S)[nH]1,Cc1cc(=O)[nH]c(=S)[nH]1,CHEMBL1518
CC[C@@H](C(N)=O)N1CCCC1=O,CN1CCCC1=O,CHEMBL1286
Cc1ncc([N+](=O)[O-])n1CCO,Cc1ncc([N+])n1C,CHEMBL137
C#CCN[C@@H]1CCc2ccccc21,N[C@@H]1CCc2ccccc21,CHEMBL887
NCC1(CC(=O)O)CCCCC1,CC1(C)CCCCC1,CHEMBL940
Nc1ccc(S(N)(=O)=O)cc1,Nc1ccc(S)cc1,CHEMBL21
CC1(O)CCC(C(C)(C)O)CC1,CC1CCC(C)(O)CC1,CHEMBL1651998
CC1=NN(c2ccccc2)C(=O)C1,CC1=NN(C)C(=O)C1,CHEMBL290916
CC1=NN(c2ccccc2)C(=O)C1,Nc1ccccc1,CHEMBL290916
N=C(N)N1CCc2ccccc2C1,CN1CCc2ccccc2C1,CHEMBL169901
OCc1ccc(Cl)cc1Cl,Cc1ccc(Cl)cc1Cl,CHEMBL3184437
NC1=NC(=O)C(c2ccccc2)O1,CC1OC(N)=NC1=O,CHEMBL1177
NC1=NC(=O)C(c2ccccc2)O1,Cc1ccccc1,CHEMBL1177
CC1NCCOC1c1ccccc1,CC1NCCOC1C,CHEMBL1201208
CC1NCCOC1c1ccccc1,Cc1ccccc1,CHEMBL1201208
C/N=C(\NC)NCc1ccccc1,Cc1ccccc1,CHEMBL1201260
NC(=O)NC(=O)Cc1ccccc1,Cc1ccccc1,CHEMBL918
CCN(CC)C(=O)c1cccnc1,Cc1cccnc1,CHEMBL2104607
CCCCCc1ccc(C)cc1O,Cc1ccc(C)c(O)c1,CHEMBL1512677
CC(C)c1cccc(C(C)C)c1O,Cc1cccc(C)c1O,CHEMBL526
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,C[C@H]1OC(O)[C@H](N)[C@@H](O)[C@@H]1O,CHEMBL493287
CC(C)NNC(=O)c1ccncc1,Cc1ccncc1,CHEMBL92401
CNC(C)Cc1ccccc1OC,Cc1ccccc1O,CHEMBL1985928
Cc1cccc(C)c1OCC(C)N,Cc1cccc(C)c1O,CHEMBL558
CC(N)C12CC3CC(CC(C3)C1)C2,CC12CC3CC(CC(C3)C1)C2,CHEMBL959
CC12CC3CC(C)(C1)CC(N)(C3)C2,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807
CC(=O)Oc1ccccc1C(=O)O,Cc1ccccc1O,CHEMBL25
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL190
CCCc1cc(C(N)=S)ccn1,Cc1ccnc(C)c1,CHEMBL1378024
CN(C)C(=O)Oc1ccc[n+](C)c1,C[n+]1cccc(O)c1,CHEMBL1115
CCNCC(O)c1cccc(O)c1,Cc1cccc(O)c1,CHEMBL86882
CN(C)/N=N/c1[nH]cnc1C(N)=O,Cc1nc[nH]c1N,CHEMBL476
Cc1ccccc1OCC(O)CO,Cc1ccccc1O,CHEMBL229128
CC(C)(N)Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,CHEMBL1201269
CNC[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL679
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,CHEMBL677
CCC1(CC)C(=O)NCC(C)C1=O,CC1CNC(=O)C(C)(C)C1=O,CHEMBL1200790
CCC1(CC)C(=O)NC(=O)NC1=O,CC1(C)C(=O)NC(=O)NC1=O,CHEMBL444
Cc1ccc(-c2ccc(C)cn2)nc1,Cc1ccc(C)nc1,CHEMBL2205807
Cc1ccc(-c2ccc(C)cn2)nc1,Cc1ccc(C)nc1,CHEMBL2205807
Cc1ncc([N+](=O)[O-])n1CC(C)O,Cc1ncc([N+])n1C,CHEMBL498847
Cc1ccc(=O)n(-c2ccccc2)c1,Cc1ccc(=O)n(C)c1,CHEMBL1256391
Cc1ccc(=O)n(-c2ccccc2)c1,Nc1ccccc1,CHEMBL1256391
NCc1ccc(S(N)(=O)=O)cc1,Cc1ccc(S)cc1,CHEMBL419
CCOC(=O)n1ccn(C)c1=S,Cn1ccn(C)c1=S,CHEMBL508102
Nc1cc(-c2ccncc2)c[nH]c1=O,Cc1c[nH]c(=O)c(N)c1,CHEMBL12856
Nc1cc(-c2ccncc2)c[nH]c1=O,Cc1ccncc1,CHEMBL12856
C#CCN(C)[C@H](C)Cc1ccccc1,Cc1ccccc1,CHEMBL972
Cc1cc(=O)n(-c2ccccc2)n1C,Cc1cc(=O)n(C)n1C,CHEMBL277474
Cc1cc(=O)n(-c2ccccc2)n1C,Nc1ccccc1,CHEMBL277474
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671
S=P(N1CC1)(N1CC1)N1CC1,PN1CC1,CHEMBL671
CN1C(=O)CC(c2ccccc2)C1=O,CC1CC(=O)N(C)C1=O,CHEMBL797
CN1C(=O)CC(c2ccccc2)C1=O,Cc1ccccc1,CHEMBL797
O=S(=O)(O)c1cc(O)ccc1O,Oc1ccc(O)c(S)c1,CHEMBL1232131
O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1311
C[C@H]1[C@H](c2ccccc2)OCCN1C,C[C@@H]1OCCN(C)[C@H]1C,CHEMBL1615439
C[C@H]1[C@H](c2ccccc2)OCCN1C,Cc1ccccc1,CHEMBL1615439
Cc1cccc(C)c1NC(=O)C(C)N,Cc1cccc(C)c1N,CHEMBL1762
CCN(C)C(C)C(O)c1ccccc1,Cc1ccccc1,CHEMBL2110926
Cn1nnc2c(C(N)=O)ncn2c1=O,Cc1ncn2c(=O)n(C)nnc12,CHEMBL810
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CHEMBL113
NC(=O)OC[C@H](N)Cc1ccccc1,Cc1ccccc1,CHEMBL4297620
CCCCCCc1ccc(O)cc1O,Cc1ccc(O)cc1O,CHEMBL443605
C[C@H]1CNCCc2ccc(Cl)cc21,C[C@H]1CNCCc2ccc(Cl)cc21,CHEMBL360328
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,Cc1ccc(O)cc1,CHEMBL1200862
O=C(CCCl)NCc1ccccc1,Cc1ccccc1,CHEMBL64195
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Cc1ccc(O)c(O)c1,CHEMBL1009
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,Cc1ccc([N+])o1,CHEMBL869
COc1ccccc1OCC(O)CO,Oc1ccccc1O,CHEMBL980
CCC1(CC)C(=O)NC(=O)N(C)C1=O,CN1C(=O)NC(=O)C(C)(C)C1=O,CHEMBL450
Nc1c2c(nc3ccccc13)CCCC2,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95
N=C(N)NCCN1CCCCCCC1,CN1CCCCCCC1,CHEMBL765
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,C=C1O[C@@H]2CC(=O)N2[C@H]1C,CHEMBL777
CC1OC2(CS1)CN1CCC2CC1,CC1OC(C)(C)CS1,CHEMBL168815
CC1OC2(CS1)CN1CCC2CC1,CC1(O)CN2CCC1CC2,CHEMBL168815
CCN(CC)C(=O)N1CCN(C)CC1,CN1CCN(C)CC1,CHEMBL684
O=c1[nH]c(=O)n(C2CCCO2)cc1F,Cn1cc(F)c(=O)[nH]c1=O,CHEMBL20883
O=c1[nH]c(=O)n(C2CCCO2)cc1F,NC1CCCO1,CHEMBL20883
Oc1ccc(OCc2ccccc2)cc1,Oc1ccc(O)cc1,CHEMBL1388
Oc1ccc(OCc2ccccc2)cc1,Cc1ccccc1,CHEMBL1388
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,Cc1cccc(C)c1C,CHEMBL778
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,Cc1c[nH]cn1,CHEMBL778
c1ccc2c(c1)CCCC2C1=NCCN1,CC1CCCc2ccccc21,CHEMBL1266
c1ccc2c(c1)CCCC2C1=NCCN1,CC1=NCCN1,CHEMBL1266
c1ccc2[nH]c(-c3cscn3)nc2c1,Cc1nc2ccccc2[nH]1,CHEMBL625
c1ccc2[nH]c(-c3cscn3)nc2c1,Cc1cscn1,CHEMBL625
CNC(=O)Oc1cccc2ccccc12,Oc1cccc2ccccc12,CHEMBL46917
CN1C(=O)CC(C)(c2ccccc2)C1=O,CN1C(=O)CC(C)(C)C1=O,CHEMBL697
CN1C(=O)CC(C)(c2ccccc2)C1=O,Cc1ccccc1,CHEMBL697
C/C=C/C(=O)N(CC)c1ccccc1C,Cc1ccccc1N,CHEMBL1200709
c1ccc([C@H]2CN3CCSC3=N2)cc1,Cc1ccccc1,CHEMBL1454
c1ccc([C@H]2CN3CCSC3=N2)cc1,C[C@H]1CN2CCSC2=N1,CHEMBL1454
CCN1C(=O)NC(c2ccccc2)C1=O,CC1NC(=O)N(C)C1=O,CHEMBL1095
CCN1C(=O)NC(c2ccccc2)C1=O,Cc1ccccc1,CHEMBL1095
N=C(N)NC(=N)NCCc1ccccc1,Cc1ccccc1,CHEMBL170988
CCN(CC)C(C)C(=O)c1ccccc1,Cc1ccccc1,CHEMBL1194666
CCC(C(=O)NC(N)=O)c1ccccc1,Cc1ccccc1,CHEMBL2107062
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,Cc1ccc(C)cc1,CHEMBL175
CC(C)Cc1ccc(C(C)C(=O)O)cc1,Cc1ccc(C)cc1,CHEMBL521
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1C,CHEMBL1561
Cc1cc(C2CCCCC2)n(O)c(=O)c1,Cc1cc(C)n(O)c(=O)c1,CHEMBL1413
Cc1cc(C2CCCCC2)n(O)c(=O)c1,CC1CCCCC1,CHEMBL1413
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,C[C@@H]1C(=O)OC[C@@H]1C,CHEMBL550
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,Cc1cncn1C,CHEMBL550
Nc1ccc2cc3ccc(N)cc3nc2c1,Nc1ccc2cc3ccc(N)cc3nc2c1,CHEMBL55400
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],Nc1cc(N)[n+]([O-])c(N)n1,CHEMBL802
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CN1CCCCC1,CHEMBL802
CCCCNCC(O)c1ccc(O)cc1,Cc1ccc(O)cc1,CHEMBL1987462
c1ccc2c(CC3=NCCN3)cccc2c1,CC1=NCCN1,CHEMBL761
c1ccc2c(CC3=NCCN3)cccc2c1,Cc1cccc2ccccc12,CHEMBL761
CN(C)c1nc(N(C)C)nc(N(C)C)n1,Nc1nc(N)nc(N)n1,CHEMBL1455
O=C(NCCO[N+](=O)[O-])c1cccnc1,Cc1cccnc1,CHEMBL284906
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,Cc1cc(C)c(=O)[nH]c1C,CHEMBL189
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,Cc1ccncc1,CHEMBL189
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,Cc1ccc(O)c(O)c1,CHEMBL459
