parent_smiles,ring_fragment,chembl_id,parent_mol,fragment_mol
Cc1cn[nH]c1,Cc1cn[nH]c1,CHEMBL1308,<rdkit.Chem.rdchem.Mol object at 0x7f28284e10a0>,<rdkit.Chem.rdchem.Mol object at 0x7f2828552ee0>
C1CNCCN1,C1CNCCN1,CHEMBL1412,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1100>,<rdkit.Chem.rdchem.Mol object at 0x7f2828552e80>
Nc1ccncc1,Nc1ccncc1,CHEMBL284348,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1160>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be0a0>
N[C@@H]1CONC1=O,N[C@@H]1CONC1=O,CHEMBL771,<rdkit.Chem.rdchem.Mol object at 0x7f28284e11c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be040>
Nc1ccncc1N,Nc1ccncc1N,CHEMBL354077,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1220>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be160>
Oc1cccc(O)c1,Oc1cccc(O)c1,CHEMBL24147,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1280>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be1c0>
NCCc1cc[nH]n1,Cc1cc[nH]n1,CHEMBL1201323,<rdkit.Chem.rdchem.Mol object at 0x7f28284e12e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be220>
NCCc1c[nH]cn1,Cc1c[nH]cn1,CHEMBL90,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1340>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be280>
Cn1ccnc1S,Cn1ccnc1S,CHEMBL1515,<rdkit.Chem.rdchem.Mol object at 0x7f28284e13a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be2e0>
NC(=O)c1cnccn1,Cc1cnccn1,CHEMBL614,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1400>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be340>
COc1ccc(O)cc1,Oc1ccc(O)cc1,CHEMBL544,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1460>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be3a0>
On1ccccc1=S,On1ccccc1=S,CHEMBL1650619,<rdkit.Chem.rdchem.Mol object at 0x7f28284e14c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be400>
Nc1nc(=O)[nH]cc1F,Nc1nc(=O)[nH]cc1F,CHEMBL1463,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1520>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be460>
O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1580>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be4c0>
N[C@@H]1C[C@H]1c1ccccc1,C[C@@H]1C[C@H]1N,CHEMBL3989843,<rdkit.Chem.rdchem.Mol object at 0x7f28284e15e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be520>
N[C@@H]1C[C@H]1c1ccccc1,Cc1ccccc1,CHEMBL3989843,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1640>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be580>
CC(N)Cc1ccccc1,Cc1ccccc1,CHEMBL405,<rdkit.Chem.rdchem.Mol object at 0x7f28284e16a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be5e0>
C[C@H](N)Cc1ccccc1,Cc1ccccc1,CHEMBL612,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1700>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be640>
Oc1ncnc2[nH]ncc12,Oc1ncnc2[nH]ncc12,CHEMBL1467,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1760>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be6a0>
O=C(O)Cc1ccccc1,Cc1ccccc1,CHEMBL1200358,<rdkit.Chem.rdchem.Mol object at 0x7f28284e17c0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be700>
CNCCc1ccccn1,Cc1ccccn1,CHEMBL24441,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1820>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be760>
NNCCc1ccccc1,Cc1ccccc1,CHEMBL1089,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1880>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be7c0>
Nc1ccc(C(=O)O)cc1,Cc1ccc(N)cc1,CHEMBL542,<rdkit.Chem.rdchem.Mol object at 0x7f28284e18e0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be820>
COC(=O)c1cccnc1,Cc1cccnc1,CHEMBL379845,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1940>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be880>
NNC(=O)c1ccncc1,Cc1ccncc1,CHEMBL64,<rdkit.Chem.rdchem.Mol object at 0x7f28284e19a0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be8e0>
C[n+]1ccccc1C=NO,Cc1cccc[n+]1C,CHEMBL1420,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1a00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be940>
C[C@@H]1O[C@@H]1P(=O)(O)O,C[C@@H]1O[C@@H]1P,CHEMBL1757,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1a60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284be9a0>
O=C(O)c1ccccc1O,Cc1ccccc1O,CHEMBL424,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1ac0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bea00>
Cc1c(O)c(=O)ccn1C,Cc1c(O)c(=O)ccn1C,CHEMBL70927,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1b20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bea60>
C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,CHEMBL1201270,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1b80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beac0>
CCC1(C)CC(=O)NC1=O,CC1(C)CC(=O)NC1=O,CHEMBL696,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1be0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beb20>
NC(=O)CN1CCCC1=O,CN1CCCC1=O,CHEMBL36715,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1c40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beb80>
CN1C(=O)OC(C)(C)C1=O,CN1C(=O)OC(C)(C)C1=O,CHEMBL695,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1ca0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bebe0>
O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1200660,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1d00>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bec40>
CN[C@@H](C)Cc1ccccc1,Cc1ccccc1,CHEMBL1201201,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1d60>,<rdkit.Chem.rdchem.Mol object at 0x7f28284beca0>
CC(C)(N)Cc1ccccc1,Cc1ccccc1,CHEMBL1574,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1dc0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bed00>
CC(=O)Nc1ccc(O)cc1,Nc1ccc(O)cc1,CHEMBL112,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1e20>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bed60>
CC(N)C(O)c1ccccc1,Cc1ccccc1,CHEMBL61006,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1e80>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bedc0>
CC(N)Cc1ccc(O)cc1,Cc1ccc(O)cc1,CHEMBL1546,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1ee0>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bee20>
NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,CHEMBL660,<rdkit.Chem.rdchem.Mol object at 0x7f28284e1f40>,<rdkit.Chem.rdchem.Mol object at 0x7f28284bee80>
