parent_smiles,ring_fragment
Cc1c(C(=O)Nc2ccccc2C(N)=O)nnn1-c1ccc2ncccc2c1,Cc1nnn(C)c1C
Cc1c(C(=O)Nc2ccccc2C(N)=O)nnn1-c1ccc2ncccc2c1,Cc1ccccc1N
Cc1c(C(=O)Nc2ccccc2C(N)=O)nnn1-c1ccc2ncccc2c1,Nc1ccc2ncccc2c1
C[C@H]1CCCC[C@H]1NC(=O)NC(=O)CN1CCc2ccc([N+](=O)[O-])cc2C1,C[C@H]1CCCC[C@H]1N
C[C@H]1CCCC[C@H]1NC(=O)NC(=O)CN1CCc2ccc([N+](=O)[O-])cc2C1,CN1CCc2ccc([N+])cc2C1
Brc1ccccc1-c1nc2c3ccccc3ncn2n1,Cc1ccccc1Br
Brc1ccccc1-c1nc2c3ccccc3ncn2n1,Cc1nc2c3ccccc3ncn2n1
CC[C@H](C)NC(=O)Nc1ccnn1C1CCCC1,Cn1nccc1N
CC[C@H](C)NC(=O)Nc1ccnn1C1CCCC1,NC1CCCC1
CCn1c(SCc2cc(C(=O)OC)c(C)o2)nnc1-c1ccccc1OC,Cc1nnc(S)n1C
CCn1c(SCc2cc(C(=O)OC)c(C)o2)nnc1-c1ccccc1OC,Cc1cc(C)c(C)o1
CCn1c(SCc2cc(C(=O)OC)c(C)o2)nnc1-c1ccccc1OC,Cc1ccccc1O
CC[C@H](C)c1nc2cc(C(=O)O)ccc2n1C[C@@H](C)O,Cc1ccc2c(c1)nc(C)n2C
COc1nn(C)cc1C(=O)N1CCN(CCNC(=O)COc2ccc(F)cc2)CC1,Cc1cn(C)nc1O
COc1nn(C)cc1C(=O)N1CCN(CCNC(=O)COc2ccc(F)cc2)CC1,CN1CCN(C)CC1
COc1nn(C)cc1C(=O)N1CCN(CCNC(=O)COc2ccc(F)cc2)CC1,Oc1ccc(F)cc1
O=C(CNc1ccc(C(F)(F)F)cc1)Nc1ccc(Cl)cc1F,Cc1ccc(N)cc1
O=C(CNc1ccc(C(F)(F)F)cc1)Nc1ccc(Cl)cc1F,Nc1ccc(Cl)cc1F
C[C@H]1CCCC[N@]1CCCNC(=O)CN(C)c1nn2c(NC(C)(C)C)c(-c3cccc(F)c3)nc2s1,C[C@H]1CCCCN1C
C[C@H]1CCCC[N@]1CCCNC(=O)CN(C)c1nn2c(NC(C)(C)C)c(-c3cccc(F)c3)nc2s1,Cc1nc2sc(N)nn2c1N
C[C@H]1CCCC[N@]1CCCNC(=O)CN(C)c1nn2c(NC(C)(C)C)c(-c3cccc(F)c3)nc2s1,Cc1cccc(F)c1
COC(=O)c1c(C)sc(-c2c(-c3ccccc3)[nH]c3c2c(O)nc(=O)n3C)c1O,Cc1sc(C)c(O)c1C
COC(=O)c1c(C)sc(-c2c(-c3ccccc3)[nH]c3c2c(O)nc(=O)n3C)c1O,Cc1ccccc1
COC(=O)c1c(C)sc(-c2c(-c3ccccc3)[nH]c3c2c(O)nc(=O)n3C)c1O,Cc1[nH]c2c(c(O)nc(=O)n2C)c1C
CC1(C)CC(=O)C2=C(C1)N(c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc2c(c1)OCO2,Nc1ccccc1
CC1(C)CC(=O)C2=C(C1)N(c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc2c(c1)OCO2,Cc1ccc2c(c1)OCO2
CC1(C)CC(=O)C2=C(C1)N(c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc2c(c1)OCO2,CC1C2=C(CC(C)(C)CC2=O)N(C)C2=C1C(=O)CC(C)(C)C2
Cc1coc(-c2ccc(C)c(NC(=O)N3CCc4c(ncn4C4CC4)C3)c2)n1,Cc1coc(C)n1
Cc1coc(-c2ccc(C)c(NC(=O)N3CCc4c(ncn4C4CC4)C3)c2)n1,Cc1ccc(C)c(N)c1
Cc1coc(-c2ccc(C)c(NC(=O)N3CCc4c(ncn4C4CC4)C3)c2)n1,CN1CCc2c(ncn2C)C1
Cc1coc(-c2ccc(C)c(NC(=O)N3CCc4c(ncn4C4CC4)C3)c2)n1,NC1CC1
OCC[C@@H]1C[N@](Cc2ccccc2)CCN1,C[C@@H]1CN(C)CCN1
OCC[C@@H]1C[N@](Cc2ccccc2)CCN1,Cc1ccccc1
COc1ccc([C@H]2C/C(=C3/C(=O)N(C)C(=O)N=C3O)NN2C(C)=O)cc1,Cc1ccc(O)cc1
COc1ccc([C@H]2C/C(=C3/C(=O)N(C)C(=O)N=C3O)NN2C(C)=O)cc1,C=C1C[C@H](C)N(C)N1
COc1ccc([C@H]2C/C(=C3/C(=O)N(C)C(=O)N=C3O)NN2C(C)=O)cc1,C=C1C(=O)N(C)C(=O)N=C1O
CN(C)C(=O)c1cc2c(s1)CC[C@H](C(=O)N1CCN(c3ccc(Cl)cc3)CC1)C2,Cc1cc2c(s1)CC[C@H](C)C2
CN(C)C(=O)c1cc2c(s1)CC[C@H](C(=O)N1CCN(c3ccc(Cl)cc3)CC1)C2,CN1CCN(C)CC1
CN(C)C(=O)c1cc2c(s1)CC[C@H](C(=O)N1CCN(c3ccc(Cl)cc3)CC1)C2,Nc1ccc(Cl)cc1
COc1ccc(COC[C@H](O)CN2CCC(CC(N)=O)CC2)cc1,Cc1ccc(O)cc1
COc1ccc(COC[C@H](O)CN2CCC(CC(N)=O)CC2)cc1,CC1CCN(C)CC1
COc1ccc2nnc(CCC(=O)NCCC3=CCCCC3)n2n1,Cc1nnc2ccc(O)nn12
COc1ccc2nnc(CCC(=O)NCCC3=CCCCC3)n2n1,CC1=CCCCC1
CC(=O)Nc1ccc(C(=O)CSc2nnc(-c3ccccc3Cl)n2C)cc1,Cc1ccc(N)cc1
CC(=O)Nc1ccc(C(=O)CSc2nnc(-c3ccccc3Cl)n2C)cc1,Cc1nnc(S)n1C
CC(=O)Nc1ccc(C(=O)CSc2nnc(-c3ccccc3Cl)n2C)cc1,Cc1ccccc1Cl
