parent_smiles,ring_fragment,mol_id
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,Oc1ccc2nc(S)sc2c1,TOX3021
CCN1C(=O)NC(c2ccccc2)C1=O,CC1NC(=O)N(C)C1=O,TOX3020
CCN1C(=O)NC(c2ccccc2)C1=O,Cc1ccccc1,TOX3020
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,TOX3024
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1N,TOX3027
O=S(=O)(Cl)c1ccccc1,Sc1ccccc1,TOX6619
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,Cc1cc(I)c(O)c(I)c1,TOX25232
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,Oc1ccc(O)c(I)c1,TOX25232
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1ccc[n+](C)c1,TOX25236
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C[C@H]1O[C@@H]([N+])[C@H](O)[C@@H]1O,TOX25236
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C[C@H]1O[C@@H](N)[C@H](O)[C@@H]1O,TOX25236
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cn1cnc2c(N)ncnc21,TOX25236
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,Cn1cc(I)c(=O)[nH]c1=O,TOX25238
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,C[C@H]1O[C@@H](N)C[C@@H]1O,TOX25238
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,C[N+]12CN3CN(CN(C3)C1)C2,TOX15748
O=C(O)Cc1cccc2ccccc12,Cc1cccc2ccccc12,TOX14833
CCN(CC)C(=O)c1cccnc1,Cc1cccnc1,TOX26524
COc1cc(O)cc(O)c1,Oc1cc(O)cc(O)c1,TOX26525
CCOC(=O)c1cccnc1,Cc1cccnc1,TOX26526
CCOc1ccc(S(=O)(=O)O)c2cccnc12,Oc1ccc(S)c2cccnc12,TOX26521
O=C(O)[C@H](O)c1ccccc1,Cc1ccccc1,TOX26523
Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(N)cc1,TOX4460
Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccccc1,TOX4460
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,Cc1ccc(Cl)c(Cl)c1,TOX22631
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,C[C@@H]1C[C@@H](N)c2ccccc21,TOX22631
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](O)C2,TOX22632
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,Cc1cc(Cl)cc(Cl)c1,TOX22632
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN1c2ccccc2CCc2ccc(Cl)cc21,TOX22633
Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S,TOX4463
Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,TOX4465
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,TOX1106
c1ccc(-c2ccccc2)cc1,Cc1ccccc1,TOX161
c1ccc(-c2ccccc2)cc1,Cc1ccccc1,TOX161
CNC(=O)Nc1ccc(Cl)c(Cl)c1,Nc1ccc(Cl)c(Cl)c1,TOX22180
CC(=O)Nc1ccc(C)c(Cl)c1,Cc1ccc(N)cc1Cl,TOX22181
CC(C)N(c1ccccc1)C(C)C,Nc1ccccc1,TOX22189
CCc1cccc(C)c1,Cc1cccc(C)c1,TOX7876
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,Oc1ccccc1,TOX7877
CCCCCCCCCCC=CC1CC(=O)OC1=O,CC1CC(=O)OC1=O,TOX7870
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Cc1ccc(N)c(Cl)c1,TOX4110
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Cc1cccc(O)c1,TOX4110
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Oc1ccccc1,TOX4110
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],Cc1cc(O)ccc1[N+],TOX4112
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],Cc1ccc(O)c(Cl)c1,TOX4112
CCOP(=S)(CC)Sc1ccccc1,Sc1ccccc1,TOX4113
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Cc1ccccc1N,TOX27695
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,TOX27695
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,Cc1ccnc2ccc(O)cc12,TOX24280
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C[C@@H]1CC2CCN1C[C@@H]2C,TOX24280
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,Nc1ccc(O)cc1,TOX21728
