parent_smiles,ring_fragment
CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(C)O1
CNC(=O)c1cccc(C)c1Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(N2CSC[C@H]2C(=O)NCC(=O)NO)n1,Cc1cccc(C)c1N
CNC(=O)c1cccc(C)c1Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(N2CSC[C@H]2C(=O)NCC(=O)NO)n1,Nc1nc(N)nc(N)n1
CNC(=O)c1cccc(C)c1Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(N2CSC[C@H]2C(=O)NCC(=O)NO)n1,CN1CCN(C)CC1
CNC(=O)c1cccc(C)c1Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(N2CSC[C@H]2C(=O)NCC(=O)NO)n1,Nc1ccccc1Cl
CNC(=O)c1cccc(C)c1Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc(N2CSC[C@H]2C(=O)NCC(=O)NO)n1,C[C@@H]1CSCN1C
CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(C)c2cn1,Cc1ccnc(C)c1
CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(C)c2cn1,Cc1ccc(C)c2cc(N)ncc12
Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1,Nc1ccccc1Cl
Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1,Nc1ccnc(N)n1
Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1,Cc1ccc(N)cc1
Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1,Cc1nnn[nH]1
CC1=C(CCC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5S(=O)(=O)O)C(C)=C4S(=O)(=O)O)c(C)c3CCC(=O)O,CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C)C(S)=C4C)c(S)c3C
COc1cc2c(c(OC)c1)[C@@H]1[C@H]3CCC[C@@H](C(=O)N1CC2)N3C(=O)C(=O)c1cc(OC)c(OC)c(OC)c1,CN1[C@@H]2CCC[C@H]1C(=O)N1CCc3cc(O)cc(O)c3[C@H]21
COc1cc2c(c(OC)c1)[C@@H]1[C@H]3CCC[C@@H](C(=O)N1CC2)N3C(=O)C(=O)c1cc(OC)c(OC)c(OC)c1,Cc1cc(O)c(O)c(O)c1
C[C@@H]1O[C@@H](OC2=C(O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
C[C@@H]1O[C@@H](OC2=C(O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,C[C@H]1Oc2cc(O)cc(O)c2C(O)=C1O
C[C@@H]1O[C@@H](OC2=C(O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,Cc1ccc(O)cc1
COC(=O)Nc1ccc2c(c1)NC(=O)C[C@@H](C)/C=C/C[C@H](NC(=O)c1c(F)cc(C)cc1F)c1nc-2c(Cl)[nH]1,Cc1cc(F)c(C)c(F)c1
COC(=O)Nc1ccc2c(c1)NC(=O)C[C@@H](C)/C=C/C[C@H](NC(=O)c1c(F)cc(C)cc1F)c1nc-2c(Cl)[nH]1,C[C@H]1/C=C/C[C@H](N)c2nc(c(Cl)[nH]2)-c2ccc(N)cc2NC(=O)C1
Nc1ncnc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[PH](=O)(=O)O)[C@@H](O)[C@H]1O,Cn1ccc2c(N)ncnc21
Nc1ncnc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[PH](=O)(=O)O)[C@@H](O)[C@H]1O,C[C@H]1O[C@@H](N)[C@H](O)[C@@H]1O
NCCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCOCC4)ccn3)s2)c1,Cc1cncc(C)c1
NCCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCOCC4)ccn3)s2)c1,Cc1cnc(N)s1
NCCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCOCC4)ccn3)s2)c1,Nc1ccnc(N)c1
