,pref_name,SMILES,molecule_chembl_id,first_approval,molecule_type,indication_class,polymer_flag,withdrawn_flag,inorganic_flag,therapeutic_flag,natural_product,oral,parenteral,topical,mw
0,ACETOHYDROXAMIC ACID,CC(=O)NO,CHEMBL734,1983,Small molecule,Enzyme Inhibitor (urease),0,False,0,True,0,True,False,False,75.0320284
1,HYDROXYUREA,NC(=O)NO,CHEMBL467,1967,Small molecule,Antineoplastic,0,False,0,True,0,True,False,False,76.027277368
2,CYSTEAMINE,NCCS,CHEMBL602,1994,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,True,False,True,77.029920224
3,DIMETHYL SULFOXIDE,C[S+](C)[O-],CHEMBL504,1978,Small molecule,Anti-Inflammatory (topical),0,False,0,True,0,False,True,False,78.013935812
4,FOMEPIZOLE,Cc1cn[nH]c1,CHEMBL1308,1997,Small molecule,Antidote (alcohol dehydrogenase inhibitor),0,False,0,True,0,False,True,False,82.053098192
5,LACTIC ACID,CC(O)C(=O)O,CHEMBL1200559,2006,Small molecule,,0,False,0,True,0,False,True,False,90.031694052
6,DALFAMPRIDINE,Nc1ccncc1,CHEMBL284348,2010,Small molecule,Multiple Sclerosis Symptomatic Treatment,0,False,0,True,0,True,False,False,94.053098192
7,GUANIDINE HYDROCHLORIDE,Cl.N=C(N)N,CHEMBL1200728,1939,Small molecule,,0,False,0,True,0,True,False,False,95.025024872
8,CYCLOSERINE,N[C@@H]1CONC1=O,CHEMBL771,1964,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,102.042927432
9,OXYBATE,O=C(O)CCCO,CHEMBL1342,2002,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,104.047344116
10,AMIFAMPRIDINE,Nc1ccncc1N,CHEMBL354077,2018,Small molecule,,0,False,0,True,0,True,False,False,109.063997224
11,BETAZOLE,NCCc1cc[nH]n1,CHEMBL1201323,1982,Small molecule,,0,False,0,True,0,False,True,False,111.079647288
12,HISTAMINE,NCCc1c[nH]cn1,CHEMBL90,1939,Small molecule,Stimulant (gastric secretory),0,False,0,True,0,False,True,False,111.079647288
13,CYSTEAMINE HYDROCHLORIDE,Cl.NCCS,CHEMBL1256137,2012,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,False,False,True,113.006597936
14,METHIMAZOLE,Cn1ccnc1S,CHEMBL1515,1950,Small molecule,Thyroid Inhibitor,0,False,0,True,0,True,False,False,114.025169192
15,BETAINE,C[N+](C)(C)CC(=O)O,CHEMBL95889,1996,Small molecule,Replenisher Adjunct (electrolyte),0,False,0,True,0,True,False,False,118.08625504409
16,TROMETHAMINE,NC(CO)(CO)CO,CHEMBL1200391,1965,Small molecule,Alkalizer,0,False,0,True,0,False,True,False,121.073893212
17,PYRAZINAMIDE,NC(=O)c1cnccn1,CHEMBL614,1971,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,123.04326178
18,DIMERCAPROL,OCC(S)CS,CHEMBL1597,1946,Small molecule,Antidote (to arsenic and gold and mercury poisoning),0,False,0,True,0,False,True,False,124.001656876
19,MEQUINOL,COc1ccc(O)cc1,CHEMBL544,1999,Small molecule,,0,False,0,True,0,False,False,True,124.052429496
20,FOSCARNET,O=C(O)P(=O)(O)O,CHEMBL666,1991,Small molecule,Antiviral,0,False,0,True,0,False,True,False,125.971809826
21,SODIUM OXYBATE,O=C([O-])CCCO.[Na+],CHEMBL1200682,2002,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,126.029288364
22,PYRITHIONE,On1ccccc1=S,CHEMBL1650619,1986,Small molecule,,0,False,0,True,0,False,False,True,127.00918478
23,FLUCYTOSINE,Nc1nc(=O)[nH]cc1F,CHEMBL1463,1971,Small molecule,Antifungal,0,False,0,True,1,True,False,False,129.033839968
24,VIGABATRIN,C=CC(N)CCC(=O)O,CHEMBL89598,2009,Small molecule,Anticonvulsant (tardive dyskinesia),0,False,0,True,0,True,False,False,129.078978592
25,METFORMIN,CN(C)C(=N)NC(=N)N,CHEMBL1431,1995,Small molecule,Antidiabetic,0,False,0,True,0,True,False,False,129.10144535199998
26,FLUOROURACIL,O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185,1962,Small molecule,Antineoplastic,0,False,0,True,1,False,True,True,130.017855556
27,MONOMETHYL FUMARATE,COC(=O)/C=C/C(=O)O,CHEMBL589586,2020,Small molecule,,0,False,0,True,0,True,False,False,130.026608672
28,AMINOCAPROIC ACID,NCCCCCC(=O)O,CHEMBL1046,1964,Small molecule,Hemostatic,0,False,0,True,0,True,True,False,131.094628656
29,DEXTROAMPHETAMINE,C[C@H](N)Cc1ccccc1,CHEMBL612,1955,Small molecule,Stimulant (central),0,False,0,True,0,True,False,True,135.104799416
30,AMPHETAMINE,CC(N)Cc1ccccc1,CHEMBL405,1955,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,135.104799416
31,ALLOPURINOL,Oc1ncnc2[nH]ncc12,CHEMBL1467,1966,Small molecule,Xanthine Oxidase Inhibitor,0,False,0,True,0,True,True,False,136.038510748
32,PHENELZINE,NNCCc1ccccc1,CHEMBL1089,1961,Small molecule,Antidepressant,0,False,0,True,0,True,False,False,136.100048384
33,ISONIAZID,NNC(=O)c1ccncc1,CHEMBL64,1952,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,True,False,137.058911844
34,PRALIDOXIME,C[n+]1ccccc1C=NO,CHEMBL1420,1964,Small molecule,Cholinesterase Reactivator,0,False,0,True,0,True,True,False,137.07093932809
