pref_name,SMILES,molecule_chembl_id,first_approval,molecule_type,indication_class,polymer_flag,withdrawn_flag,inorganic_flag,therapeutic_flag,natural_product,oral,parenteral,topical,mw
ACETOHYDROXAMIC ACID,CC(=O)NO,CHEMBL734,1970,Small molecule,Enzyme Inhibitor (urease),0,False,0,True,0,True,False,False,75.0320284
HYDROXYUREA,NC(=O)NO,CHEMBL467,1970,Small molecule,Antineoplastic,0,False,0,True,0,True,False,False,76.027277368
CYSTEAMINE,NCCS,CHEMBL602,1970,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,True,False,True,77.029920224
DIMETHYL SULFOXIDE,C[S+](C)[O-],CHEMBL504,1970,Small molecule,Anti-Inflammatory (topical),0,False,0,True,0,False,True,False,78.013935812
FOMEPIZOLE,Cc1cn[nH]c1,CHEMBL1308,1970,Small molecule,Antidote (alcohol dehydrogenase inhibitor),0,False,0,True,0,False,True,False,82.053098192
LACTIC ACID,CC(O)C(=O)O,CHEMBL1200559,1970,Small molecule,,0,False,0,True,0,False,True,False,90.031694052
DALFAMPRIDINE,Nc1ccncc1,CHEMBL284348,1970,Small molecule,Multiple Sclerosis Symptomatic Treatment,0,False,0,True,0,True,False,False,94.053098192
GUANIDINE HYDROCHLORIDE,Cl.N=C(N)N,CHEMBL1200728,1970,Small molecule,,0,False,0,True,0,True,False,False,95.02502487199999
CYCLOSERINE,N[C@@H]1CONC1=O,CHEMBL771,1970,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,102.042927432
OXYBATE,O=C(O)CCCO,CHEMBL1342,1970,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,104.047344116
AMIFAMPRIDINE,Nc1ccncc1N,CHEMBL354077,1970,Small molecule,,0,False,0,True,0,True,False,False,109.06399722399999
BETAZOLE,NCCc1cc[nH]n1,CHEMBL1201323,1970,Small molecule,,0,False,0,True,0,False,True,False,111.07964728799999
HISTAMINE,NCCc1c[nH]cn1,CHEMBL90,1970,Small molecule,Stimulant (gastric secretory),0,False,0,True,0,False,True,False,111.07964728799999
CYSTEAMINE HYDROCHLORIDE,Cl.NCCS,CHEMBL1256137,1970,Small molecule,Anti-Urolithic (cystine calculi),0,False,0,True,0,False,False,True,113.00659793599999
METHIMAZOLE,Cn1ccnc1S,CHEMBL1515,1970,Small molecule,Thyroid Inhibitor,0,False,0,True,0,True,False,False,114.02516919199999
BETAINE,C[N+](C)(C)CC(=O)O,CHEMBL95889,1970,Small molecule,Replenisher Adjunct (electrolyte),0,False,0,True,0,True,False,False,118.08625504409
TROMETHAMINE,NC(CO)(CO)CO,CHEMBL1200391,1970,Small molecule,Alkalizer,0,False,0,True,0,False,True,False,121.073893212
PYRAZINAMIDE,NC(=O)c1cnccn1,CHEMBL614,1970,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,123.04326178
DIMERCAPROL,OCC(S)CS,CHEMBL1597,1970,Small molecule,Antidote (to arsenic and gold and mercury poisoning),0,False,0,True,0,False,True,False,124.001656876
MEQUINOL,COc1ccc(O)cc1,CHEMBL544,1970,Small molecule,,0,False,0,True,0,False,False,True,124.052429496
FOSCARNET,O=C(O)P(=O)(O)O,CHEMBL666,1970,Small molecule,Antiviral,0,False,0,True,0,False,True,False,125.971809826
SODIUM OXYBATE,O=C([O-])CCCO.[Na+],CHEMBL1200682,1970,Small molecule,"Anesthesia, Adjunct To",0,False,0,True,0,True,False,False,126.02928836400001
PYRITHIONE,On1ccccc1=S,CHEMBL1650619,1970,Small molecule,,0,False,0,True,0,False,False,True,127.00918478
