Estimate,Std. Error,z value,Pr(>|z|)
-4.793182252070145e+18,127430106237.221,-37614205.8859093,0
-3.496362935503842e+18,92938501816.2353,-37620177.5063805,0
2.759804401703176e+18,73379174370.7176,37610186.069421,0
9.810367707705256e+16,3906946138.18801,25110066.4322319,0
-8.870779739193739e+16,25197603081.9879,-3520485.54393448,0
7.112793671036122e+16,20119848541.9926,3535212.33332888,0
-5.269039526596253e+16,2075808045.20648,-25383076.9119702,0
5.25797295392828e+16,15184849834.056,3462644.02439851,0
-4.487788026749611e+16,1800259984.15771,-24928555.1322707,0
-2.816358677419221e+16,1107269763.47793,-25435162.8691914,0
1.6548162241054284e+16,354312308.891447,46705016.522935,0
-1.4089304447166384e+16,282231099.087697,-49921162.0998169,0
-1.2554508493704654e+16,481370786.359516,-26080744.5101751,0
1.0669563984793938e+16,406760490.747327,26230580.962254,0
-1.0169036095487048e+16,410240593.988869,-24787981.1127686,0
-9050884624648466.0,185707278.03842,-48737371.6326616,0
5475694247601121.0,207321317.144863,26411631.5823666,0
-5220393531507899.0,204567642.883196,-25519155.7077706,0
-4167177285502272.0,134676318.133452,-30942168.179657,0
3360783033755711.0,164007009.832236,20491703.5997027,0
-3309685670841932.0,35419024.4781843,-93443727.4770364,0
3241577199716949.0,64382506.3139424,50348726.4678754,0
-2963579564854398.0,58058744.5450385,-51044499.6370087,0
2926919912385076.0,94718032.892159,30901400.9583319,0
-2475374842688022.0,46295856.4874646,-53468604.5468944,0
2447777815642146.0,31640202.7193528,77362899.2631249,0
2429020103799811.0,54696521.9154941,44409041.356462,0
-2383946690414008.0,51155520.1397435,-46601944.1088995,0
-2361541097076475.0,70153331.8501658,-33662565.0527943,0
2310925487719132.0,21027125.9822255,109902108.812806,0
2265788179342095.0,48665083.0749678,46558806.359206,0
2263696491801798.0,50691625.7920075,44656221.9387075,0
-2252517658740782.0,104752105.039226,-21503316.4049286,0
-2250386854480141.0,62645069.5313888,-35922808.7910824,0
-2249345024515253.0,28538234.647194,-78818646.3641829,0
2104335571916190.0,36447699.1700365,57735758.9048078,0
2075392335710860.0,22410514.3450986,92607974.2638648,0
2068301034670740.0,25145679.6432291,82252739.397627,0
2065343267487125.0,68452084.8529709,30172101.7252185,0
-2060888789347148.0,71582373.8632143,-28790450.4715822,0
1955630525206742.0,87536674.5891531,22340699.3055808,0
-1891284594981129.0,30891483.2463674,-61223495.8061953,0
-1888895983419184.0,40916202.2190699,-46164987.9748327,0
1882367964054961.0,31990719.9248713,58841062.9231106,0
-1821936941279299.0,39500691.4073679,-46124178.4982898,0
-1814130643672168.0,25980160.2025284,-69827538.7653544,0
1776841860694802.0,33306063.1248858,53348900.8902758,0
1755231008432154.0,32668006.1906683,53729358.2653213,0
1748224462800295.0,16811923.038734,103987179.739787,0
-1742120256828448.0,35342991.6198834,-49291816.4813292,0
1702629590453710.0,38768930.2195994,43917373.5465354,0
1656020655822196.0,19803980.1357738,83620597.7015079,0
-1632691980946378.0,33692246.1938407,-48458982.8636849,0
1587623961329364.0,53942460.9693883,29431804.4226852,0
-1578659027594024.0,39791990.3393029,-39672783.7470037,0
-1503503518979578.0,68727267.8896957,-21876375.4932414,0
-1501579040252362.0,17056300.9465364,-88036617.3743716,0
1499623095255389.0,20428562.5189404,73408155.5598936,0
1496854608848718.0,28765161.2848135,52037066.436995,0
1480259847812216.0,17551882.5915806,84336243.7099642,0
-1423708923575226.0,26605646.559421,-53511532.6137824,0
-1351402407197353.0,30725499.3265978,-43983090.1634038,0
1344965050321096.0,35208544.7336266,38199961.4155186,0
1342578189655862.0,21346941.8338781,62893233.1433609,0
-1335693002933373.0,37586411.4160227,-35536592.949759,0
1333332006197984.0,34529489.6237872,38614298.1180776,0
1208192439634928.0,34456395.6828187,35064388.357874,0
1197194984638483.0,32329533.8507043,37031000.5138661,0
-1191500530885968.0,21489360.6630997,-55446066.9894169,0
-1175069629760350.0,36085462.7052994,-32563518.4272636,0
-1174591620994595.0,22111015.6245258,-53122463.5240963,0
1166781935689333.0,23762614.5731096,49101580.6404441,0
-1102357356445430.0,33900841.1524066,-32517109.2802568,0
1086557461241245.0,10169300.2879455,106846826.278621,0
1069954888636232.0,29657926.9250909,36076523.1952553,0
1063868415834166.0,66025873.1029006,16112901.8949305,0
-1063318520871800.0,20515256.2014255,-51830623.5336177,0
-1054278920640639.0,22900922.8766758,-46036525.5286023,0
-1049581009737548.0,31701048.5785679,-33108715.856394,0
1047821836452095.0,10565244.7200611,99176295.8847993,0
-1037192797257570.0,62294060.6612745,-16649946.8207303,0
-1017457065809783.0,30366522.5527483,-33505880.1692688,0
1011055026610487.0,15641282.3378532,64640162.1536906,0
-995630139834436.0,19178615.6370707,-51913556.1541764,0
-992924557352585.0,18571352.6700036,-53465386.9858576,0
973084049725026.0,12161255.8701106,80015095.4899841,0
955004272464188.0,15382801.8260894,62082596.0875665,0
954311687899076.0,14820909.7935501,64389548.3605454,0
-952766609458014.0,10097052.0435707,-94360869.4247235,0
-935141153101548.0,17266542.334902,-54159144.0233687,0
928774034166264.0,13088810.3040592,70959392.9922131,0
-907314332575514.0,16184784.9972788,-56059708.7158133,0
900034634061196.0,19575292.8993953,45978092.8278729,0
895031887221380.0,11650873.2810116,76821012.9518863,0
-890298003226393.0,44164693.439465,-20158591.2612909,0
-888526731378246.0,44649553.9713644,-19900013.6025568,0
-877778232977118.0,14023292.3866886,-62594304.4452484,0
-870176076696952.0,32271193.5066341,-26964483.8675727,0
869359916805269.0,20307271.5458277,42810276.8431185,0
-862069286519914.0,20155863.1058274,-42770149.9059436,0
-860203382324312.0,14438377.7028186,-59577564.7395888,0
-857497131057274.0,10767504.6377623,-79637498.1859754,0
840412217608670.0,56068764.627662,14988955.4940193,0
833275180772405.0,18235848.3259493,45694346.9740679,0
-823608534414634.0,20095772.7006165,-40984168.4957637,0
813919063133824.0,16297932.4867764,49940019.3119103,0
794771729485468.0,18890257.0440764,42073102.9562508,0
-793030392493956.0,24723008.2590235,-32076613.9858612,0
783769330744956.0,28097120.9257332,27895005.0724638,0
783437434062459.0,38170414.9279935,20524729.3103932,0
782481883765218.0,14113628.8772741,55441579.9486678,0
765392086599099.0,21592650.7421185,35446879.3915204,0
-739341254184516.0,9247264.57603692,-79952427.8888292,0
-731272377172240.0,13763997.8598287,-53129358.5351764,0
-726583023660136.0,29010757.780116,-25045296.2713762,0
-722142932965827.0,16297263.7409736,-44310685.796307,0
720962128395115.0,14787979.0492057,48753256.0058528,0
-718663624506966.0,28167557.547109,-25513877.9180635,0
-713061495427387.0,12800934.5328523,-55703862.3701563,0
-700015418263756.0,14598238.1640269,-47952048.0758248,0
-698949570290089.0,11021526.4113746,-63416766.8072496,0
-698908329973301.0,16741185.6994992,-41747839.2820294,0
-693203594031980.0,19730821.5265697,-35133032.5044249,0
689844050618055.0,14587386.6454791,47290448.0688357,0
653576047657643.0,18847963.0789036,34676216.465491,0
638464626080892.0,10560649.2734734,60456948.1996348,0
-633819086720167.0,31028797.1523275,-20426801.70967,0
-631092174284949.0,10497659.755984,-60117415.5911473,0
628216990784757.0,14172431.6826116,44326690.3558637,0
617599232310406.0,7944796.97283004,77736314.0206727,0
