"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.581556912850541,11.1612477557392,0.0521050088285605,0.958445021921654
"X",-0.000155929927148206,9.32710310428222e-05,-1.6717937542324,0.0945649988595317
"nAcid",0.0861129141158018,0.300094909772782,0.286952265138394,0.774148870665003
"ALogP",1.84158531742994,0.664500825784801,2.77138153328094,0.00558189796793286
"ALogp2",2.43486880731174,0.586939864580379,4.14841273228647,3.34788419675508e-05
"AMR",2.55836782281944,3.90646736174619,0.654905720670311,0.512528456808554
"naAromAtom",0.591101076352893,3.74392400905153,0.15788276549519,0.874549178867454
"nB",-19.8730538698979,14.5982537347389,-1.36133089827085,0.173409142745003
"nN",-0.345343406534775,6.54731221518004,-0.0527458283926175,0.957934424046159
"nO",-1.22046250480023,9.82137364043534,-0.124265968232335,0.901104691822313
"nS",-3.05579793114795,2.93724814955956,-1.04036083284491,0.298172291338449
"nP",-3.89554606675691,1.86004997492379,-2.09432333500422,0.0362311869977556
"nF",0.0935043527008241,2.83988064650781,0.0329254515733984,0.973734036375623
"nCl",-2.93418743880101,3.59417594831881,-0.816372787807867,0.414286955493439
"nBr",-3.12019938995575,5.52457854285014,-0.564785053874178,0.57221997422927
"nI",-7.20837547789137,9.95709576111926,-0.72394357258658,0.469100378089151
"ATS0m",13.9871154065239,20.4234950614203,0.684854152752011,0.493435959376641
"AATS0m",-0.922794993273388,4.63940554998113,-0.198903713704688,0.842338064443904
"AATS1m",-10.220510728429,5.45549042791535,-1.87343573661708,0.0610082390460846
"AATS2m",-6.06306889463154,3.3890270046852,-1.78902938402367,0.0736100834365691
"AATS4m",2.57681220744249,2.31765878055905,1.1118169029269,0.266216882750631
"AATS5m",-2.66769855905198,1.72127982055212,-1.54983433094352,0.121181284665585
"AATS6m",-0.923896782987009,1.5024193234202,-0.61493936385469,0.538594765511531
"AATS7m",-0.80403083003083,1.41208950300868,-0.569390841244635,0.569090930893481
"AATS8m",0.0888226622643498,0.74205017712275,0.119698997456956,0.904721594563586
"AATS0v",-4.99605662741318,9.94566818701442,-0.502334939540441,0.615431935786644
"AATS4v",-1.06986227290614,1.85716684513844,-0.576072244508753,0.564566351042151
"AATS5v",0.0239648467497236,1.33872550025961,0.0179012402057601,0.985717639632213
"AATS6v",5.38437030462482,1.30566529473069,4.12385189861037,3.72588514693223e-05
"AATS7v",-1.70829017230133,0.826041332579334,-2.06804442456549,0.0386358458889464
