"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",21304334823044,2789707.74544119,7636762.25864825,0
"X",-35031830161.1727,1773.81021699223,-19749480.4267023,0
"nAcid",44216829804448.5,5488682.94166478,8056000.00480936,0
"ALogP",68718383471002.4,11994190.1043396,5729305.84501403,0
"ALogp2",595967180862760,7836573.16770338,76049462.9615533,0
"AMR",2065343267487125,68452084.8529709,30172101.7252185,0
"naAromAtom",-2060888789347148,71582373.8632143,-28790450.4715822,0
"nB",-2963579564854398,58058744.5450385,-51044499.6370087,0
"nN",1587623961329364,53942460.9693883,29431804.4226852,0
"nO",1955630525206742,87536674.5891531,22340699.3055808,0
"nS",-48564747571044.4,22238606.4607787,-2183803.5425779,0
"nP",-823608534414634,20095772.7006165,-40984168.4957637,0
"nF",58864535653447.1,29514637.9885967,1994418.35187645,0
"nCl",424504380672461,15691810.530202,27052606.8266895,0
"nBr",813919063133824,16297932.4867764,49940019.3119103,0
"nI",251446254062593,30765773.2176726,8172921.651719,0
"ATS0m",-1503503518979578,68727267.8896957,-21876375.4932414,0
"AATS0m",-347127515023248,59185574.6140295,-5865069.61006955,0
"AATS1m",566930022560779,61370054.255417,9237893.45535306,0
"AATS2m",-1821936941279299,39500691.4073679,-46124178.4982898,0
"AATS4m",607136731826037,34752092.6906543,17470508.531111,0
"AATS5m",-1191500530885968,21489360.6630997,-55446066.9894169,0
"AATS6m",-862069286519914,20155863.1058274,-42770149.9059436,0
"AATS7m",479984347745290,19616123.2736214,24468868.8508979,0
"AATS8m",381945199374996,10978563.0438132,34790090.2741764,0
"AATS0v",-4167177285502272,134676318.133452,-30942168.179657,0
"AATS4v",385237606790472,27637929.6464098,13938728.8309606,0
"AATS5v",291580967010415,21849204.4753298,13345152.5587415,0
"AATS6v",2075392335710860,22410514.3450986,92607974.2638648,0
"AATS7v",-860203382324312,14438377.7028186,-59577564.7395888,0
"AATS0e",2926919912385076,94718032.892159,30901400.9583319,0
"AATS4e",113358984435410,37174286.9325698,3049392.30283101,0
"AATS5e",783437434062459,38170414.9279935,20524729.3103932,0
"AATS6e",-2475374842688022,46295856.4874646,-53468604.5468944,0
"AATS7e",-731272377172240,13763997.8598287,-53129358.5351764,0
"AATS8e",525780396527733,10187296.2615168,51611377.8406449,0
"AATS0p",3360783033755711,164007009.832236,20491703.5997027,0
"AATS1p",486168503200423,79816279.2781577,6091094.54358475,0
"AATS0i",-2361541097076475,70153331.8501658,-33662565.0527943,0
"AATS1i",2263696491801798,50691625.7920075,44656221.9387075,0
"AATS2i",-301188804240315,36969892.9518287,-8146867.09081792,0
"AATS3i",178595458573857,24148972.3508468,7395571.78579462,0
"AATS4i",-553475570288962,23184349.4059556,-23872810.0839778,0
"AATS5i",243136782427135,24582759.7496156,9890540.56190486,0
"AATS6i",1882367964054961,31990719.9248713,58841062.9231106,0
"AATS1s",116271772439171,28852847.267316,4029819.70416769,0
"AATS3s",30897097232229.9,16715097.3042725,1848454.52406265,0
"AATS4s",-195096222065556,18305819.356805,-10657606.6475293,0
"AATS5s",-562083056196110,15242694.2545626,-36875571.129944,0
"AATS6s",238196574523643,13454819.0649429,17703439.442324,0
"AATS7s",272765035107461,8632441.45219195,31597669.8617748,0
"AATS8s",-94186386757194.1,8978160.10971676,-10490611.17269,0
"ATSC0c",2429020103799811,54696521.9154941,44409041.356462,0
"ATSC3c",1342578189655862,21346941.8338781,62893233.1433609,0
"ATSC4c",2447777815642146,31640202.7193528,77362899.2631249,0
"ATSC5c",1496854608848718,28765161.2848135,52037066.436995,0
"ATSC6c",403938780192332,30079652.5810761,13428970.9332102,0
"ATSC7c",246349609662192,20752604.1389376,11870780.5542329,0
"ATSC8c",405139901357629,10525480.4695752,38491345.1246926,0
"ATSC1m",653576047657643,18847963.0789036,34676216.465491,0
"ATSC2m",-257242347508547,12999916.982732,-19787999.2503219,0
"ATSC3m",-256294404530720,12817426.7224769,-19995776.8497539,0
"ATSC4m",326007166051094,13219628.6492556,24660841.4427323,0
"ATSC5m",280544477076448,10204407.5071031,27492480.7619812,0
"ATSC6m",-245748680308399,9584382.34172355,-25640533.8963352,0
"ATSC7m",-572281721328014,10394595.3108848,-55055700.0260266,0
"ATSC8m",-200606442284792,6908591.72185572,-29037240.9256957,0
"ATSC1v",-85031807887175.5,36878150.5066001,-2305750.33506513,0
"ATSC2v",1069954888636232,29657926.9250909,36076523.1952553,0
"ATSC3v",74149435364107.8,14596088.7659631,5080089.36866828,0
"ATSC4v",41139696282069,16087725.165001,2557210.28673269,0
"ATSC5v",-163299294857552,10007662.2093264,-16317426.7318264,0
"ATSC6v",-9766375246423.42,9575940.56091702,-1019886.78650363,0
"ATSC7v",-54831873912894.9,7851747.91066903,-6983397.14121347,0
"ATSC8v",323566765557186,7182639.52322499,45048448.347009,0
"ATSC1e",-718663624506966,28167557.547109,-25513877.9180635,0
"ATSC2e",1748224462800295,16811923.038734,103987179.739787,0
"ATSC3e",228716081725678,9930244.64683488,23032270.5894842,0
"ATSC4e",-73744649889592,10051904.0174766,-7336386.19721964,0
"ATSC5e",-145662891103754,6974435.69842156,-20885258.3065207,0
"ATSC6e",617599232310406,7944796.97283004,77736314.0206727,0
"ATSC7e",421844153347680,6458596.19711723,65315145.9656153,0
"ATSC8e",119529880921383,5380606.04889206,22214947.5050297,0
"ATSC1p",468590972364151,24694815.5761793,18975277.2568245,0
"ATSC3p",377196512791061,12403225.5518152,30411162.9039802,0
"ATSC4p",266403701189734,15114601.4109403,17625585.6139816,0
"ATSC5p",212047586444596,10825224.4540333,19588285.4295544,0
"ATSC6p",616811709644192,9894029.35703131,62341811.1455115,0
"ATSC7p",502590902965551,8273931.94586986,60743900.9957571,0
"ATSC8p",-299935947067660,7643208.28767806,-39242152.7424811,0
"ATSC1i",-155883707290141,17662587.7097288,-8825643.7760973,0
"ATSC2i",-877778232977118,14023292.3866886,-62594304.4452484,0
"ATSC3i",-237781017128125,8863985.91815887,-26825518.3755429,0
"ATSC4i",-53494875439429,8588300.22944206,-6228808.26360029,0
"ATSC5i",-115513327434863,7398881.31003146,-15612269.2870136,0
"ATSC6i",-478154774207824,7185783.41299357,-66541773.7672429,0
"ATSC7i",-299942232822050,5156426.33119163,-58168625.6250139,0
"ATSC8i",-12507202878473.6,5131568.76085841,-2437305.91196081,0
"ATSC1s",1333332006197984,34529489.6237872,38614298.1180776,0
"ATSC3s",-36871877960708.6,9446456.46804155,-3903249.65614888,0
"ATSC6s",-460644468194196,6795767.48443362,-67784024.2841368,0
"AATSC3c",-324321918710966,13404397.6868936,-24195187.7500679,0
"AATSC4c",-995630139834436,19178615.6370707,-51913556.1541764,0
"AATSC5c",-595605444016061,26677145.1316336,-22326431.1483538,0
"AATSC6c",783769330744956,28097120.9257332,27895005.0724638,0
"AATSC7c",610981181378251,18200951.3299769,33568639.9189457,0
"AATSC8c",2141019944177.85,8727923.72570702,245306.903619212,0
"AATSC1m",-175257220303389,22306410.6023203,-7856809.57048101,0
"AATSC2m",594167967010912,16449784.1992815,36120107.0976278,0
"AATSC3m",111338397717100,14148801.0304139,7869104.77274857,0
"AATSC4m",-254146209764013,24854696.846956,-10225279.0017489,0
"AATSC5m",139991832892812,12583600.0859517,11124942.9365686,0
"AATSC6m",-206467258341568,11352544.1024902,-18186871.2843211,0
"AATSC7m",-533980619742405,17325344.4363563,-30820779.4485099,0
"AATSC8m",-174081582135366,10436938.1154817,-16679372.8399272,0
"AATSC0v",-228430192007810,24938754.6749075,-9159647.10289437,0
"AATSC1v",493540292198494,32135764.3127153,15357975.8488337,0
"AATSC2v",-1814130643672168,25980160.2025284,-69827538.7653544,0
"AATSC3v",-693203594031980,19730821.5265697,-35133032.5044249,0
"AATSC4v",-52794357635238.1,15660173.3229706,-3371249.89273258,0
"AATSC5v",538073000223456,16050651.3236337,33523437.1100675,0
"AATSC6v",-907314332575514,16184784.9972788,-56059708.7158133,0
"AATSC7v",720962128395115,14787979.0492057,48753256.0058528,0
"AATSC8v",166170504349241,14240688.5338291,11668712.7841115,0
"AATSC1e",330652194029036,22741994.3110577,14539278.7240416,0
"AATSC2e",-992924557352585,18571352.6700036,-53465386.9858576,0
"AATSC3e",379412867729882,12912846.6325366,29382589.1785839,0
"AATSC4e",246027822246926,14968079.9905611,16436832.4061651,0
"AATSC5e",928774034166264,13088810.3040592,70959392.9922131,0
"AATSC6e",63485590248736.6,10316285.4048948,6153919.53179335,0
"AATSC7e",36722006259101.1,7574914.52573427,4847844.30693513,0
"AATSC8e",-126903016046419,8320711.25838811,-15251462.5379517,0
"AATSC0p",-562943769148354,76260645.975742,-7381838.45606845,0
"AATSC1p",-237319837573734,25139634.5578369,-9440067.11902473,0
"AATSC2p",954311687899076,14820909.7935501,64389548.3605454,0
"AATSC3p",-158647405469226,17834269.8306099,-8895649.04961404,0
"AATSC4p",193534968424699,20809732.0085631,9300214.35860204,0
"AATSC5p",-595152106914579,14783890.6136621,-40256798.5970207,0
"AATSC6p",26420379769729,15522154.1213256,1702107.81076001,0
"AATSC7p",266181916794699,21089003.0108157,12621835.0226507,0
"AATSC8p",-38678050578700.4,11499618.12181,-3363420.43440071,0
