"","x"
"1",2.22044604925031e-16
"2",1
"3",2.22044604925031e-16
"4",1
"5",2.22044604925031e-16
"6",2.22044604925031e-16
"7",2.22044604925031e-16
"8",1
"9",1
"10",2.22044604925031e-16
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2.22044604925031e-16
"22",1
"23",1
"24",1
"25",2.22044604925031e-16
"26",1
"27",1
"28",1
"29",2.22044604925031e-16
"30",2.22044604925031e-16
"31",1
"32",1
"33",1
"34",2.22044604925031e-16
"35",2.22044604925031e-16
"36",1
"37",1
"38",1
"39",2.22044604925031e-16
"40",2.22044604925031e-16
"41",1
"42",2.22044604925031e-16
"43",1
"44",2.22044604925031e-16
"45",1
"46",1
"47",2.22044604925031e-16
"48",2.22044604925031e-16
"49",1
"50",2.22044604925031e-16
"51",1
"52",2.22044604925031e-16
"53",2.22044604925031e-16
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",2.22044604925031e-16
"61",2.22044604925031e-16
"62",2.22044604925031e-16
"63",1
"64",2.22044604925031e-16
"65",1
"66",1
"67",1
"68",2.22044604925031e-16
"69",2.22044604925031e-16
"70",1
"71",1
"72",1
"73",2.22044604925031e-16
"74",2.22044604925031e-16
"75",2.22044604925031e-16
"76",2.22044604925031e-16
"77",2.22044604925031e-16
"78",2.22044604925031e-16
"79",2.22044604925031e-16
"80",2.22044604925031e-16
"81",2.22044604925031e-16
"82",2.22044604925031e-16
"83",2.22044604925031e-16
"84",1
"85",1
"86",1
"87",2.22044604925031e-16
"88",1
"89",1
"90",2.22044604925031e-16
"91",1
"92",1
"93",2.22044604925031e-16
"94",1
"95",1
"96",1
"97",1
"98",1
"99",2.22044604925031e-16
"100",2.22044604925031e-16
"101",1
"102",1
"103",2.22044604925031e-16
"104",2.22044604925031e-16
"105",1
"106",1
"107",1
"108",1
"109",1
"110",2.22044604925031e-16
"111",2.22044604925031e-16
"112",2.22044604925031e-16
"113",1
"114",1
"115",2.22044604925031e-16
"116",1
"117",2.22044604925031e-16
"118",1
"119",2.22044604925031e-16
"120",1
"121",1
"122",2.22044604925031e-16
"123",2.22044604925031e-16
"124",2.22044604925031e-16
"125",2.22044604925031e-16
"126",2.22044604925031e-16
"127",1
"128",1
"129",2.22044604925031e-16
"130",1
"131",2.22044604925031e-16
"132",1
"133",1
"134",1
"135",2.22044604925031e-16
"136",2.22044604925031e-16
"137",2.22044604925031e-16
"138",1
"139",1
"140",1
"141",1
"142",1
"143",2.22044604925031e-16
"144",1
"145",1
"146",2.22044604925031e-16
"147",2.22044604925031e-16
"148",2.22044604925031e-16
"149",1
"150",2.22044604925031e-16
"151",1
"152",1
"153",1
"154",2.22044604925031e-16
"155",1
"156",2.22044604925031e-16
"157",1
