name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,parenteral,topical,oral,D001,D255,fda_approved
GUANIDINE HYDROCHLORIDE,CHEMBL1200728,N=C(N)N,1939,,Small molecule,False,True,False,False,False,False,False,True,0.0,1.0,1.0
ACETOHYDROXAMIC ACID,CHEMBL734,CC(=O)NO,1983,Enzyme Inhibitor (urease),Small molecule,False,True,False,False,False,False,False,True,0.0,1.52193,1.0
HYDROXYUREA,CHEMBL467,NC(=O)NO,1967,Antineoplastic,Small molecule,False,True,False,False,False,False,False,True,0.0,1.52193,1.0
CYSTEAMINE,CHEMBL602,NCCS,1994,CYSTEAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True,0.0,1.45915,1.0
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-],1978,Anti-Inflammatory (topical),Small molecule,False,True,False,False,False,True,False,False,0.0,1.0,1.0
FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,1997,Antidote (alcohol dehydrogenase inhibitor),Small molecule,False,True,False,False,False,True,False,False,0.0,1.42947,1.0
PIPERAZINE,CHEMBL1412,C1CNCCN1,1954,PIPERAZINE CITRATE,Small molecule,True,True,False,False,False,False,False,True,0.0,1.52193,1.0
LACTIC ACID,CHEMBL1200559,CC(O)C(=O)O,2006,,Small molecule,False,True,False,False,False,True,False,False,0.0,1.5656,1.0
DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,2010,Multiple Sclerosis Symptomatic Treatment,Small molecule,False,True,False,False,False,False,False,True,0.0,1.76084,1.0
CYCLOSERINE,CHEMBL771,N[C@@H]1CONC1=O,1964,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,0.0,1.54515,1.0
OXYBATE,CHEMBL1342,O=C(O)CCCO,2002,SODIUM OXYBATE,Small molecule,False,True,False,False,False,False,False,True,0.0,2.21258,1.0
AMIFAMPRIDINE,CHEMBL354077,Nc1ccncc1N,2018,,Small molecule,False,True,False,False,False,False,False,True,0.0,1.83524,1.0
RESORCINOL,CHEMBL24147,Oc1cccc(O)c1,1946.0,Keratolytic,Small molecule,False,True,False,False,False,False,True,False,1.0,1.89215,1.0
BETAZOLE,CHEMBL1201323,NCCc1cc[nH]n1,1982,BETAZOLE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,0.0,2.15953,1.0
HISTAMINE,CHEMBL90,NCCc1c[nH]cn1,1939,HISTAMINE DIHYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,0.0,2.15953,1.0
METHIMAZOLE,CHEMBL1515,Cn1ccnc1S,1950,Thyroid Inhibitor,Small molecule,False,True,False,False,False,False,False,True,0.0,1.54515,1.0
AMYL NITRITE,CHEMBL3833339,CC(C)CCON=O,1979.0,Antihypertensive,Small molecule,False,True,False,False,False,False,False,False,0.0,2.46209,1.0
BETAINE,CHEMBL95889,C[N+](C)(C)CC(=O)O,1996,BETAINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,0.0,1.95056,1.0
TROMETHAMINE,CHEMBL1200391,NC(CO)(CO)CO,1965,Alkalizer,Small molecule,False,True,False,False,False,True,False,False,0.0,1.89789,1.0
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,1971,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,0.0,2.14987,1.0
DIMERCAPROL,CHEMBL1597,OCC(S)CS,1946,Antidote (to arsenic and gold and mercury poisoning),Small molecule,False,True,False,False,False,True,False,False,0.0,1.82561,1.0
MEQUINOL,CHEMBL544,COc1ccc(O)cc1,1999,,Small molecule,False,True,False,False,False,False,True,False,1.0,2.25014,1.0
FOSCARNET,CHEMBL666,O=C(O)P(=O)(O)O,1991,FOSCARNET SODIUM,Small molecule,False,True,False,False,False,True,False,False,0.0,1.55666,1.0
PYRITHIONE,CHEMBL1650619,On1ccccc1=S,1986,PYRITHIONE ZINC,Small molecule,False,True,False,False,False,False,True,False,0.0,1.83524,1.0
FLUCYTOSINE,CHEMBL1463,Nc1nc(=O)[nH]cc1F,1971,Antifungal,Small molecule,False,True,False,False,True,False,False,True,0.0,2.03748,1.0
VIGABATRIN,CHEMBL89598,C=CC(N)CCC(=O)O,2009,Anticonvulsant (tardive dyskinesia),Small molecule,False,True,False,False,False,False,False,True,0.0,2.46437,1.0
