Estimate,Std. Error,z value,Pr(>|z|)
-9.531405114089078e+16,812576367.822725,-117298576.374159,0
6.419923414589624e+16,711583199.929886,90220278.0394787,0
3.4228065752812068e+16,375849987.238606,91068423.3470057,0
2.5977918014072776e+16,283103778.960936,91761113.5726214,0
-2.4752931350021764e+16,192508698.426369,-128580846.228563,0
2.343104643853861e+16,633552264.618419,36983604.5849364,0
-2.1499047022690096e+16,801319175.180835,-26829567.6536611,0
1.9555757097107016e+16,178370075.590141,109635862.587412,0
-1.914362929301314e+16,266887305.043637,-71729261.4944091,0
1.7099395218206822e+16,229200346.057866,74604578.53711,0
-1.7060032447205696e+16,447887277.634982,-38090013.4902006,0
-1.5400548571173562e+16,259388280.544637,-59372568.9489019,0
-1.3329085381401768e+16,109269201.6374,-121983918.447882,0
-1.1108567307980104e+16,144234557.198902,-77017377.2756911,0
-9836274242917430.0,152155733.676804,-64646096.5040647,0
-9580593529905008.0,120377096.80455,-79588175.6930933,0
-9150317286574640.0,284238459.147704,-32192396.8839829,0
8495098395923428.0,82722506.005615,102693919.782203,0
8235866717740650.0,96366268.9023186,85464206.6311492,0
-7979453319173571.0,1667001811.232,-4786709.44770981,0
-7158750463363330.0,55961755.2111325,-127922193.22562,0
-7102924215734466.0,190710493.708543,-37244537.9255828,0
6300603610451323.0,145098924.014199,43422814.1473658,0
6267805733700135.0,196777668.905818,31852220.6739832,0
6257528685835251.0,58242720.3970082,107438811.978238,0
5815178583424132.0,64411823.125476,90281229.4583869,0
-5413298795556003.0,62351802.3622744,-86818641.8109268,0
5121098760385146.0,76420629.9862839,67011993.5062599,0
5111720109694432.0,56430469.0588583,90584398.7290411,0
5050015458357315.0,74675176.2067755,67626428.4181108,0
4873389981890248.0,47830396.2978938,101888973.5209,0
4774183873891355.0,77827356.689455,61343261.2511973,0
-4437983133307144.0,51294039.3601137,-86520445.4293401,0
-3997217456235480.0,51792437.8923918,-77177627.0609317,0
3981452828907566.0,65662824.8499192,60634808.7827121,0
-3919577718809223.0,49892157.7960984,-78560998.1999163,0
3817783645378895.0,205599460.95706,18569035.2864118,0
-3447082117085153.0,89522007.0589217,-38505415.9343897,0
3397278274286616.0,127266420.371801,26694223.5380053,0
-3223511076016810.0,62730792.22853,-51386423.8199555,0
3159309754797356.0,245463781.85847,12870777.6392811,0
2982174970286246.0,53835783.1711418,55393918.2198954,0
-2958404628218788.0,102487643.928072,-28865963.8843398,0
-2951424036665137.0,78378668.5229886,-37655960.3816117,0
-2872208497993056.0,70480408.283535,-40751870.8807485,0
2854635314119339.0,67636204.8825105,42205728.7081389,0
-2782937982245866.0,36660297.3358557,-75911495.1182899,0
2704303335246220.0,55624316.1979927,48617286.828666,0
2683939845074347.0,37101189.5414524,72341072.570615,0
-2642410003979768.0,31650097.8531239,-83488209.6176192,0
-2634654393726270.0,42513544.105575,-61972118.5131863,0
2611894642870758.0,92625863.9129519,28198329.6298901,0
-2573676897944111.0,86557679.6791086,-29733663.2345667,0
-2552139486159074.0,67062743.7342584,-38055995.6847595,0
2549292477020692.0,67647178.0700829,37685126.7081623,0
2531970340581122.0,94888523.9457451,26683630.8048046,0
2492747168946222.0,79726174.982067,31266358.5015451,0
-2490123183043350.0,103303391.888581,-24104950.8396501,0
-2452876254314722.0,21666402.3453955,-113211054.387901,0
-2452071596305792.0,43310205.4668238,-56616484.9572028,0
2423691205533582.0,29533434.261204,82066013.1868719,0
2387066581218176.0,271486553.491061,8792577.57160623,0
-2355341374941776.0,41750243.5155614,-56415033.2216357,0
2353293593478932.0,55435980.5983081,42450653.3136126,0
2344641448978694.0,69841617.1607326,33570835.6177201,0
-2316075723383638.0,66367867.3685037,-34897546.2858218,0
-2301214274341502.0,82448200.3359224,-27911030.9863109,0
-2294922865446206.0,63524500.2642462,-36126578.8144715,0
2099771556636020.0,23627429.2450513,88870081.2457544,0
-2071040686067460.0,172438021.329568,-12010348.2404802,0
2046862267301737.0,49424397.3686391,41414005.5575168,0
1942073361991575.0,45342642.0992272,42831058.6255995,0
1859390223880753.0,87532524.6708532,21242278.0089182,0
1835757140159090.0,47230193.6664715,38868295.8431798,0
-1756264759481224.0,19062251.2922573,-92133123.8663602,0
1708168292226194.0,107961298.219189,15822042.9024313,0
1669499471312340.0,27255153.4077075,61254451.4550493,0
1669173494460624.0,30842275.3754744,54119661.2163038,0
-1668912414467620.0,229497203.625582,-7272038.12552941,0
-1651741083004988.0,54781809.4839542,-30151269.1633304,0
1649353862308940.0,46131869.4550083,35753024.5748555,0
-1580087698534284.0,66524657.6837421,-23751910.2472652,0
-1536697537359709.0,41912217.2989886,-36664668.1180667,0
-1535545209414390.0,47177953.262576,-32547940.3667235,0
-1519693947031754.0,38881860.6144193,-39084908.0526814,0
1480881646950527.0,26298138.3514337,56311272.9563153,0
1463651067769575.0,62602260.4521006,23380163.2273242,0
-1435414037522233.0,45582085.9396787,-31490749.2259524,0
-1372210511306976.0,19310299.6152983,-71061067.8572726,0
-1347901863362595.0,11238238.0355121,-119938896.03542,0
1346910082559158.0,38258164.3111427,35205820.9485725,0
-1331655689684978.0,33201983.7553282,-40107714.6323004,0
1318339451208405.0,46870080.2292475,28127527.0867948,0
-1299454398053855.0,26805557.8268661,-48477051.1565875,0
1293733274578201.0,36128171.1542696,35809542.3389653,0
-1280861534209725.0,22808534.2138445,-56157117.4281009,0
1261175927581147.0,34893836.6113465,36143229.0071264,0
1243243645390706.0,21615523.8191985,57516239.5225638,0
-1241187504704472.0,48066018.9226881,-25822556.8192128,0
-1226942505796010.0,22391112.7983165,-54795959.3097248,0
1216987367167664.0,57077128.5067768,21321804.3550171,0
1202159431766221.0,59928610.0672758,20059858.3951251,0
1167358407022602.0,19033990.9253628,61330196.6781489,0
-1159727402837697.0,25073959.2918205,-46252264.7237454,0
-1146998421774360.0,25360039.2710798,-45228574.353289,0
1124991071653104.0,65670209.5202441,17130919.481935,0
-1110093059813586.0,59672911.7569557,-18602964.5131937,0
-1090009162932447.0,30065657.7149344,-36254292.9633304,0
1060166688918508.0,14541353.6614037,72907014.9591679,0
-1059028403430273.0,25858634.2689482,-40954537.3671179,0
-1058509512177318.0,29679567.1976227,-35664587.1932426,0
-1040826410090628.0,68207156.6920117,-15259782.9988789,0
1033301695455753.0,21248980.4156957,48628295.3459968,0
1032508114311082.0,18215514.7112829,56682895.3601589,0
-1028442101749897.0,17569558.2659065,-58535455.8256353,0
1022317556709442.0,21361121.0849108,47858796.9538543,0
-1014352345493832.0,20868152.4635607,-48607673.6915288,0
-1009469272170355.0,42820263.0029444,-23574569.6401011,0
1008651965942333.0,14852904.9595249,67909406.8595319,0
-1008019467691818.0,21896327.4057674,-46036006.3590531,0
-998571337950142.0,45247111.3673025,-22069283.7128107,0
-973595445341440.0,158974612.769944,-6124219.63719676,0
959732399365742.0,35516839.497992,27021897.582413,0
-942528504356145.0,15804377.4893582,-59637179.9516173,0
934627786229308.0,14873047.1868816,62840369.8640633,0
