Estimate,Std. Error,z value,Pr(>|z|)
7.032895841496777e+17,38795332553.8239,18128200.9420578,0
-6.422226144530019e+17,35512604107.3816,-18084357.1063129,0
-3.0898571200908934e+17,17080727345.0046,-18089728.0173174,0
1.0525787929416314e+16,360567741.484848,29192261.8647754,0
-9478454474880282.0,831204768.247952,-11403272.4990971,0
-8170794361528016.0,286466653.408591,-28522671.8862593,0
5880732918296178.0,439263896.380159,13387699.2094218,0
5646582038074791.0,87324672.1274993,64661932.3096964,0
5277994996116520.0,372948397.098399,14152078.5105398,0
5106645273559028.0,359921917.137795,14188203.1363041,0
-5044434502898202.0,520929625.848414,-9683523.93988453,0
4118330387748428.0,141853406.76096,29032298.0729557,0
3860416631721156.0,53646799.1503066,71959868.8619822,0
3570473710301409.0,188530474.46554,18938443.3494015,0
-3190146272101852.0,113551930.411593,-28094161.504243,0
-3134292479936359.0,127804417.377016,-24524132.6103023,0
3110776704548585.0,239502041.029731,12988518.5578123,0
-3014275241248068.0,125227694.534722,-24070356.4211373,0
2880124180976636.0,66116167.4249243,43561571.8991433,0
2578397501241868.0,62969132.9466538,40947006.5821969,0
-2442152712263752.0,71806327.0282484,-34010271.9820639,0
-2422211431786574.0,48129182.4947541,-50327292.2213167,0
2275129626509367.0,33764472.1074785,67382354.4247104,0
2266486473979279.0,75289779.4587728,30103507.9432044,0
-2204555845376969.0,33589689.7889199,-65631920.3669507,0
2195309019981149.0,78847710.8303586,27842393.8610516,0
-2040510502629185.0,68575793.1536607,-29755550.8845071,0
-1835659338946910.0,32862018.679464,-55859603.6613552,0
-1735468024023586.0,60384616.7075533,-28740234.1630911,0
1724287140229192.0,41406468.1810071,41642941.6943151,0
1667931170818526.0,68252457.5850646,24437671.9877046,0
-1577681035790890.0,67996253.894136,-23202469.9220518,0
1543227421288392.0,59488177.6497945,25941749.8107496,0
1542821486528394.0,29721806.7959657,51908738.1571234,0
-1536536002329508.0,52673288.220297,-29171066.668616,0
1503811040082694.0,58446989.7537933,25729486.6068803,0
-1469995016878440.0,22295803.9052141,-65931465.0921677,0
1444186215632743.0,25620350.2297074,56368714.8178863,0
-1340721912527437.0,53976203.8918363,-24839129.3914283,0
-1334359068827186.0,27926225.5090321,-47781576.0814371,0
1315943877831178.0,55243941.4368649,23820600.8406387,0
1258199703648336.0,74530908.3624514,16881582.8398278,0
