Estimate,Std. Error,z value,Pr(>|z|)
1.5643505569477898e+18,39721269346.8289,39383196.5259861,0
-1.4328719699673738e+18,36361110840.3121,-39406716.0450667,0
-6.884932662502981e+17,17488781915.4389,-39367708.373246,0
-2.3675232623383896e+16,874302484.521964,-27078995.018902,0
1.9125532738265376e+16,409280221.818783,46729677.415816,0
1.4689280243417048e+16,463855632.268944,31667784.5897108,0
-1.3903112364506468e+16,579976881.526568,-23971838.891081,0
1.179859099669021e+16,378655316.760987,31159184.8164585,0
7504595712909761.0,402272106.251636,18655520.9677286,0
7258968392811779.0,204124331.301623,35561504.8266128,0
5649831449816772.0,258524858.138401,21854112.9487523,0
-4869688732647887.0,82937790.1747956,-58714956.3833902,0
4793743182245995.0,98372333.8406015,48730603.3626647,0
3802774893089506.0,328346711.210855,11581583.6225857,0
3783879960649797.0,66685150.894381,56742466.799586,0
3681556110810739.0,70619557.4962701,52132245.5327646,0
3587483816488698.0,147249972.894488,24363222.253761,0
-3549137638612904.0,94741223.5082973,-37461386.9991037,0
3428898923008074.0,70643563.0913647,48538023.4653993,0
3368418011846370.0,57151151.1738846,58938760.5089148,0
3241985596344762.0,58996059.01339,54952579.046152,0
-2799550280823403.0,171055211.815375,-16366354.7641275,0
2786305591888871.0,78740296.6724163,35386018.4637195,0
2782855886621726.0,83923121.8692483,33159584.9229417,0
2624990242724340.0,34942395.0745441,75123363.3849179,0
-2597927690336036.0,46226344.5603902,-56200154.1554318,0
-2533549285759956.0,25602069.0211592,-98958771.0144077,0
2456939993978619.0,56391180.8695213,43569578.7194725,0
-2447946808382942.0,73142144.8633522,-33468348.6922118,0
-2429928213852044.0,65318954.0027952,-37200966.4108837,0
2419592395758548.0,36684608.4852424,65956609.4792018,0
2389606732702290.0,39734737.6095101,60138983.581217,0
2168442381395840.0,64941642.4929103,33390630.3899316,0
2068656017392718.0,139103274.257176,14871368.2581486,0
-2036455079353355.0,160177464.249383,-12713742.7783397,0
2034263814921656.0,45377167.2020947,44830119.2064662,0
2012425667898522.0,108617353.204274,18527662.5560355,0
-2002495242134185.0,30241465.9023571,-66216870.8553942,0
-1909607963587588.0,109598427.930867,-17423680.2446851,0
1895237562376688.0,90949343.7804292,20838386.3324203,0
-1894259376734550.0,50776105.2336745,-37306118.0651226,0
-1853521440818290.0,97128664.068981,-19083155.9209124,0
1844066406365271.0,26142453.518907,70539148.3255994,0
1825963624028209.0,74928820.4741978,24369309.5990613,0
