"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-349397709793930,2769001.47356805,-126181843.212856,0
"X",-22354834696.0813,1736.23033214146,-12875500.6074044,0
"ABC",64199234145896240,711583199.929886,90220278.0394787,0
"nAcid",201287818693354,5795686.75451608,34730624.2071327,0
"nBase",159731314428077,3520983.02837404,45365545.116484,0
"SpMax_A",-1226942505796010,22391112.7983165,-54795959.3097248,0
"SpMAD_A",-632868981828980,20303645.2788528,-31170214.6652524,0
"VR1_A",20526637864433,1710406.45456305,12001029.2347014,0
"VR3_A",40052112102343.5,8153726.88231456,4912123.33702476,0
"nAromAtom",-95314051140890784,812576367.822725,-117298576.374159,0
"nSpiro",106147527437820,2204358.61349887,48153475.0234388,0
"nBridgehead",-37563872890904.6,3693841.21909402,-10169325.2803427,0
"nHetero",-7979453319173571,1667001811.232,-4786709.44770981,0
"nB",-89501714026903.8,17437724.9790879,-5132648.56133689,0
"nN",-21499047022690096,801319175.180835,-26829567.6536611,0
"nO",760569992322673,1192568173.44114,637758.083152645,0
"nS",332933658306765,210199125.263947,1583896.49761244,0
"nP",-2872208497993056,70480408.283535,-40751870.8807485,0
"nF",358782959489714,390957219.613155,917703.885465329,0
"nCl",747813080095224,248964771.815626,3003690.33996917,0
"nBr",550269544086508,92114805.171231,5973736.17697632,0
"nI",899243977285502,38001606.7870481,23663314.6152122,0
"ATS0Z",-821311014514453,55741659.9883926,-14734240.3273509,0
"ATS0p",-1668912414467620,229497203.625582,-7272038.12552941,0
"AATS0dv",6300603610451323,145098924.014199,43422814.1473658,0
"AATS1dv",-2490123183043350,103303391.888581,-24104950.8396501,0
"AATS4dv",-2782937982245866,36660297.3358557,-75911495.1182899,0
"AATS5dv",-362918963251462,31571166.542651,-11495266.1873035,0
"AATS6dv",344265260331738,26156326.3335227,13161835.3411702,0
"AATS7dv",-827160464762566,23227908.0866994,-35610631.0424143,0
"AATS8dv",488441329159463,16270383.9720714,30020270.5724638,0
"AATS0d",-2301214274341502,82448200.3359224,-27911030.9863109,0
"AATS0s",-2552139486159074,67062743.7342584,-38055995.6847595,0
"AATS1s",-918819689975472,36744773.3614635,-25005452.6377647,0
"AATS3s",-556791421340492,22279588.864854,-24991099.4640852,0
"AATS4s",2099771556636020,23627429.2450513,88870081.2457544,0
"AATS5s",-639680702431071,24778444.3759142,-25816015.4336755,0
"AATS6s",527391390758698,23555058.136476,22389729.9553683,0
"AATS7s",464692876265663,20766486.0318844,22377058.6680955,0
"AATS8s",101253099850107,17117432.6494785,5915203.63617094,0
