"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-79562126236905.8,2780024.3391563,-28619219.3054871,0
"X",-51683316978.4228,1756.2437998224,-29428327.0828625,0
"nAcid",178465708244624,4566904.82696269,39078044.1035195,0
"ALogP",-94346588799811.9,7857895.81870907,-12006597.0555603,0
"ALogp2",-93080655145794.2,4802625.77228373,-19381200.9428194,0
"AMR",1315943877831178,55243941.4368649,23820600.8406387,0
"apol",-5044434502898202,520929625.848414,-9683523.93988453,0
"naAromAtom",141117450450594,104062009.673811,1356089.99761715,0
"nB",962561955463873,17054280.6247366,56441076.3868699,0
"nN",3570473710301409,188530474.46554,18938443.3494015,0
"nO",-1068120321583860,570225133.350131,-1873155.45933331,0
"nS",453259781246053,67682393.8397665,6696863.91883708,0
"nP",693831864071577,24631530.8006708,28168442.7040435,0
"nF",5106645273559028,359921917.137795,14188203.1363041,0
"nCl",463003520717681,85023589.3909807,5445588.97165068,0
"nBr",395834395027280,44319520.8628093,8931378.0320997,0
"nI",-913528611754602,37219533.3882164,-24544332.7358806,0
"ATS0m",1503811040082694,58446989.7537933,25729486.6068803,0
"ATS4m",-1098340622182003,37878312.3044766,-28996556.4820637,0
"ATS0s",-9478454474880282,831204768.247952,-11403272.4990971,0
"AATS0m",-173553529677211,105065499.232871,-1651860.3246965,0
"AATS2m",615264820639427,43104575.7374482,14273770.4782673,0
"AATS3m",391659387040017,34521889.8787876,11345247.5636532,0
"AATS4m",-643388096248376,22386784.5502394,-28739638.5490071,0
"AATS5m",-224143932442474,14482197.1559944,-15477204.8763125,0
"AATS6m",-313083765148567,5738545.64508889,-54558033.4307365,0
"AATS7m",350650368269636,10774519.7392927,32544408.1735614,0
"AATS8m",155513103852417,7858200.39202584,19789913.223672,0
"AATS0v",-3134292479936359,127804417.377016,-24524132.6103023,0
"AATS2v",1667931170818526,68252457.5850646,24437671.9877046,0
"AATS3v",214482020235216,57499005.7335029,3730186.59190908,0
"AATS4v",-762806876604885,48857473.7445444,-15612900.5071627,0
"AATS5v",412370042967093,20093978.8025741,20522070.169312,0
"AATS6v",869738830090283,14681066.4999247,59242210.3731185,0
"AATS7v",-495855394720642,14453465.4543437,-34307024.5877692,0
"AATS0e",697688676431802,79536512.2225319,8771929.48164194,0
"AATS3e",-1016636734778544,37194945.7070965,-27332658.1193148,0
