"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-27544477803653.5,2808825.12745903,-9806405.3665638,0
"X",-43591964671.5303,1779.14464044409,-24501641.7893092,0
"nAcid",-157640077982074,4803092.26586804,-32820539.1976964,0
"ALogP",-667432965542519,8173610.5926442,-81657054.4898691,0
"ALogp2",179888961720665,5120859.48218666,35128665.8707242,0
"AMR",3368418011846370,57151151.1738846,58938760.5089148,0
"apol",-13903112364506468,579976881.526568,-23971838.891081,0
"naAromAtom",-1909607963587588,109598427.930867,-17423680.2446851,0
"nB",832582576434178,19474568.9415027,42752298.0834683,0
"nN",7258968392811779,204124331.301623,35561504.8266128,0
"nO",1173362596824872,619712598.055088,1893398.00499032,0
"nS",1825963624028209,74928820.4741978,24369309.5990613,0
"nP",809358960424790,27352079.2776583,29590399.7721259,0
"nF",11798590996690210,378655316.760987,31159184.8164585,0
"nCl",1549872672222988,93512950.5515798,16573882.6877044,0
"nBr",761680910751628,48688868.7362829,15643840.789918,0
"nI",7409161852027.03,40396823.2261012,183409.517390957,0
"ATS0m",2168442381395840,64941642.4929103,33390630.3899316,0
"ATS4m",374176350065959,41559621.1255668,9003362.87800688,0
"ATS0s",-23675232623383896,874302484.521964,-27078995.018902,0
"AATS0m",-252609113702671,118242064.323858,-2136372.66185399,0
"AATS2m",396331843439008,47124365.1942026,8410338.0874352,0
"AATS3m",-12246892377881.2,37404350.2529532,-327418.931088483,0
"AATS4m",-2533549285759956,25602069.0211592,-98958771.0144077,0
"AATS5m",-37957792452387.7,15340243.5420571,-2474393.07911389,0
"AATS6m",-72998667343410.5,6183157.41149622,-11806050.2887547,0
"AATS7m",-356207278553587,12126047.6564514,-29375381.7109629,0
"AATS8m",250044647388010,8860145.97856871,28221278.5198831,0
"AATS0v",504368834033392,149001866.271989,3384983.33378398,0
"AATS2v",968307305418272,74665691.4143927,12968570.799729,0
"AATS3v",-789686674919318,64166747.7660031,-12306789.7690416,0
"AATS4v",790479686141292,52958144.3760803,14926498.9446709,0
"AATS5v",155358834906307,21107446.5311474,7360380.36041216,0
"AATS6v",-207170438462413,15274928.948752,-13562775.9158473,0
"AATS7v",146376052471545,15300321.17261,9566861.42860721,0
"AATS0e",-3549137638612904,94741223.5082973,-37461386.9991037,0
"AATS3e",501251000679261,39004921.8454111,12850967.9538874,0
"AATS4e",-402323139880618,54668742.6012272,-7359290.16724058,0
"AATS5e",2389606732702290,39734737.6095101,60138983.581217,0
"AATS6e",-280256807977016,9915337.18749905,-28264980.0684898,0
"AATS7e",-229824397842137,12506586.1477488,-18376269.5212798,0
"AATS8e",-115105852552429,12934067.5711938,-8899431.82365829,0
"AATS0p",894292920294890,179822059.491752,4973210.31036188,0
"AATS2p",46699360254820.1,47535471.2398564,982410.798436868,0
"AATS3p",-564661012781465,65544571.1262012,-8614916.58392657,0
"AATS4p",769386373373210,45158674.120086,17037399.5331939,0
"AATS0i",3681556110810739,70619557.4962701,52132245.5327646,0
"AATS1i",-700456879192090,44017580.1893814,-15913116.4452576,0
"AATS2i",-1682678955228539,48690071.5660568,-34558974.7787839,0
"AATS3i",-608065621703978,34748946.8995686,-17498821.5746914,0
"AATS4i",113038347651849,37596280.2380709,3006636.4793553,0
"AATS5i",-1797571443269886,29096465.2470633,-61779718.876722,0
"AATS0s",-208830458464259,57745461.260519,-3616396.05790175,0
"AATS1s",83832281089089,27185275.5211991,3083738.51218527,0
"AATS2s",-1130881782836925,37315941.6147275,-30305594.1750804,0
"AATS3s",-69847839716949.2,18258227.0257365,-3825554.34426863,0
"AATS4s",1844066406365271,26142453.518907,70539148.3255994,0
"AATS5s",34411593032618.7,12249931.1669182,2809125.41986763,0
"AATS6s",-116441177710884,7110352.43060811,-16376287.7926609,0
"AATS7s",341996164198297,6729108.36902951,50823399.6902654,0
"AATS8s",-121478075025864,8083501.66964626,-15027902.5093812,0
"ATSC0c",-93822165084669.9,34408036.0904274,-2726751.53089519,0
"ATSC3c",14864887401120.1,27628293.9439398,538031.317868642,0
"ATSC4c",-311598756976561,21277131.3240298,-14644772.9363145,0
"ATSC5c",-411235318546979,27822577.7318236,-14780633.2867787,0
"ATSC6c",334812322228563,27580026.43576,12139666.4723442,0
"ATSC7c",187345857474819,17753971.4804661,10552335.1595415,0
"ATSC8c",60447502104240.7,9040098.63366541,6686597.63059815,0
"ATSC1m",409181243668633,20756776.6424158,19713139.988821,0
"ATSC2m",80607377000858.4,14137605.2700302,5701628.77384442,0
"ATSC3m",-486562986764838,11813937.4913942,-41185505.4353615,0
"ATSC4m",278283298385869,26589432.3466496,10465936.0439838,0
"ATSC5m",-463925337554391,11024444.0590352,-42081517.6774537,0
"ATSC6m",33099704672471,13766022.0891252,2404449.48135155,0
"ATSC7m",-65467515113327.4,12625098.8824876,-5185505.13724199,0
"ATSC8m",-32862927568965,14497601.8290861,-2266783.70370423,0
"ATSC1v",658919836953724,38554156.0132956,17090760.2471311,0
"ATSC2v",-722399975055183,34475511.2837512,-20954003.2375288,0
