"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0976123995196921,1.73158627539941,-0.0563716638936612,0.955045729986242
"X",2.04957638224047e-05,5.94671354515017e-05,0.344656988549919,0.730352257118372
"MaxEStateIndex",-0.147776239331941,0.122674127432659,-1.20462433623636,0.228348357474541
"MinEStateIndex",-0.013411107735137,0.161239999176483,-0.0831748189260284,0.933712534933006
"MinAbsEStateIndex",-0.0198370363466776,0.0985998186335479,-0.20118735127093,0.840552081510497
"qed",0.396210892238634,0.0870856133722186,4.54967102941748,5.37298483387232e-06
"MolWt",0.444841946542422,1.46219228507516,0.304229444432855,0.760953093922556
"NumRadicalElectrons",0.0177841029822541,0.0564518637939295,0.315031281290779,0.752737903179424
"MaxPartialCharge",-0.204631805855782,0.13516029937874,-1.51399343443574,0.130027504704969
"MinPartialCharge",-0.448439768568304,0.164982083805663,-2.71811191993752,0.00656556254543585
"MaxAbsPartialCharge",-0.0649084190791961,0.151725314545918,-0.42780217179614,0.668795155625954
"FpDensityMorgan1",0.197281278772401,0.0880519822536908,2.24050922787864,0.0250578823766345
"BCUT2D_MWHI",0.0122308332897226,0.161401370003332,0.0757789930126994,0.939594929208068
"BCUT2D_MWLOW",-0.267255387756899,0.172265141574398,-1.55141884953826,0.120801340884387
"BCUT2D_CHGHI",0.565297157377848,0.250446966275981,2.25715314417072,0.0239985070847986
"BCUT2D_CHGLO",0.721004941520433,0.243656749091228,2.95910104772218,0.00308537913222658
"BCUT2D_LOGPHI",0.611828926841973,0.203379627363518,3.00830980355962,0.00262705182904447
"BCUT2D_LOGPLOW",-0.938629146788799,0.214665964267212,-4.37251033247362,1.22826002173629e-05
"BCUT2D_MRHI",0.161591512175116,0.181461465780157,0.890500423769787,0.373197240967177
"BCUT2D_MRLOW",0.0013860802073748,0.114801971407264,0.0120736620668092,0.990366845487923
"BalabanJ",-0.701859370600855,0.128557630213419,-5.45949213154985,4.77498496882524e-08
"HallKierAlpha",0.661158672857611,0.835532074731005,0.791302563783044,0.428767452706007
"Ipc",-0.173432645805917,0.0790581614314995,-2.19373487399133,0.0282544751723652
"Kappa3",-0.236304146679364,0.287436038058593,-0.822110366798175,0.411014085879143
"PEOE_VSA1",0.111902549122943,0.99194668906116,0.112811051598806,0.91018035637004
"PEOE_VSA10",-1.32817036081894,0.729352785599652,-1.8210259658184,0.0686029099070931
"PEOE_VSA11",-0.607983564739873,0.41774504937526,-1.4553938236949,0.145560265304532
"PEOE_VSA12",-0.504828189090744,0.370255672060951,-1.36345835373898,0.172738101113508
"PEOE_VSA13",-0.353681934433994,0.271006382261221,-1.30506865367135,0.191869471411493
"PEOE_VSA14",-0.638000680594948,0.647431088757572,-0.985434112871038,0.324410880301223
"PEOE_VSA2",0.0071284862999918,0.485633807487126,0.0146787274487285,0.988288490568077
"PEOE_VSA3",-0.185547012912171,0.407378733095647,-0.455465633913214,0.648774285939951
"PEOE_VSA4",-0.426456092593006,0.351936639559089,-1.21174110523779,0.225611499043344
"PEOE_VSA5",-0.396570385847881,0.356154860519353,-1.113477393709,0.265503452035988
"PEOE_VSA6",-2.17145302268826,1.48591172134505,-1.46136071981628,0.143916474459709
"PEOE_VSA7",-2.19357228016722,1.58855775871675,-1.38085774227007,0.1673227051979
"PEOE_VSA8",-1.31987180947187,0.950722493853549,-1.38828293009252,0.165050908020449
"PEOE_VSA9",-1.11418258623082,0.807787860697201,-1.37930097794385,0.16780197515095
"SMR_VSA1",-0.368126756871147,0.79035575319133,-0.465773489197378,0.641377643131157
"SMR_VSA10",-0.626593209080615,0.376715547604057,-1.66330594281495,0.0962512097372995
"SMR_VSA2",-0.0440738751497921,0.192523551794806,-0.228927187031988,0.818925509422758
"SMR_VSA3",0.570212894047797,0.558318330853955,1.02130426772062,0.307110305093499
"SMR_VSA4",0.0432706668469084,0.393536718153034,0.109953315283993,0.912446399348342
"SMR_VSA5",0.337999650939925,1.47027746814228,0.229888343026158,0.818178534682088
"SMR_VSA6",0.252675842281672,0.683561974975108,0.369645842706323,0.711646389092506
"SMR_VSA7",0.897147399185876,1.12241267826634,0.799302624210903,0.424114957614644
"SlogP_VSA1",-0.478404799467188,0.520158422829162,-0.919729025755511,0.357714380595271
"SlogP_VSA10",1.21176230765701,0.469698762207065,2.57987119651554,0.00988371722366953
"SlogP_VSA11",0.535961731215522,0.359568244959649,1.49057025676911,0.136074358100767
"SlogP_VSA12",0.648715655220839,0.53391981899026,1.21500575956832,0.224363894684195
"SlogP_VSA2",0.199516668491614,1.14654228556738,0.174015970455796,0.861852911112392
"SlogP_VSA3",0.217929839831265,0.272248778967758,0.800480504109349,0.423432454715718
"SlogP_VSA4",0.276102067358913,0.230929853154025,1.19561011098361,0.231848743921988
"SlogP_VSA5",1.16814025935609,0.475497111934462,2.4566716180541,0.0140230804455023
"SlogP_VSA7",-0.0758402066879664,0.160782833431926,-0.471693433118134,0.63714562510029
"SlogP_VSA8",0.645436391224356,0.271116074469067,2.38066441648039,0.0172814471254836
"TPSA",-0.420055927585013,1.29252625391551,-0.324988313631943,0.7451899164171
"EState_VSA1",0.278817376411132,0.848806282841332,0.328481753784628,0.742547438003426
"EState_VSA10",-0.698589205816433,0.27542071133316,-2.53644398213536,0.0111984657391179
"EState_VSA11",-0.0549466788136781,0.109364433462414,-0.502418172655388,0.61537339856438
"EState_VSA2",0.221152360806994,0.423905329429284,0.521702242113206,0.601877663345822
"EState_VSA3",0.421911062997465,0.415676225776274,1.0149992634521,0.310106178604799
"EState_VSA4",0.37322705090158,0.51962067743863,0.718268281280358,0.472591883586445
"EState_VSA5",0.277159416750205,0.510844309974974,0.542551637237151,0.587438545209253
"EState_VSA6",0.261068523034247,0.390946482961341,0.667785833643279,0.504270310606129
"EState_VSA7",0.303247673499972,0.469287475332147,0.64618744253795,0.518157971003431
"EState_VSA8",0.352860229402882,0.506656796373972,0.696448230692301,0.486148167306531
"VSA_EState1",3.29273289264704,1.41270807812736,2.33079497712774,0.0197641731095444
"VSA_EState10",1.45454663837871,0.508757991519244,2.85901482163487,0.00424958928737578
"VSA_EState2",2.22374625232302,1.43300765626261,1.5518034691613,0.12070925562182
"VSA_EState3",4.29666320714413,1.47797961271691,2.9071194014955,0.0036477393358186
"VSA_EState4",0.794915363159563,0.39646452863849,2.0050100468998,0.0449619729716755
"VSA_EState5",1.09551745683192,0.287029897103981,3.81673640232344,0.0001352285065187
"VSA_EState6",2.49074880266131,0.771147243630388,3.22992635094619,0.0012382211020108
"VSA_EState7",2.01594311071796,0.605443027938095,3.32969910906974,0.000869398791277827
"VSA_EState8",0.911280080236767,0.400621013179494,2.27466870248385,0.0229258113355018
"VSA_EState9",0.82835893814082,0.265629190114907,3.11847857452145,0.00181787358560469
"FractionCSP3",-0.210707610088179,0.147340191790669,-1.4300755790215,0.152695328378642
"NHOHCount",0.405483824296276,0.712683913600816,0.568953243588143,0.56938787090315
"NumAliphaticCarbocycles",-0.404193177045879,0.193043673314091,-2.09379136910764,0.0362785693561449
"NumAliphaticHeterocycles",-0.453983747925687,0.253877509830344,-1.788199940314,0.0737437559330556
"NumAromaticCarbocycles",-0.73746310763172,0.415439466773768,-1.7751397414375,0.0758748164285009
"NumAromaticHeterocycles",-0.152668275932965,0.313399785951673,-0.487135865359229,0.626162051444331
"NumRotatableBonds",0.356614092637809,0.202648934040172,1.75976298284953,0.0784480018609113
"NumSaturatedHeterocycles",0.339904866685794,0.187514355186752,1.81268717452204,0.0698800837390209
"MolLogP",-1.46630537028022,0.887594500471194,-1.65199916121811,0.098534721838251
"fr_Al_COO",-0.17310050010301,0.196145116708241,-0.882512412279383,0.377499770518656
"fr_Al_OH",-1.57314141189115,0.511111303635169,-3.07788421172164,0.00208475901248282
"fr_ArN",-0.18927055867914,0.118451610233385,-1.59787239959187,0.110071377746373
"fr_Ar_COO",-0.0136544549040627,0.103596613498436,-0.131804066204045,0.895139270249029
"fr_Ar_N",-0.129209042035916,0.353407552144439,-0.365609170635684,0.714656731039483
"fr_Ar_NH",0.284844491968616,0.0962199154500579,2.96034859972894,0.00307291117227208
"fr_Ar_OH",-0.642897373989665,0.228515189728713,-2.81336822621242,0.00490254752063303
"fr_C_S",-0.0103965314254153,0.0712112721787103,-0.145995586194899,0.883924872800251
"fr_HOCCN",-0.0312836597579148,0.047974506570396,-0.652089244774416,0.514343601889926
"fr_Imine",0.0784971860790237,0.12380236751528,0.63405238247431,0.526046637141629
"fr_NH0",-0.45631610610797,0.549472118487916,-0.83046271276457,0.406277221204784
"fr_NH1",-0.740101961827317,0.511408459013039,-1.44718365287823,0.147845493720514
"fr_NH2",-0.229658579547038,0.378944691158218,-0.606047755531559,0.544483041978321
"fr_N_O",-0.0863588280653419,0.0539066639092481,-1.60200653875979,0.109154163567686
"fr_Ndealkylation1",0.103252006506308,0.0650210500046003,1.58797814706166,0.11229128072425
"fr_Ndealkylation2",0.0794568843345858,0.0644573856354531,1.23270411220158,0.217686177060943
"fr_SH",-0.0143037599447911,0.0727957039476882,-0.196491814339345,0.844225239000622
"fr_aldehyde",-0.123779978983539,0.109063271859441,-1.13493733383557,0.256401575922219
"fr_alkyl_carbamate",0.047693194697521,0.069735721062126,0.683913408668022,0.494029846449909
"fr_alkyl_halide",-0.25867744245045,0.229770121226697,-1.12580974875855,0.260246056853677
"fr_allylic_oxid",0.00356850411053423,0.113173423940705,0.0315312905298675,0.974845838311087
"fr_amide",0.235025338153119,0.33430546500271,0.703025713777112,0.482039724923501
"fr_amidine",0.268797968384513,0.0826703421735874,3.25144376226366,0.00114820488500962
"fr_aniline",0.121250867627612,0.280258908506306,0.432638763469973,0.665277223683081
"fr_aryl_methyl",0.0377926722450088,0.0695436145847947,0.543438423076615,0.586827976805734
"fr_azide",0.293225969084651,27.2956439246939,0.010742592110801,0.991428816469229
"fr_azo",-0.0370730840941012,0.106098020406423,-0.349422957677135,0.726771800481857
"fr_barbitur",0.0151707443344145,0.0615574798126362,0.246448431296895,0.805335119304641
"fr_benzodiazepine",0.182399705660752,0.0641125660206164,2.84499150450629,0.00444126075723029
"fr_bicyclic",0.177691022132101,0.105929904085864,1.67743965847519,0.0934565397550434
"fr_dihydropyridine",0.228228848420306,0.0724938688181472,3.14825035745883,0.00164250952185505
"fr_epoxide",-0.0394077903629649,0.0757933216015747,-0.519937502806925,0.603107135409434
"fr_ester",0.293906908436319,0.199767192564384,1.47124712853736,0.141224296034554
"fr_ether",-0.257084060986775,0.323106215434056,-0.795664238898693,0.426227217737418
"fr_furan",0.149250445947932,0.0629694347166743,2.3702046337159,0.0177782424846399
"fr_guanido",0.199009756104445,0.0884838190545489,2.24910902615719,0.0245055604306888
"fr_halogen",-0.321882217867328,0.562836139066533,-0.571893301665332,0.567394262260685
"fr_hdrzine",0.00238046906607232,0.0533340720268937,0.0446331767968507,0.964399697741602
"fr_hdrzone",0.0230898537091119,0.0670962127028645,0.344130507207095,0.730748141025756
"fr_imidazole",0.326489182717861,0.0749897780862251,4.35378248942751,1.33808475179141e-05
"fr_imide",0.0927777431823073,0.0762361799249756,1.21697786108394,0.223612639267642
"fr_isocyan",-0.570204225644044,31.0169421610186,-0.0183836376482226,0.985332805503354
"fr_isothiocyan",-0.245393514587934,27.2956381177845,-0.00899020984704685,0.992826946990448
"fr_ketone",0.522652286142951,0.205718053955727,2.5406242966669,0.0110654753860328
"fr_ketone_Topliss",-0.0718374604105741,0.115878525789323,-0.619937645230149,0.535298840111717
