"","x"
"1",2.22044604925031e-16
"2",2.22044604925031e-16
"3",1
"4",2.22044604925031e-16
"5",2.22044604925031e-16
"6",2.22044604925031e-16
"7",2.22044604925031e-16
"8",1
"9",1
"10",2.22044604925031e-16
"11",1
"12",1
"13",2.22044604925031e-16
"14",2.22044604925031e-16
"15",1
"16",2.22044604925031e-16
"17",2.22044604925031e-16
"18",1
"19",2.22044604925031e-16
"20",1
"21",2.22044604925031e-16
"22",2.22044604925031e-16
"23",1
"24",2.22044604925031e-16
"25",2.22044604925031e-16
"26",2.22044604925031e-16
"27",1
"28",1
"29",2.22044604925031e-16
"30",2.22044604925031e-16
"31",2.22044604925031e-16
"32",1
"33",1
"34",1
"35",1
"36",2.22044604925031e-16
"37",2.22044604925031e-16
"38",2.22044604925031e-16
"39",1
"40",1
"41",1
"42",2.22044604925031e-16
"43",2.22044604925031e-16
"44",2.22044604925031e-16
"45",2.22044604925031e-16
"46",1
"47",2.22044604925031e-16
"48",2.22044604925031e-16
"49",1
"50",2.22044604925031e-16
"51",1
"52",1
"53",1
"54",2.22044604925031e-16
"55",2.22044604925031e-16
"56",1
"57",1
"58",2.22044604925031e-16
"59",1
"60",1
"61",1
"62",2.22044604925031e-16
"63",2.22044604925031e-16
"64",1
"65",2.22044604925031e-16
"66",1
"67",1
"68",2.22044604925031e-16
"69",2.22044604925031e-16
"70",2.22044604925031e-16
"71",1
"72",2.22044604925031e-16
"73",1
"74",1
"75",2.22044604925031e-16
"76",1
"77",2.22044604925031e-16
"78",1
"79",2.22044604925031e-16
"80",2.22044604925031e-16
"81",1
"82",2.22044604925031e-16
"83",1
"84",1
"85",2.22044604925031e-16
"86",1
"87",2.22044604925031e-16
"88",1
"89",2.22044604925031e-16
"90",1
"91",2.22044604925031e-16
"92",2.22044604925031e-16
"93",2.22044604925031e-16
"94",1
"95",2.22044604925031e-16
"96",2.22044604925031e-16
"97",1
"98",1
"99",2.22044604925031e-16
"100",1
"101",2.22044604925031e-16
"102",1
"103",2.22044604925031e-16
"104",2.22044604925031e-16
"105",1
"106",2.22044604925031e-16
"107",2.22044604925031e-16
"108",2.22044604925031e-16
"109",2.22044604925031e-16
"110",2.22044604925031e-16
"111",1
"112",1
"113",2.22044604925031e-16
"114",2.22044604925031e-16
"115",1
"116",2.22044604925031e-16
"117",1
"118",2.22044604925031e-16
"119",2.22044604925031e-16
"120",2.22044604925031e-16
"121",2.22044604925031e-16
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",2.22044604925031e-16
"129",1
"130",1
"131",1
"132",1
"133",2.22044604925031e-16
"134",1
"135",2.22044604925031e-16
"136",2.22044604925031e-16
"137",1
"138",2.22044604925031e-16
"139",1
"140",2.22044604925031e-16
"141",2.22044604925031e-16
"142",1
"143",2.22044604925031e-16
"144",1
"145",2.22044604925031e-16
"146",2.22044604925031e-16
"147",2.22044604925031e-16
"148",2.22044604925031e-16
"149",1
"150",2.22044604925031e-16
"151",2.22044604925031e-16
"152",2.22044604925031e-16
"153",1
"154",1
"155",1
"156",2.22044604925031e-16
"157",2.22044604925031e-16
"158",1
"159",1
"160",2.22044604925031e-16
"161",2.22044604925031e-16
"162",2.22044604925031e-16
"163",1
"164",1
"165",1
"166",2.22044604925031e-16
"167",1
"168",1
"169",2.22044604925031e-16
"170",1
"171",1
"172",1
"173",2.22044604925031e-16
"174",1
"175",2.22044604925031e-16
"176",1
"177",2.22044604925031e-16
"178",1
"179",1
"180",2.22044604925031e-16
"181",2.22044604925031e-16
"182",2.22044604925031e-16
"183",1
"184",2.22044604925031e-16
"185",1
"186",1
"187",1
"188",2.22044604925031e-16
"189",2.22044604925031e-16
"190",1
"191",2.22044604925031e-16
"192",2.22044604925031e-16
"193",1
"194",1
"195",2.22044604925031e-16
"196",2.22044604925031e-16
"197",2.22044604925031e-16
"198",2.22044604925031e-16
"199",2.22044604925031e-16
"200",1
"201",2.22044604925031e-16
"202",1
"203",1
"204",2.22044604925031e-16
"205",2.22044604925031e-16
"206",1
"207",2.22044604925031e-16
"208",2.22044604925031e-16
"209",2.22044604925031e-16
"210",1
"211",1
"212",1
"213",1
"214",2.22044604925031e-16
"215",1
"216",2.22044604925031e-16
"217",1
"218",2.22044604925031e-16
"219",2.22044604925031e-16
"220",2.22044604925031e-16
"221",2.22044604925031e-16
"222",1
"223",2.22044604925031e-16
"224",1
"225",2.22044604925031e-16
"226",2.22044604925031e-16
"227",1
"228",2.22044604925031e-16
"229",1
"230",1
"231",2.22044604925031e-16
"232",2.22044604925031e-16
"233",2.22044604925031e-16
"234",2.22044604925031e-16
"235",1
"236",2.22044604925031e-16
"237",2.22044604925031e-16
"238",2.22044604925031e-16
"239",1
"240",2.22044604925031e-16
"241",2.22044604925031e-16
"242",2.22044604925031e-16
"243",2.22044604925031e-16
"244",2.22044604925031e-16
"245",2.22044604925031e-16
"246",1
"247",2.22044604925031e-16
"248",1
"249",2.22044604925031e-16
"250",2.22044604925031e-16
"251",2.22044604925031e-16
"252",2.22044604925031e-16
"253",1
"254",2.22044604925031e-16
"255",2.22044604925031e-16
"256",2.22044604925031e-16
"257",2.22044604925031e-16
"258",2.22044604925031e-16
"259",2.22044604925031e-16
"260",1
"261",2.22044604925031e-16
"262",1
"263",2.22044604925031e-16
"264",2.22044604925031e-16
"265",2.22044604925031e-16
"266",2.22044604925031e-16
"267",2.22044604925031e-16
"268",2.22044604925031e-16
"269",2.22044604925031e-16
"270",1
"271",2.22044604925031e-16
"272",1
"273",2.22044604925031e-16
"274",2.22044604925031e-16
"275",1
"276",2.22044604925031e-16
"277",2.22044604925031e-16
"278",1
"279",2.22044604925031e-16
"280",1
"281",2.22044604925031e-16
"282",2.22044604925031e-16
"283",1
"284",2.22044604925031e-16
"285",1
"286",2.22044604925031e-16
"287",2.22044604925031e-16
"288",1
"289",2.22044604925031e-16
"290",1
"291",1
"292",1
"293",1
"294",2.22044604925031e-16
"295",2.22044604925031e-16
"296",1
"297",1
"298",1
"299",2.22044604925031e-16
"300",1
"301",1
"302",1
"303",2.22044604925031e-16
"304",2.22044604925031e-16
"305",2.22044604925031e-16
"306",2.22044604925031e-16
"307",2.22044604925031e-16
"308",1
"309",1
"310",1
"311",2.22044604925031e-16
"312",1
"313",2.22044604925031e-16
"314",1
"315",2.22044604925031e-16
"316",1
"317",2.22044604925031e-16
"318",2.22044604925031e-16
"319",1
"320",2.22044604925031e-16
"321",2.22044604925031e-16
"322",1
"323",2.22044604925031e-16
"324",2.22044604925031e-16
"325",2.22044604925031e-16
"326",2.22044604925031e-16
"327",1
"328",1
"329",1
"330",2.22044604925031e-16
"331",2.22044604925031e-16
"332",1
"333",2.22044604925031e-16
"334",2.22044604925031e-16
"335",1
"336",2.22044604925031e-16
"337",1
"338",1
"339",1
"340",2.22044604925031e-16
"341",1
"342",2.22044604925031e-16
"343",1
"344",2.22044604925031e-16
"345",1
"346",2.22044604925031e-16
"347",1
"348",2.22044604925031e-16
"349",2.22044604925031e-16
"350",1
"351",1
"352",2.22044604925031e-16
"353",1
"354",2.22044604925031e-16
"355",2.22044604925031e-16
"356",2.22044604925031e-16
"357",1
"358",2.22044604925031e-16
"359",2.22044604925031e-16
"360",2.22044604925031e-16
"361",1
"362",2.22044604925031e-16
"363",1
"364",2.22044604925031e-16
"365",1
"366",2.22044604925031e-16
"367",1
"368",2.22044604925031e-16
"369",2.22044604925031e-16
"370",2.22044604925031e-16
"371",1
"372",1
"373",1
"374",2.22044604925031e-16
"375",2.22044604925031e-16
"376",1
"377",2.22044604925031e-16
"378",2.22044604925031e-16
"379",1
"380",1
"381",1
"382",1
"383",2.22044604925031e-16
"384",2.22044604925031e-16
"385",2.22044604925031e-16
"386",2.22044604925031e-16
"387",2.22044604925031e-16
"388",1
"389",2.22044604925031e-16
"390",2.22044604925031e-16
"391",2.22044604925031e-16
"392",1
"393",1
"394",2.22044604925031e-16
"395",2.22044604925031e-16
"396",2.22044604925031e-16
"397",2.22044604925031e-16
"398",1
"399",1
"400",1
"401",2.22044604925031e-16
"402",1
"403",2.22044604925031e-16
"404",2.22044604925031e-16
"405",2.22044604925031e-16
"406",2.22044604925031e-16
"407",2.22044604925031e-16
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
