"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",2.22044604925031e-16
"8",1
"9",2.22044604925031e-16
"10",1
"11",1
"12",2.22044604925031e-16
"13",1
"14",1
"15",2.22044604925031e-16
"16",1
"17",1
"18",2.22044604925031e-16
"19",2.22044604925031e-16
"20",1
"21",1
"22",2.22044604925031e-16
"23",2.22044604925031e-16
"24",1
"25",2.22044604925031e-16
"26",2.22044604925031e-16
"27",2.22044604925031e-16
"28",1
"29",1
"30",1
"31",2.22044604925031e-16
"32",1
"33",2.22044604925031e-16
"34",2.22044604925031e-16
"35",2.22044604925031e-16
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",2.22044604925031e-16
"47",2.22044604925031e-16
"48",2.22044604925031e-16
"49",2.22044604925031e-16
"50",1
"51",1
"52",2.22044604925031e-16
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",2.22044604925031e-16
"61",1
"62",1
"63",2.22044604925031e-16
"64",1
"65",2.22044604925031e-16
"66",1
"67",2.22044604925031e-16
"68",2.22044604925031e-16
"69",1
"70",1
"71",2.22044604925031e-16
"72",1
"73",1
"74",1
"75",2.22044604925031e-16
"76",2.22044604925031e-16
"77",2.22044604925031e-16
"78",2.22044604925031e-16
"79",1
"80",1
"81",1
"82",2.22044604925031e-16
"83",2.22044604925031e-16
"84",2.22044604925031e-16
"85",2.22044604925031e-16
"86",1
"87",1
"88",1
"89",1
"90",2.22044604925031e-16
"91",1
"92",1
"93",2.22044604925031e-16
"94",2.22044604925031e-16
"95",2.22044604925031e-16
"96",2.22044604925031e-16
"97",1
"98",1
"99",1
"100",2.22044604925031e-16
"101",1
"102",2.22044604925031e-16
"103",1
"104",2.22044604925031e-16
"105",2.22044604925031e-16
"106",1
"107",2.22044604925031e-16
"108",1
"109",2.22044604925031e-16
"110",1
"111",1
"112",1
"113",2.22044604925031e-16
"114",1
"115",2.22044604925031e-16
"116",1
"117",1
"118",2.22044604925031e-16
"119",2.22044604925031e-16
"120",1
"121",2.22044604925031e-16
"122",2.22044604925031e-16
"123",1
"124",2.22044604925031e-16
"125",2.22044604925031e-16
"126",1
"127",1
"128",1
"129",1
"130",1
"131",2.22044604925031e-16
"132",2.22044604925031e-16
"133",1
"134",1
"135",2.22044604925031e-16
"136",1
"137",2.22044604925031e-16
"138",2.22044604925031e-16
"139",2.22044604925031e-16
"140",2.22044604925031e-16
"141",1
"142",1
"143",2.22044604925031e-16
"144",2.22044604925031e-16
"145",1
"146",1
"147",2.22044604925031e-16
"148",1
"149",2.22044604925031e-16
"150",2.22044604925031e-16
"151",1
"152",2.22044604925031e-16
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",2.22044604925031e-16
"161",1
"162",1
"163",2.22044604925031e-16
"164",1
"165",2.22044604925031e-16
"166",2.22044604925031e-16
"167",1
"168",1
"169",1
"170",2.22044604925031e-16
"171",2.22044604925031e-16
"172",1
"173",2.22044604925031e-16
"174",2.22044604925031e-16
"175",1
"176",1
"177",1
"178",1
"179",1
"180",2.22044604925031e-16
"181",1
"182",2.22044604925031e-16
"183",1
"184",1
"185",2.22044604925031e-16
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",2.22044604925031e-16
"194",1
"195",2.22044604925031e-16
"196",1
"197",1
"198",2.22044604925031e-16
"199",1
"200",2.22044604925031e-16
"201",2.22044604925031e-16
"202",1
"203",1
"204",1
"205",1
"206",2.22044604925031e-16
"207",1
"208",2.22044604925031e-16
"209",2.22044604925031e-16
"210",1
"211",1
"212",1
"213",2.22044604925031e-16
"214",2.22044604925031e-16
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",2.22044604925031e-16
"222",2.22044604925031e-16
"223",2.22044604925031e-16
"224",2.22044604925031e-16
"225",2.22044604925031e-16
"226",1
"227",2.22044604925031e-16
"228",2.22044604925031e-16
"229",1
"230",1
"231",1
"232",2.22044604925031e-16
"233",2.22044604925031e-16
"234",2.22044604925031e-16
"235",1
"236",1
"237",2.22044604925031e-16
"238",1
"239",1
"240",1
"241",1
"242",2.22044604925031e-16
"243",1
"244",2.22044604925031e-16
"245",2.22044604925031e-16
"246",2.22044604925031e-16
"247",2.22044604925031e-16
"248",1
"249",1
"250",1
"251",2.22044604925031e-16
"252",2.22044604925031e-16
"253",2.22044604925031e-16
"254",1
"255",2.22044604925031e-16
"256",1
"257",1
"258",2.22044604925031e-16
"259",2.22044604925031e-16
"260",2.22044604925031e-16
"261",1
"262",2.22044604925031e-16
"263",1
"264",2.22044604925031e-16
"265",1
"266",2.22044604925031e-16
"267",2.22044604925031e-16
"268",2.22044604925031e-16
"269",2.22044604925031e-16
"270",1
"271",1
