Estimate,Std. Error,z value,Pr(>|z|)
-2.3002581397650547e+18,35959926939.8358,-63967263.9939896,0
2.2588772390169935e+18,28180933132.77,80156225.7848117,0
1.203519203611217e+18,19058680372.0332,63148086.8621557,0
8.59660894484407e+17,10188818659.238,84372970.3349824,0
-5.3305161113013766e+17,7551584919.03915,-70588044.3436716,0
4.3337443722756794e+17,6389361931.11379,67827498.5671414,0
4.208839800858488e+17,6549414690.91028,64262838.7342735,0
3.676776020225349e+17,5685369247.07932,64670839.490578,0
-2.807362128339381e+17,4145188099.87325,-67725807.869255,0
2.7544732653390982e+17,4056847281.89158,67896893.1769789,0
-2.44818451591702e+17,3498955662.74747,-69969006.5233534,0
1.519408188668575e+17,2833132246.43878,53629977.5832369,0
-1.280864410053564e+17,1883076436.09398,-68019777.9284218,0
1.1328168092619408e+17,1766113446.51701,64141791.7685861,0
1.0908340671140968e+17,1715390077.70487,63591021.1497547,0
8.216468153036674e+16,1226079311.818,67014165.1836003,0
-6.550047295922511e+16,968315913.107648,-67643701.8875506,0
-6.161621506727982e+16,950082596.839533,-64853535.1265745,0
-6.044362745731642e+16,859569580.314596,-70318481.2975751,0
5.648178826354906e+16,687688564.590737,82132801.3461486,0
4.101129159453483e+16,664874639.812986,61682743.0898408,0
-3.688006071978462e+16,1565728260.44406,-23554573.0708885,0
3.575952277252402e+16,788605663.625748,45345252.28758,0
2.946989854201558e+16,949657842.998954,31032122.5263108,0
2.741319183382548e+16,426688105.938873,64246440.0865036,0
2.1669506720407936e+16,368133876.131062,58863115.0931984,0
2.1662413378525028e+16,988799006.062636,21907802.5419787,0
1.3003923299330324e+16,169669640.301725,76642605.4549614,0
1.2614609897313764e+16,103552607.160156,121818370.809378,0
1.2287364549174902e+16,91587991.8355004,134159121.768321,0
1.1300028082506738e+16,174702480.759119,64681554.7976522,0
1.1032537297503738e+16,362892615.573468,30401658.297922,0
1.0907367211282414e+16,278521615.477747,39161654.2672032,0
9286580039643234.0,116849994.854887,79474372.6876152,0
-8773782069359379.0,149461996.445136,-58702427.8949735,0
8227405057228096.0,93630991.1497398,87870532.5683286,0
-8174464338272041.0,48022235.3338323,-170222487.175915,0
8155113392154397.0,219464436.076333,37159156.7998649,0
7830281193734999.0,318281179.909913,24601772.5457449,0
7796037752191700.0,535470090.472026,14559240.3589141,0
7708149515809146.0,340772648.04854,22619625.0196441,0
6350509652290395.0,56374838.5727774,112647943.888871,0
6073534232188053.0,66395541.3526513,91475031.4321449,0
-5949387094888084.0,54599827.5110068,-108963477.836789,0
5930700215768206.0,119766758.963639,49518750.1698093,0
5891964275493651.0,44718237.0603983,131757525.850935,0
5708263662822330.0,90640174.6220488,62977191.809533,0
5617749883196433.0,57737170.5748743,97298669.596413,0
5161436850418870.0,72276117.0950121,71412757.8773192,0
5017425326110923.0,183470943.207874,27347247.6806648,0
-4967374339857231.0,100489245.230223,-49431900.18471,0
-4931498088621312.0,174154937.368983,-28316728.5586221,0
-4918655313525618.0,383818045.449071,-12815070.5050117,0
4659018718163152.0,72778099.8713636,64016767.7693982,0
-4634845405516458.0,79395093.138654,-58376975.481624,0
-4626329662741759.0,122138603.959526,-37877702.1577456,0
4404956493482372.0,37736041.3778612,116730752.157449,0
4370276682570774.0,146133128.100851,29906132.4380514,0
4266879523954682.0,33514427.3233896,127314707.865434,0
-3975628305843341.0,52545106.2456,-75661247.8288832,0
3835974016793284.0,123946465.247788,30948635.8414867,0
-3746530517930536.0,58442568.9938402,-64106191.4702179,0
-3655525108095094.0,42904147.3191371,-85202138.6395104,0
-3619555875107184.0,97134606.8856098,-37263298.7475796,0
3611658688400349.0,86954716.4184746,41534937.2312254,0
3602418225749032.0,43035533.2563933,83707995.5367781,0
3590683414579661.0,30343176.1679413,118335779.837489,0
-3550026798674500.0,82650059.2620099,-42952501.5513966,0
-3299122211140572.0,106198541.181587,-31065607.6291995,0
-3186041034666082.0,64384243.9561691,-49484793.7771087,0
3181958033965102.0,39849256.2255644,79849872.6288344,0
-3133604163297896.0,69887604.3430162,-44837767.6235376,0
3084681901243506.0,36378004.7756134,84795247.0255152,0
-3071218623963278.0,33377483.6647759,-92014684.3545432,0
3055232539367900.0,49148521.8775852,62163263.9731791,0
3054330814601690.0,151461138.292283,20165772.2174752,0
2998301843670512.0,364592796.406764,8223700.17515487,0
2951147139720301.0,23879127.6826248,123586890.565841,0
2791847602162428.0,494099258.479719,5650378.04499564,0
-2637506156952784.0,231707130.81468,-11382930.4591505,0
-2625756577591506.0,25248834.2562605,-103995160.764321,0
2621689906119174.0,29512011.3335915,88834674.0072943,0
-2621185933733212.0,156788968.53814,-16717923.1942941,0
-2542235102626094.0,31868226.5977827,-79773347.1244672,0
-2530091136306968.0,27637679.0940217,-91544992.8953786,0
2524278632686685.0,26388705.300788,95657539.9934952,0
-2477172218428922.0,31187076.964719,-79429445.1266233,0
-2461999573436138.0,227268995.483396,-10832975.9992097,0
-2458815267586858.0,26673931.3141869,-92180460.3387842,0
2458266455325043.0,31144344.7308292,78931391.1264168,0
-2421885481072376.0,63023495.7279635,-38428294.925535,0
2375309516517811.0,29922854.0285925,79381114.9915081,0
2369124077123694.0,72337310.3885292,32751066.6957197,0
-2331972189806172.0,16154658.8121261,-144352921.15583,0
-2302996677690904.0,99591872.4870989,-23124343.5852583,0
2299619399407601.0,24348861.6883879,94444636.8309816,0
2220407013727463.0,31813921.0756151,69793566.4217566,0
2186260758553539.0,34985835.4424338,62489882.8599033,0
2146625068033044.0,21405220.2647566,100285119.306501,0
2110687403225455.0,42536983.2536873,49620053.9337141,0
2010770302238370.0,82561316.5149521,24354872.077097,0
1990792315086674.0,34369854.426244,57922628.6616608,0
1946939995578919.0,28881690.1738285,67410874.6358329,0
-1944306583283348.0,34259271.7400492,-56752712.0259958,0
-1941699500066632.0,76798236.4593846,-25283126.1443551,0
1906687275931550.0,24310359.4112002,78431060.7540055,0
1903598588004566.0,16705990.0411463,113947068.28605,0
1892159856055994.0,22450187.0751775,84282587.477772,0
1840273861132969.0,15736262.8363851,116944784.175689,0
-1813766613003774.0,27829389.9239175,-65174501.4160359,0
-1813658310050562.0,16438786.2775361,-110327993.772202,0
1789659977227454.0,24015432.8274432,74521245.9873865,0
1775792592831194.0,52628596.1499447,33741971.5276418,0
1732536542271938.0,108834475.923652,15919004.7782958,0
1717862240518320.0,19117937.6257587,89856043.7922835,0
1715642571103480.0,34040034.8406386,50400728.9985281,0
1712858908299055.0,34726952.9125174,49323616.5180979,0
1694423351464093.0,23523904.7699869,72029850.8275689,0
1673429949731455.0,21405112.7122339,78178983.3218222,0
1672536461516383.0,33961541.4904639,49247954.8369739,0
-1669828697117726.0,23409414.7287157,-71331501.2984664,0
1664521145701594.0,88844093.7761504,18735304.4524882,0
-1628454127550557.0,20854648.890044,-78085904.7849031,0
-1621129802289132.0,19736605.6111865,-82138227.5263327,0
1620225393662818.0,35930225.2491083,45093660.9060927,0
1605567956601508.0,70925787.096093,22637294.8731076,0
-1597409516385026.0,19895043.9336886,-80291831.5591204,0
-1596181162424708.0,54721010.1601447,-29169438.9002209,0
-1588145063664694.0,183786482.190214,-8641250.67708193,0
-1575659079444604.0,79135369.2927556,-19910933.5500232,0
-1560748583354405.0,66946736.4191554,-23313288.5460243,0
1520419317930869.0,30253751.2270976,50255563.5669094,0
-1513200150458596.0,596667181.997245,-2536087.44726567,0
-1492215297876228.0,26804713.8857727,-55669883.4479356,0
1473054630159628.0,40237365.2931625,36609122.3773526,0
1462180365839538.0,13309270.2905388,109861798.124196,0
-1457909358765362.0,21827644.3285448,-66791878.0799816,0
1434888645305189.0,324864727.742952,4416880.38979886,0
1410804552162774.0,31356459.6251216,44992469.4633731,0
1389714944991148.0,11794655.2679635,117825821.392667,0
1386972432760372.0,25515377.5932219,54358295.4119722,0
-1370663344365102.0,39109710.1147564,-35046625.0029283,0
1368042453429346.0,34249022.5356991,39943985.3211397,0
-1336384801708382.0,15346555.076217,-87080442.1625163,0
1333886072341532.0,14807812.7316664,90079885.2952146,0
1329699161957933.0,15127234.5731769,87901007.6511743,0
1318746261967724.0,12756139.1448721,103381301.112402,0
1314723643508768.0,18484635.2221647,71125214.412254,0
-1308595425882695.0,30400341.6868182,-43045418.3496928,0
-1271466751461116.0,27427000.1371722,-46358214.3545432,0
1271000176883486.0,63891674.8623671,19893048.3450532,0
1259111179769990.0,10210639.1458643,123313649.790471,0
-1254101327353889.0,542761980.318148,-2310591.70102294,0
-1251572636602018.0,17690346.0186177,-70748906.5100727,0
-1240026240845716.0,27183634.4491396,-45616646.4114943,0
-1236586262378483.0,24729014.4324285,-50005481.0416093,0
-1207320501593916.0,28132229.3408786,-42915919.9210556,0
-1200061008999841.0,13125086.2812475,-91432618.6727195,0
1197921919475750.0,28845464.1423829,41528952.8212386,0
1197886215775447.0,17302914.011848,69230316.6365624,0
1195330468985146.0,44531825.5246227,26842161.8674541,0
1171013715820096.0,19589100.4552486,59778840.7127364,0
1155956950331939.0,112743283.07211,10253000.6119531,0
1139110530130436.0,14098869.4286998,80794459.1508627,0
-1132255219545704.0,53614326.2265391,-21118519.9784388,0
1125549114363338.0,29204095.6626283,38540796.7213199,0
1110920432513982.0,14155477.1632412,78479900.020524,0
1099606767155150.0,79336424.1653704,13860049.5134884,0
1097772857514301.0,27930404.928078,39303864.7431397,0
-1089573711099729.0,21192963.1899504,-51412051.3178826,0
1059395617790613.0,16832449.8414175,62937696.4001929,0
1052824203376106.0,15146501.0479031,69509400.2269165,0
1049383537609120.0,22590770.3434264,46451870.4610919,0
-1046149014137993.0,13436343.6312442,-77859650.128725,0
1035497347179192.0,93358633.2487155,11091607.8261401,0
1033207885338776.0,47108313.1405053,21932602.0496028,0
1028446461399006.0,31537481.2631326,32610291.6342043,0
-1021159233767572.0,8995902.65725146,-113513815.41956,0
-1016571270683694.0,13617636.4663536,-74651080.1044979,0
-1016351991511172.0,18746512.587306,-54215523.3821668,0
994411911831546.0,15672401.2695579,63449875.659009,0
-984350465465055.0,13621366.6565791,-72265176.4894394,0
980817965119099.0,20223410.1551135,48499138.2559237,0
-977843401772790.0,29089628.7095467,-33614846.4298508,0
-968496465342295.0,16897199.6663124,-57316980.5925395,0
968105913526034.0,15952128.4068781,60688197.1379202,0
964351558498355.0,15100159.4998196,63863667.036754,0
-964031927004414.0,98480954.3613283,-9789018.93524878,0
959044735920627.0,7153883.51809562,134059316.662725,0
954691248280897.0,15949813.6582206,59855949.9652115,0
-944175591752198.0,19244117.6804676,-49063075.1396058,0
937038183148958.0,42090202.7860385,22262619.8289493,0
-935517027238817.0,11528124.7154687,-81150841.9911108,0
911668725566788.0,17607328.8176999,51777798.609084,0
-905494879734056.0,31113907.0213637,-29102577.1566495,0
-903482302289127.0,9585102.88324603,-94259009.3496378,0
-900602426969789.0,13510600.3154962,-66658949.7090541,0
-897123214194502.0,15151055.9929508,-59211926.5226065,0
-890914582309051.0,13401245.1895084,-66479985.2335013,0
-889131310310065.0,8440742.62377278,-105338043.101313,0
-882320368048724.0,14938386.7888246,-59063965.9102139,0
-865702132148449.0,16500288.6798097,-52465877.958108,0
856820518018209.0,16495804.0149614,51941725.1345304,0
-848521844830980.0,7928597.50563931,-107020421.231808,0
838111155638804.0,25714653.861151,32592744.9836297,0
-833727048816865.0,16027787.6772911,-52017600.0333551,0
830078228986448.0,13659900.4848828,60767516.5646399,0
-826548965194834.0,11813614.1541417,-69965800.0007606,0
-803526848300039.0,322613885.997476,-2490676.57399696,0
-802613354237837.0,10010224.4953173,-80179356.0787064,0
791814988541003.0,10244331.519387,77292987.5456029,0
-785717866007712.0,22454028.4065118,-34992289.6588056,0
-785335791724076.0,14785225.5824712,-53116253.6103026,0
-773982877650524.0,11596449.6839126,-66743089.3719348,0
768545536251178.0,18283634.7402917,42034614.4061569,0
764968784060887.0,15838858.7146079,48296963.6792941,0
-764062816320690.0,26459415.6034366,-28876783.5152585,0
-757074341449988.0,13089132.5283282,-57839917.1840828,0
-752679981547145.0,12824585.6681219,-58690393.6723731,0
744267345096114.0,112473198.685552,6617286.19612665,0
736713244097397.0,11021097.3219098,66845725.3011295,0
-734093204102476.0,7578770.39136404,-96861781.8187196,0
732084624320421.0,7906394.84265741,92593987.3848193,0
-724817509063281.0,8720022.3581096,-83121060.8524647,0
718241503737191.0,15689704.4985435,45777885.9891125,0
708444637358074.0,61729474.5393227,11476602.4276909,0
-705567299039735.0,11048621.0002242,-63860213.7792055,0
-704561125061914.0,21033929.8309685,-33496409.4072701,0
704527182919544.0,12003578.3960156,58693096.3147955,0
700089708832080.0,6233267.05151376,112315051.328029,0
-693219865994549.0,9653827.1838656,-71807776.6249145,0
-678329504997479.0,6702775.68964399,-101201283.827164,0
675407593443646.0,10138265.7839498,66619637.7010462,0
-666731863647573.0,20385915.5071769,-32705514.9136103,0
-666209454760288.0,7677320.86156387,-86776294.3314813,0
-661297444021572.0,9091562.68528385,-72737489.3528467,0
-659451650271065.0,14955952.8935519,-44092921.0572321,0
655584462571421.0,32767613.7826579,20007085.8659347,0
652741816417446.0,75303368.2409436,8668162.28364324,0
642129339140238.0,11256319.5339838,57046118.6004534,0
-641542599769040.0,11446336.8148934,-56047852.7011627,0
639528699958702.0,7602577.10164856,84119988.7101474,0
-638974884904567.0,6914735.01572602,-92407718.2207795,0
-637504224119293.0,4797842.07154271,-132873115.582629,0
-637232645933832.0,13987958.4041984,-45555800.7480613,0
-635988332689218.0,9980635.64749226,-63722227.2359994,0
633501386587497.0,16289905.0498271,38889200.6828623,0
624815513736364.0,11090484.8239183,56337980.1385106,0
622417384701198.0,9815464.64861468,63411912.4242421,0
-621920590435217.0,14648476.6164744,-42456332.2670546,0
-616430137038125.0,97597984.4847492,-6316012.98215794,0
615983809004104.0,12739340.9279734,48352878.8880679,0
608443401262861.0,16385816.2252555,37132321.8140982,0
607533210255090.0,45014891.982533,13496271.6447443,0
601913744631299.0,15266864.346379,39426153.9878071,0
-591429458600098.0,15815580.2977552,-37395368.836643,0
-589064627204701.0,63099140.0665897,-9335541.28603099,0
-588333140089748.0,18261265.013226,-32217545.6992513,0
-585082008345764.0,8475310.96646521,-69033692.1749295,0
-584831468458168.0,17390389.3356354,-33629578.7961322,0
-584141709920741.0,25067394.3820385,-23302849.152096,0
-582341227863452.0,5892842.88809918,-98821780.7468635,0
581115346724788.0,20535608.667043,28297936.3381327,0
577740685396601.0,31099908.8935462,18576925.3335817,0
-577283052932490.0,10617337.5331983,-54371734.0743329,0
574650636078721.0,12150169.3056005,47295689.6011188,0
-569868113824065.0,10228619.3648122,-55713101.9836836,0
559523020294957.0,14679331.7312004,38116382.3081749,0
557373271253774.0,18573552.0259389,30008975.691638,0
-556470103763765.0,14139478.111771,-39355773.9093997,0
553002741473550.0,15487985.1027453,35705273.3331677,0
-545938753666816.0,13138414.9100068,-41552862.9143082,0
543886323558734.0,14111564.1934268,38541887.7810923,0
-541994910216621.0,21593802.5357554,-25099558.5107892,0
540947730138518.0,8343033.70193574,64838253.02216,0
-534892780988789.0,6340336.02766626,-84363475.1620051,0
-534840700898934.0,27414440.9056432,-19509451.341349,0
-534790093180687.0,22026174.4833472,-24279753.7804404,0
-530583934595442.0,13212468.665828,-40157819.7091749,0
527874551529611.0,8130432.64845706,64925764.0218921,0
-523032488604780.0,10626778.7546802,-49218347.4107269,0
522796974654220.0,6017982.12377309,86872470.5228009,0
522125733906757.0,13081676.4938991,39912753.8546194,0
521729607845941.0,10478534.7523808,49790320.8964785,0
-516639919406708.0,21011701.5607918,-24588199.956674,0
506281356048651.0,30395568.4975212,16656420.0333986,0
505436757322845.0,73951495.987118,6834706.32441147,0
505108396660764.0,8616965.49492207,58617897.0959582,0
-505021533212398.0,9918677.27923395,-50916217.8579725,0
-501763925795732.0,65192610.4138319,-7696638.04855517,0
-498253813553266.0,79247480.5330599,-6287314.24900516,0
-493660885777176.0,26729730.0286681,-18468607.2492208,0
-490875589229566.0,28595585.5136938,-17166131.7791341,0
-488991430012713.0,24522084.7368988,-19940858.8323211,0
483057380121605.0,19940980.994338,24224353.8699908,0
-481860963241340.0,9591831.45222691,-50236596.1747032,0
-481692764539252.0,18642940.0733361,-25837811.1308843,0
477325303059483.0,18546274.1015635,25736991.7238116,0
475719755899363.0,23223752.3345103,20484190.024385,0
-474893942213707.0,14479049.5843724,-32798695.7601328,0
473983890248214.0,18626841.0289654,25446284.1826562,0
465160515935300.0,23967218.3120947,19408197.8925591,0
-464414387491950.0,33278485.8026078,-13955394.1921107,0
460335079967898.0,12817412.5231195,35914821.2743848,0
-458607659540994.0,27087077.7845883,-16930865.0858576,0
456728586254644.0,7320123.16784969,62393565.7613818,0
456615641081107.0,6454803.36594097,70740441.682617,0
-454227022472434.0,4757508.02939146,-95475828.8722288,0
453030087557185.0,38682333.2573463,11711550.1938123,0
-446550548012208.0,29127686.5120698,-15330793.533059,0
-444004151446266.0,16807095.3601824,-26417661.2276594,0
-442252107718250.0,13597611.4865054,-32524249.4358037,0
440536939362280.0,13751680.7807063,32035134.2055842,0
439421722663875.0,11106040.2605341,39566012.0398972,0
-436030075275098.0,10518607.4789479,-41453212.9036829,0
430215868247831.0,20161333.4748352,21338661.3928495,0
428467978414708.0,10710978.7050655,40002691.650584,0
425605312730802.0,16475188.9374576,25833106.6397154,0
-424308720480824.0,5011175.74247877,-84672488.510838,0
422505460055889.0,18247368.490554,23154322.7876723,0
421580177482963.0,3410501.92386766,123612355.862527,0
-421378482604864.0,35975617.2697992,-11712890.9684783,0
-420277623276030.0,18224818.8894514,-23060729.7567873,0
-419850633074885.0,8515358.49523558,-49305103.6324302,0
418446450355382.0,12267599.0685529,34109889.6383105,0
405430774922632.0,14601744.6680534,27765913.193213,0
-404301527241644.0,23594893.8000474,-17135128.0776196,0
403145898784736.0,4366059.71513192,92336322.7001935,0
397787143952107.0,21193734.4059187,18769091.6727265,0
-395010110501601.0,9291303.15018481,-42513962.1554318,0
-392822179175375.0,8509526.14200377,-46162638.5089024,0
392394974888390.0,42306312.8946723,9275092.72352128,0
-390306902834504.0,9821861.11453946,-39738589.0803044,0
-389473528307544.0,16864825.0184805,-23093837.4919845,0
-387083470974889.0,37417815.1772564,-10344897.7216118,0
385018396498974.0,18697363.7768551,20592122.0282175,0
381451933942004.0,12977045.8805719,29394358.1191371,0
377200353167445.0,15753201.1130126,23944362.1941617,0
-376775935868622.0,16168770.7403246,-23302695.1720547,0
-372427023385758.0,6295467.60007818,-59157960.4636728,0
369778992329390.0,3142951.42677685,117653422.569309,0
369037609786828.0,10016124.2278975,36844352.3053521,0
368540655788535.0,9157236.71069988,40245836.9737138,0
367828575964637.0,11232927.2555743,32745567.3481819,0
-362435160888155.0,14185680.1966991,-25549367.8034904,0
361562201710079.0,13642891.3679964,26501875.0027018,0
-361550804722641.0,7036302.67704457,-51383634.4621976,0
