Estimate,Std. Error,z value,Pr(>|z|)
-1.6243052880346693e+18,105416892755.118,-15408396.5632331,0
-1.1314925334555846e+18,73407853249.1169,-15413780.4522869,0
9.946107902878653e+17,64540456508.4495,15410656.2626754,0
-1.4480727003706054e+17,1396830249.59868,-103668480.889976,0
1.0079728831341936e+17,22361003371.3678,4507726.53799987,0
-9.260674646765235e+16,771870759.66816,-119977010.798369,0
-8.699301786100256e+16,19870814050.8911,-4377929.24025181,0
7.0849979682530536e+16,781274663.468956,90685111.1335773,0
-5.2458985881474056e+16,11936069228.1364,-4394996.78485564,0
-4.873702635511642e+16,381710643.146447,-127680553.922668,0
4.265963762134442e+16,528970810.375819,80646487.073712,0
-4.017296492802314e+16,404616993.151754,-99286400.739368,0
3.5872369755788904e+16,650590998.229961,55138128.0303379,0
2.945963210939457e+16,496577347.180642,59325364.4707195,0
2.6671107792977108e+16,431659430.617429,61787385.8445019,0
2.040414294303873e+16,292358826.568217,69791438.0849992,0
-1.837406476616248e+16,167872641.86045,-109452407.26858,0
-1.5510242178872668e+16,135826020.192924,-114191979.981761,0
-9692643730060936.0,156741583.172223,-61838368.1847271,0
9643020876814012.0,122527923.061407,78700598.4911804,0
-9584429566383094.0,100302124.561472,-95555598.7302049,0
9421926044978924.0,152338240.484419,61848725.6713629,0
8508216796881554.0,98983096.0140409,85956260.6091312,0
8291669976017694.0,404609115.281938,20493038.0034566,0
7808799504918244.0,91711981.0684325,85144813.2942583,0
7577396536869028.0,77133534.4751739,98237382.5914574,0
7094299516626316.0,82027548.2944205,86486792.1099243,0
-6640857547137052.0,58339497.5475784,-113831243.433681,0
-6507683353757862.0,61932006.3381163,-105077870.693052,0
-6139931173410032.0,50407350.2623276,-121806267.1705,0
-6072894143854935.0,77854662.4835075,-78002960.2612612,0
-5966955517679215.0,61757915.7516776,-96618473.0338334,0
-5568579566273843.0,44107887.7285153,-126249064.578847,0
-5378183467307046.0,74451106.731644,-72237790.7247569,0
-4917042039921021.0,329934468.796131,-14903086.8398273,0
4832266868858308.0,85410533.2690811,56576942.9589501,0
4091449701288512.0,88592274.2508785,46182917.5950739,0
-4073755816405006.0,70716453.1947111,-57606902.3878828,0
4063927043841624.0,102453027.546672,39666246.4853987,0
-3959679417067358.0,224606468.827526,-17629409.5078267,0
-3662025309274868.0,124136319.949999,-29500031.1814454,0
3637954352564845.0,40077067.6364438,90773965.439944,0
-3363093268902922.0,175233336.728371,-19192086.0019691,0
-3353721493622954.0,155547816.037641,-21560710.9058438,0
3300216403867535.0,42134042.3844579,78326602.8394392,0
-3242504543376642.0,30607288.3650441,-105938968.023049,0
-3128681211403554.0,99895036.1497573,-31319686.4628309,0
-3007134653887716.0,59910244.2304753,-50193997.579433,0
2862527581592478.0,36451039.2514283,78530753.5910738,0
-2853177121468802.0,87411753.8548356,-32640657.5276714,0
-2735235685370706.0,43316224.3608555,-63145754.8696815,0
2691271216806896.0,75661437.6870875,35569919.0905831,0
-2641456749000058.0,35379413.1327216,-74660841.2946522,0
-2611869050063569.0,79794177.4021157,-32732576.9260242,0
2608170281112604.0,40376899.1746537,64595606.2606676,0
2577592879086635.0,66038064.7996516,39031926.3125989,0
2515017625376162.0,29558782.6750092,85085290.9955089,0
-2513950963191844.0,61202119.6037521,-41076207.4821625,0
-2455553052466110.0,26380536.9121944,-93081996.80087,0
2422828349388409.0,21641470.8635916,111953035.200784,0
2371180065346195.0,105480510.170241,22479793.2956451,0
2258287153602632.0,76050862.5875992,29694431.8153055,0
-2203929048111802.0,31800544.7278447,-69304757.7320911,0
2174225317757721.0,100302682.636467,21676641.7468403,0
2134090741202836.0,17082496.3099836,124928505.909034,0
2115635090714426.0,61812406.0927864,34226706.6507434,0
-2045945231551073.0,42192599.4945958,-48490618.1666557,0
2031531009593604.0,22100969.7181663,91920446.7269937,0
-1941353839550313.0,51115659.2321267,-37979630.2877407,0
-1900230780427088.0,21156675.4805089,-89817078.40524,0
-1891174519131890.0,61555509.9709217,-30723074.5066569,0
1822653542685175.0,124009599.031626,14697681.1224133,0
1799181736022111.0,27001727.2949779,66632097.8790399,0
1795737579973728.0,30940448.4148742,58038511.7854481,0
-1781487548343130.0,33370564.0511375,-53384999.5946474,0
-1725611688835367.0,42444882.377731,-40655353.2998061,0
1671571836827014.0,35904047.8237751,46556640.2159293,0
-1670024751893382.0,29085956.0689063,-57416876.6512951,0
1606193501823832.0,52257608.3239082,30736069.891836,0
1521801574172386.0,30354886.5802409,50133660.3630396,0
-1514717683672900.0,38090945.3297807,-39765820.2115726,0
-1509174642689644.0,17143700.035626,-88030859.123378,0
-1474213146270150.0,50318297.1937337,-29297755.0610305,0
1473825843082880.0,55085808.7945918,26755091.2900017,0
1469530695566651.0,44334487.3749369,33146446.0869667,0
1465482026672727.0,19179834.6865749,76407437.8440033,0
1409868637384257.0,26362162.6513479,53480765.4451737,0
-1368389634431518.0,13612791.9612868,-100522335.045086,0
-1366154776144910.0,13405343.1181498,-101911212.872667,0
1338896055305284.0,20336468.6343971,65837195.2070712,0
1331940840586824.0,14827493.1979883,89829131.7892855,0
-1329969907027333.0,23640943.6485825,-56257056.6893203,0
1307458926138812.0,32163274.1033765,40650678.8437174,0
1292846940727258.0,31940985.9033483,40476112.5608127,0
1279129753067712.0,15573410.1841751,82135494.9198922,0
1242334082312290.0,16543553.5526589,75094753.8784748,0
1230445116508739.0,76049903.7927974,16179443.4331063,0
1225453566745026.0,30910347.5036848,39645415.3936296,0
-1221009030296440.0,34259059.6623441,-35640471.2309869,0
-1216004912589068.0,11697956.8713835,-103950196.257242,0
1179551122708848.0,11406725.2791835,103408392.315843,0
-1178201427622297.0,17304640.90178,-68085864.035532,0
-1176816651524593.0,35581391.6890733,-33073935.4381684,0
1149732229864830.0,39925528.0016972,28796919.8507771,0
-1122204571893794.0,22182082.4503696,-50590586.9931114,0
-1107112040165262.0,18930356.1560769,-58483423.7157161,0
-1097215341637798.0,20433942.7859064,-53695723.4897695,0
1059013830349181.0,33414273.1308457,31693457.0505911,0
1056903996216970.0,33240294.2353973,31795867.6518417,0
1049749400383392.0,20437149.0069639,51364767.1710811,0
1035644579541803.0,16892290.0216819,61308714.1064068,0
-1012385507052005.0,57290220.7841274,-17671174.8217332,0
1006888713456203.0,18559800.4868652,54251052.6537601,0
-998644752117651.0,17561961.4608447,-56864078.328846,0
997878086494029.0,17112013.8571401,58314473.9610912,0
993147530529574.0,51132719.1888797,19422935.9651494,0
-984265561063729.0,31589677.1937463,-31157822.6971747,0
-965556478245303.0,10639798.897776,-90749504.5274893,0
963673276317959.0,47025916.0054366,20492387.1383292,0
-953172463708228.0,39081231.5894047,-24389519.596579,0
949612534433869.0,9290463.52226688,102213687.418059,0
945322228944055.0,73396518.5536069,12879660.3377532,0
-942048059955504.0,33120564.3728368,-28442995.3955768,0
-937798522891779.0,18301514.4853562,-51241580.2332725,0
922873438135322.0,43641464.1144849,21146711.2036925,0
916137597793527.0,11091395.1588759,82598950.3277584,0
-914681045924534.0,13204504.9719746,-69270377.63747,0
909337630512011.0,24172012.8608197,37619441.7795446,0
905341086922324.0,23006383.0374981,39351734.9270726,0
-902006000315934.0,17227268.6666206,-52359199.695054,0
-893144981799070.0,9049556.59354064,-98694888.8121851,0
885758088350374.0,14278581.7748522,62034038.2761538,0
885230823610630.0,100029637.719419,8849685.39118055,0
-879035565934297.0,68199508.1262197,-12889177.5041461,0
850028738404977.0,9399108.52515929,90437166.049274,0
848727012618177.0,71078976.9293546,11940619.4248087,0
-846579236339186.0,13945590.6933073,-60705871.4798986,0
833724347867428.0,15474830.6904639,53876153.1252936,0
827301129314033.0,18731203.477749,44167003.4868178,0
824722007628188.0,11447318.1373074,72044997.5912154,0
821804223026248.0,22675006.8431275,36242733.1868844,0
811905054807828.0,11210918.8403861,72420919.8520845,0
-792218257469717.0,41755154.9570371,-18972944.9761317,0
774322891234579.0,9876225.77856737,78402712.5944159,0
-769963368790590.0,7885901.98737607,-97637958.2225552,0
766830710821822.0,19929475.206979,38477215.4237805,0
761985083082733.0,21370047.1868678,35656686.9703023,0
-761186925509169.0,17153389.0661362,-44375308.1431521,0
733177378284341.0,14389337.7224102,50952823.0157859,0
-729397158242002.0,19118174.640305,-38152029.2582894,0
-724499766826059.0,11141924.6346859,-65024651.5373675,0
723824652402160.0,8139922.74427584,88922791.424669,0
-722638408224862.0,9223196.25926397,-78350106.3960369,0
715894145290430.0,6841446.15373568,104640762.962013,0
-715628381060650.0,17005936.2054143,-42081092.8852486,0
693262665520307.0,12035596.554664,57601022.2984463,0
-688294697604062.0,17516441.5694292,-39294207.9517633,0
-671616742998844.0,11277086.9158246,-59555871.8321483,0
-671573929077214.0,16084427.1621639,-41753052.3348066,0
660080130772515.0,22998654.8862441,28700814.6362212,0
-657697888297638.0,12432862.5018275,-52899956.7236396,0
652028413911334.0,15275636.6621272,42684205.4660743,0
-651192852198592.0,11277734.8112761,-57741458.1115612,0
-650172411364092.0,8724158.40977831,-74525516.482525,0
-648885310894778.0,16385722.71056,-39600652.4922209,0
646285068940513.0,16120319.5449577,40091331.1388213,0
-645227400766475.0,21937642.4727261,-29411884.233625,0
-643822740650017.0,16013642.831332,-40204639.7207215,0
635549923476148.0,16410397.0288016,38728491.5996064,0
-633328226181043.0,25901526.2189487,-24451386.4097213,0
632683943252605.0,9454985.09638456,66915382.3938373,0
628850893911256.0,10341842.0760287,60806468.4500321,0
621536783243232.0,11536236.969577,53876908.4652412,0
616482440422800.0,10164197.4905224,60652347.7133971,0
-616130308603893.0,20663893.0930867,-29816758.4311606,0
609297763107380.0,10088095.2664479,60397701.1531453,0
-604989456841053.0,33524070.9075441,-18046419.7951839,0
-602543202132129.0,10805257.560876,-55763890.7483185,0
-598180389016778.0,14429627.2891795,-41455013.1496009,0
597013357084440.0,13544581.5486938,44077652.3762015,0
596905624309806.0,10941902.7344429,54552269.2713095,0
594854632275966.0,19650515.5923626,30271706.0771252,0
-594701091054874.0,23521965.4309167,-25282797.5962083,0
590138483074968.0,12271504.5926713,48090148.8988895,0
585717090199470.0,18822083.547724,31118610.6848568,0
-574942132258812.0,16286628.5842797,-35301482.3960413,0
-573542517608150.0,50665011.7939406,-11320287.8534955,0
571793783066601.0,89800547.9143785,6367375.21481256,0
566626047987528.0,10422231.8950605,54367054.3596398,0
-566425272666494.0,40247962.9940708,-14073389.8197516,0
-562872055512050.0,13253415.3411842,-42469962.724473,0
-560867864172489.0,15257040.3815731,-36761249.2426699,0
-551380718389573.0,13145021.8787355,-41945971.902986,0
-549392644697125.0,29441668.0080741,-18660377.6846631,0
-541934480225245.0,11680672.2237958,-46395829.781202,0
529282503057707.0,14665911.6360506,36089301.2444358,0
524219801721977.0,12325504.819412,42531304.7540542,0
-517147310171359.0,24613791.2180278,-21010469.5205421,0
516915437467011.0,24196775.5502417,21362988.4855401,0
516493760841904.0,15509130.5739295,33302560.6032434,0
-514830899078939.0,5563993.35390319,-92529028.4032744,0
-510658015623698.0,25540008.7031081,-19994433.8923249,0
508867820766466.0,14817435.2032006,34342503.5296627,0
-497791853853032.0,7752893.15729835,-64207237.7051173,0
497297305308732.0,9562854.60619611,52003018.5324072,0
496708878150560.0,8906899.83776783,55766752.4276372,0
495318420809736.0,10906331.9904199,45415674.2381235,0
-493893718299459.0,15944402.4699218,-30975994.191765,0
492311387133146.0,6571481.76399894,74916343.8039521,0
492307338986197.0,7178561.50282163,68580221.6492384,0
-491979238368519.0,7838907.46603002,-62761199.8866571,0
490659506750959.0,11829424.7596014,41477883.8973311,0
-487372595357397.0,4976826.08854998,-97928395.8663293,0
-484287366460661.0,5642395.54985104,-85830098.6136015,0
-483339687336713.0,15412991.9092395,-31359238.3738923,0
-480544282999386.0,35135512.0184343,-13676882.8855337,0
-480268875174838.0,6259905.50822973,-76721425.6738287,0
475018490623086.0,9937298.56933941,47801571.7560012,0
-473720187826341.0,40609575.7725145,-11665233.6010603,0
-471572396818092.0,28063480.2093483,-16803774.6316654,0
469485166554557.0,25953383.0676969,18089555.6209358,0
-469249414592750.0,14992218.1093138,-31299532.2754297,0
-469201669455459.0,6913781.86903856,-67864690.8946675,0
-465448524416060.0,12709743.9347609,-36621392.7523014,0
-464602701452654.0,5790018.75953478,-80242002.789294,0
463770342534447.0,11713488.0964747,39592847.042208,0
461227298299592.0,13411058.0579708,34391566.7433462,0
460189064616923.0,9474679.20065687,48570411.1844777,0
457910123060330.0,20074388.6609015,22810663.4177205,0
456149293307385.0,19746180.4269636,23100634.3223983,0
-455381218446640.0,16258320.139683,-28009118.6871855,0
-454854726713643.0,9796210.79856891,-46431700.5897924,0
-451052298504098.0,6736967.80833964,-66951826.3016998,0
449363841234089.0,9534942.79291805,47128110.8857673,0
448831534123105.0,8751183.7901176,51288093.6896736,0
-446324942542985.0,6618930.74202686,-67431577.6880769,0
443286683212957.0,11025128.9400037,40206938.6784703,0
-438094287861963.0,6317395.9233718,-69347290.1138256,0
-438089215049162.0,8592349.6084231,-50985962.5148052,0
436117183815708.0,8084389.50610399,53945592.7360285,0
436076570406077.0,17341140.7160405,25146936.844974,0
-433954016813342.0,51864080.125006,-8367139.95056693,0
-433597471831799.0,15215546.141165,-28497003.5126587,0
-431086153010380.0,19240336.5106147,-22405333.335649,0
427894389855370.0,3722729.85767282,114941026.132597,0
427315722449295.0,13775107.607389,31020862.7495643,0
-426695510302616.0,8832150.10239652,-48311623.4841657,0
-419019209383415.0,23244561.98457,-18026547.8722105,0
-418882797242968.0,8480946.07853511,-49391045.9238907,0
-418536152499447.0,32713992.1022645,-12793796.3422836,0
416328844334860.0,5727305.03266096,72691927.8719522,0
413734704170761.0,8173758.76593657,50617435.1382824,0
411010915489260.0,6698442.38647419,61359177.5185218,0
-409753074266134.0,9880718.24872537,-41469968.4730907,0
408580984246044.0,6762596.55861132,60417767.1556892,0
-406587016335993.0,7675660.05159797,-52970951.5016037,0
-405481283557599.0,8546837.22414379,-47442261.1456976,0
-403676866898187.0,10179877.5459498,-39654393.1963892,0
403595373247590.0,18729527.9097885,21548614.3159359,0
402462189184978.0,9354434.48379148,43023679.2916053,0
-400001464330260.0,14732061.8242795,-27151763.8943809,0
-398826584411475.0,31875522.7505955,-12512001.3727155,0
-398495955319556.0,20992960.2600366,-18982361.2479349,0
-398098217343342.0,7951258.40575331,-50067322.3065281,0
397862195864408.0,13662043.4406707,29121719.4259541,0
-396990217764007.0,8846051.36142618,-44877674.9697736,0
-396949308303194.0,6577265.06469947,-60351727.4123012,0
