Estimate,Std. Error,z value,Pr(>|z|)
-2.1632670891443932e+18,108358288006.785,-19964020.5556675,0
-1.504895396534211e+18,75456627741.4323,-19943846.4397196,0
1.3228685455790548e+18,66341767774.8441,19940206.4483526,0
-8.766351716808723e+17,22815025529.2956,-38423589.338317,0
7.793691194240421e+17,20273414054.0675,38442914.3185025,0
4.6809297117929216e+17,12177973309.6555,38437674.2563687,0
-1.8390049891144704e+17,1522903786.64602,-120756478.85574,0
-1.101835098834128e+17,827957976.115596,-133078626.043732,0
8.664045868092635e+16,702255272.296035,123374593.397717,0
-7.020418742712439e+16,440577518.839668,-159345823.209542,0
-6.309722772105346e+16,411410300.385013,-153368128.270014,0
5.9871792750656776e+16,831928133.89565,71967505.7391034,0
4.898937803357776e+16,575002152.240016,85198599.4186831,0
3.6773730594882776e+16,309995036.272979,118626836.858446,0
-2.252513996861112e+16,180532912.161174,-124770268.750229,0
1.9839712276217228e+16,424510093.748198,46735548.9737432,0
-1.9808150581796016e+16,145939752.111895,-135728273.449503,0
-1.8775188283642616e+16,166656397.665554,-112658071.016995,0
1.6549097348794772e+16,463873131.376519,35675912.7214077,0
1.6135412960175312e+16,528818409.005297,30512199.8126463,0
-1.5402355467393528e+16,345607414.319144,-44566044.677417,0
1.2867384319064544e+16,163325902.251254,78783488.3610184,0
-1.087951092486645e+16,235046899.470769,-46286553.6595579,0
1.067172182145213e+16,133202197.32807,80116710.0507227,0
1.040419271674312e+16,219404072.639181,47420235.1469257,0
1.0185456939735472e+16,97536147.5179257,104427509.174109,0
9012782717955234.0,130812779.423929,68898335.144667,0
8573465760157395.0,81797500.1071601,104813298.070547,0
-7486511395968971.0,67313936.5467768,-111217851.458836,0
-7386635572542878.0,184579602.609597,-40018699.076768,0
-7227615338289886.0,53755429.7875697,-134453679.690627,0
-7197539936472959.0,81648218.4838989,-88153055.5120725,0
7084424282252817.0,105561299.884453,67111946.2341543,0
6988519170169150.0,117189578.465118,59634305.8973399,0
-6466793307223027.0,83291293.1123133,-77640688.0669141,0
-6271176375319428.0,106417376.239512,-58930003.6979394,0
-6145862911258512.0,104964348.987565,-58551908.0577219,0
5969818090140993.0,80467183.7051502,74189474.7058098,0
-4988904264300289.0,61141363.8105138,-81596221.5000903,0
-4897952855247773.0,84087055.3245979,-58248595.2961535,0
-4770979670830023.0,65691226.4641002,-72627349.611707,0
-4440167302175608.0,45579728.8356595,-97415395.2996277,0
4427596718450516.0,44770844.8244531,98894643.0609286,0
-4275139704815319.0,46127569.6320594,-92680792.396312,0
4201001169425400.0,42576153.6673217,98670283.8929712,0
-3771727095890801.0,43534757.0249042,-86637145.8954777,0
-3625083968996715.0,164856246.586765,-21989363.7278028,0
-3512785137765948.0,70547574.4951117,-49793138.3595527,0
-3497175706120922.0,53054384.9172928,-65916808.0371248,0
-3189803980632720.0,32437972.7416436,-98335491.1245017,0
-3139134312290768.0,60061753.6058642,-52265112.5521629,0
3139027588079158.0,57781854.4018898,54325490.5985934,0
3103213451960016.0,37904232.711674,81869839.5919322,0
-3101553344769714.0,53135183.3446392,-58370991.6770736,0
3041495684727636.0,22921176.4736485,132693698.69493,0
-3010778382630834.0,40735096.3484107,-73911163.8985556,0
2921669633247959.0,68479508.2585973,42664874.6105906,0
-2919356830869752.0,56022090.1270297,-52110816.0057958,0
2904153676652751.0,31297241.9823418,92792638.9900842,0
2836396294803805.0,50682967.1935604,55963501.1890974,0
2813631601964752.0,78648162.4224466,35774918.5143292,0
-2802853634868693.0,133055050.847304,-21065368.1842209,0
2771271719353155.0,105769237.158607,26201112.854747,0
-2759312526719213.0,34516811.511986,-79941118.7143122,0
-2737212841605458.0,45552759.2256273,-60088848.3625717,0
2627266318516246.0,54720350.5778522,48012600.2624628,0
2562297316834108.0,91090808.0126,28129043.6734262,0
-2542984524550444.0,45119306.1464901,-56361339.3409479,0
-2517701938038202.0,24167117.7668543,-104178825.225542,0
-2482453098455936.0,74439767.2615287,-33348480.1172786,0
2481664577490706.0,23525633.6858917,105487682.526442,0
2385243528714676.0,109997479.702664,21684528.9106829,0
-2371587333638022.0,41766559.5946549,-56781965.2050424,0
2350559256057441.0,35277606.5089449,66630349.6372817,0
2308821967597998.0,29018706.9189336,79563227.0606649,0
2194144672779570.0,42251449.1140343,51930637.1447213,0
-2123331848429408.0,14244471.5798962,-149063574.350217,0
-2120740525372053.0,54325085.8127915,-39037959.9708372,0
-2083581849405643.0,37064124.4563764,-56215596.0774945,0
2073102199904022.0,114671738.404695,18078580.0297866,0
-1972957728033311.0,17648128.0798357,-111794164.180368,0
-1969971530367444.0,25556579.4621132,-77082754.1020448,0
1932159899686182.0,81109338.0920959,23821670.1693744,0
1923615042935924.0,42949692.7322992,44787632.2404821,0
-1917473245090852.0,30155465.9179712,-63586258.3024503,0
-1905681985588864.0,17820209.5181789,-106939370.36177,0
1886563256035167.0,15321479.6905451,123131922.904246,0
-1876852307373142.0,17341566.3519619,-108228534.221236,0
1872103291478142.0,32842270.8922599,57002857.6166256,0
1835105548241142.0,15340477.9486503,119625056.949585,0
-1807586582736536.0,22666763.8394277,-79746125.0111201,0
-1778115587095537.0,45100060.6667982,-39426013.1983493,0
-1760162160205992.0,28507014.6036979,-61744878.7491646,0
1741879492662324.0,12419629.5190184,140252129.904113,0
-1715189804956854.0,42116854.9341703,-40724546.2092964,0
1702660930049304.0,36297407.1883638,46908610.3371908,0
1692389086675536.0,17605351.0039546,96129244.2448539,0
-1672798101299669.0,19702380.3430292,-84903350.365557,0
-1660384217384810.0,27237815.3412248,-60958788.2355528,0
1657757615316136.0,87558346.5008914,18933176.3511461,0
1650352406677895.0,105518025.611512,15640478.4596144,0
1633201476339444.0,41687476.7831261,39177268.6276018,0
1632833181239931.0,27960740.0310256,58397352.124018,0
1603234430041878.0,28284810.012684,56681817.1775919,0
-1598377377668681.0,36038004.5362966,-44352549.433164,0
-1595305061626963.0,84113855.331144,-18966019.9897684,0
1573479024816618.0,34238355.5578145,45956617.9269228,0
1563113352016859.0,39737717.8872251,39335760.4594442,0
-1511049941385087.0,25109472.6576347,-60178481.7223409,0
1479402563150834.0,15938017.3960791,92822245.4767038,0
1476655576105878.0,52743172.6622504,27997094.2506983,0
-1460836612577070.0,13860769.8385648,-105393613.023757,0
-1460808615982575.0,33493156.6291381,-43615137.0310588,0
1454494078265486.0,32025750.1665079,45416393.7051684,0
-1450546344738251.0,32316266.7363303,-44885950.3659044,0
-1431463209556548.0,16913128.0485689,-84636219.0037146,0
1421930639610396.0,16403405.1643468,86685089.1850797,0
1420835656354555.0,13398080.4566498,106047702.949071,0
-1416945868576171.0,17914273.7069696,-79095914.8974543,0
-1416454740533696.0,50831071.5551644,-27865923.2866356,0
-1403221117006904.0,18338033.0363361,-76519718.0213643,0
-1402680482343205.0,37438474.4563627,-37466283.0874194,0
1386235640827434.0,15846027.6793776,87481586.4818612,0
-1370718619299490.0,24355987.4580196,-56278507.3552071,0
-1332351476842144.0,12778299.2440785,-104266729.97657,0
1331848021819438.0,9595559.1843903,138798374.980172,0
1324392230236584.0,21833450.1581403,60658861.5470287,0
1314684133405681.0,19744640.0584855,66584355.5269411,0
-1310818348756131.0,17941105.0705596,-73062297.0882163,0
1289095882387688.0,79691194.4929656,16176139.5420102,0
-1277745565399338.0,27250510.2399164,-46888867.553302,0
-1274848830141802.0,12414358.6026435,-102691477.743388,0
1269948703016758.0,20047221.998695,63347864.512072,0
1249458154563020.0,10521306.5305271,118755037.783357,0
-1245342535751740.0,16212573.8719849,-76813376.1847447,0
-1240034270838008.0,34727287.4192574,-35707778.0325096,0
1226194987464579.0,58163746.805494,21081774.3837086,0
-1204105737100157.0,16346875.0728818,-73659689.1902401,0
-1197251601749472.0,41336211.0393812,-28963748.0466907,0
1184930978154442.0,16279994.8037186,72784481.3490842,0
1168929391732402.0,15097018.1567406,77427832.4101038,0
-1163777210937779.0,30759100.3681464,-37835216.1477052,0
-1162026690351765.0,24976418.4238575,-46524952.882828,0
-1158055004088833.0,22007872.8597899,-52620033.3610929,0
-1153176846445198.0,24181002.2188649,-47689373.5010514,0
1136673171196315.0,23217431.1346427,48957749.2274881,0
1133334223493781.0,11874390.5356449,95443569.9324279,0
1123424965632982.0,34839698.0108291,32245542.5785778,0
1108378727611450.0,15716782.5385822,70521986.6019369,0
-1107877135494753.0,11204581.9296757,-98877150.6557063,0
1086436475567228.0,18106362.2848717,60003023.1624701,0
1077722018151295.0,20886270.825239,51599542.4539345,0
-1074176775558418.0,18504755.5457613,-58048687.6955512,0
1065612180357329.0,24376696.0344447,43714381.0978978,0
