"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",261969858791326,2741142.80061837,95569577.3063076,0
"X",-16046297819.9938,1714.18229741215,-9360905.1057279,0
"ABC",29469898542015580,949657842.998954,31032122.5263108,0
"nAcid",-6300703076320.95,4776744.03731979,-1319037.19920824,0
"nBase",421580177482963,3410501.92386766,123612355.862527,0
"SpMax_A",1059395617790613,16832449.8414175,62937696.4001929,0
"SpMAD_A",-134070164847000,14348663.36468,-9343738.95599369,0
"VE1_A",-73495893228181.9,5774235.51988157,-12728246.5315321,0
"VR1_A",155229523976296,1854531.38641077,83702829.2504259,0
"VR3_A",-666209454760288,7677320.86156387,-86776294.3314813,0
"nAromAtom",-36880060719784624,1565728260.44406,-23554573.0708885,0
"nSpiro",-230929677499130,2124265.96687103,-108710340.936865,0
"nBridgehead",-96525844336307.6,3877407.22386267,-24894430.4178989,0
"nHetero",-2300258139765054720,35959926939.8358,-63967263.9939896,0
"nB",27413191833825480,426688105.938873,64246440.0865036,0
"nN",1203519203611216896,19058680372.0332,63148086.8621557,0
"nO",2258877239016993792,28180933132.77,80156225.7848117,0
"nS",420883980085848768,6549414690.91028,64262838.7342735,0
"nP",109083406711409680,1715390077.70487,63591021.1497547,0
"nF",859660894484407040,10188818659.238,84372970.3349824,0
"nCl",367677602022534848,5685369247.07932,64670839.490578,0
"nBr",113281680926194096,1766113446.51701,64141791.7685861,0
"nI",41011291594534832,664874639.812986,61682743.0898408,0
"ATS0s",-533051611130137664,7551584919.03915,-70588044.3436716,0
"ATS0Z",82164681530366736,1226079311.818,67014165.1836003,0
"AATS0dv",4370276682570774,146133128.100851,29906132.4380514,0
"AATS5dv",1620225393662818,35930225.2491083,45093660.9060927,0
"AATS6dv",1410804552162774,31356459.6251216,44992469.4633731,0
"AATS7dv",1520419317930869,30253751.2270976,50255563.5669094,0
"AATS8dv",-1251572636602018,17690346.0186177,-70748906.5100727,0
"AATS0d",-4967374339857231,100489245.230223,-49431900.18471,0
"AATS5d",-1492215297876228,26804713.8857727,-55669883.4479356,0
"AATS6d",-2625756577591506,25248834.2562605,-103995160.764321,0
"AATS7d",475719755899363,23223752.3345103,20484190.024385,0
"AATS0s",3611658688400349,86954716.4184746,41534937.2312254,0
"AATS1s",-8174464338272041,48022235.3338323,-170222487.175915,0
"AATS3s",-1628454127550557,20854648.890044,-78085904.7849031,0
"AATS4s",-481692764539252,18642940.0733361,-25837811.1308843,0
"AATS5s",-2477172218428922,31187076.964719,-79429445.1266233,0
"AATS6s",-1089573711099729,21192963.1899504,-51412051.3178826,0
"AATS7s",-516639919406708,21011701.5607918,-24588199.956674,0
"AATS8s",477325303059483,18546274.1015635,25736991.7238116,0
"AATS0Z",-3133604163297896,69887604.3430162,-44837767.6235376,0
"AATS1Z",-3299122211140572,106198541.181587,-31065607.6291995,0
"AATS2Z",6350509652290395,56374838.5727774,112647943.888871,0
"AATS4Z",-2530091136306968,27637679.0940217,-91544992.8953786,0
"AATS5Z",72619868785856.2,22862816.6702301,3176330.80093824,0
"AATS6Z",-785717866007712,22454028.4065118,-34992289.6588056,0
"AATS7Z",-332130893974483,21083765.0698941,-15752921.400587,0
"AATS8Z",142485567355431,16150801.9148226,8822197.69067087,0
"AATS0v",8155113392154397,219464436.076333,37159156.7998649,0
"AATS3v",270805689338627,40510557.635852,6684817.61650605,0
"AATS4v",4266879523954682,33514427.3233896,127314707.865434,0
"AATS7v",1125549114363338,29204095.6626283,38540796.7213199,0
"AATS5se",-14944728305460.8,33764074.1201788,-442622.186299764,0
"AATS6se",577740685396601,31099908.8935462,18576925.3335817,0
"AATS7se",-331254072062824,23616343.9170365,-14026475.6147907,0
"AATS8se",430215868247831,20161333.4748352,21338661.3928495,0
"AATS0p",-2637506156952784,231707130.81468,-11382930.4591505,0
"AATS1p",1155956950331939,112743283.07211,10253000.6119531,0
"AATS0i",-616430137038125,97597984.4847492,-6316012.98215794,0
"AATS1i",6073534232188053,66395541.3526513,91475031.4321449,0
"AATS2i",937038183148958,42090202.7860385,22262619.8289493,0
"AATS3i",-340691439415630,34300734.70212,-9932482.27404799,0
"AATS4i",2524278632686685,26388705.300788,95657539.9934952,0
"AATS5i",-230683740155640,20436085.3906031,-11288059.1241663,0
"AATS6i",-2331972189806172,16154658.8121261,-144352921.15583,0
"AATS7i",1717862240518320,19117937.6257587,89856043.7922835,0
"AATS8i",-272626776666226,10846906.9291819,-25134056.9663013,0
"ATSC0c",-1370663344365102,39109710.1147564,-35046625.0029283,0
"ATSC2c",326748106935338,19046780.4472599,17155030.8903962,0
"ATSC3c",159768242557070,23271199.2863785,6865492.4308344,0
"ATSC4c",465160515935300,23967218.3120947,19408197.8925591,0
"ATSC5c",557373271253774,18573552.0259389,30008975.691638,0
"ATSC6c",29606103913418.8,14301844.711399,2070089.87377844,0
"ATSC7c",-903482302289127,9585102.88324603,-94259009.3496378,0
"ATSC8c",-637504224119293,4797842.07154271,-132873115.582629,0
"ATSC1dv",-136777472390036,58850179.3262621,-2324164.07147631,0
"ATSC2dv",1368042453429346,34249022.5356991,39943985.3211397,0
"ATSC3dv",-588333140089748,18261265.013226,-32217545.6992513,0
"ATSC4dv",764968784060887,15838858.7146079,48296963.6792941,0
"ATSC5dv",-900602426969789,13510600.3154962,-66658949.7090541,0
"ATSC6dv",-297907031131999,11413158.1012048,-26102068.1997344,0
"ATSC7dv",201063737045291,11277075.396785,17829422.0771648,0
"ATSC8dv",154196887593173,7279253.12619501,21183064.377619,0
"ATSC1d",-3186041034666082,64384243.9561691,-49484793.7771087,0
"ATSC2d",-360425931035170,21107901.8615121,-17075403.0125735,0
"ATSC3d",422505460055889,18247368.490554,23154322.7876723,0
"ATSC4d",-556470103763765,14139478.111771,-39355773.9093997,0
"ATSC5d",166957249642160,11713304.0019887,14253642.6625497,0
"ATSC6d",-693219865994549,9653827.1838656,-71807776.6249145,0
"ATSC7d",-345203540236677,7414335.98259318,-46558928.6818293,0
"ATSC8d",-63238543337019.5,5082037.88541307,-12443540.320416,0
"ATSC1s",-340416023530581,40319833.3648884,-8442892.61936843,0
"ATSC2s",838111155638804,25714653.861151,32592744.9836297,0
"ATSC3s",-481860963241340,9591831.45222691,-50236596.1747032,0
"ATSC4s",110321703475586,10568682.2061596,10438548.6594808,0
"ATSC5s",341192216379485,9635622.40424279,35409463.1426456,0
"ATSC6s",355277838067169,9798303.07582194,36259119.0860226,0
"ATSC7s",-234685770507269,7537797.10911648,-31134530.0370889,0
