"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",242451070307102,2760908.32764822,87815690.1767271,0
"X",-18637238629.9025,1733.54199938978,-10750958.8094565,0
"nAcid",282638905606031,3981354.48138409,70990640.7298287,0
"ALogP",411010915489260,6698442.38647419,61359177.5185218,0
"ALogp2",-217217195765310,4897738.35771165,-44350510.3581725,0
"AMR",-45886079513132.2,48922759.5562959,-937929.093315569,0
"apol",70849979682530536,781274663.468956,90685111.1335773,0
"naAromAtom",1822653542685175,124009599.031626,14697681.1224133,0
"nB",571793783066601,89800547.9143785,6367375.21481256,0
"nN",-48737026355116416,381710643.146447,-127680553.922668,0
"nO",-144807270037060576,1396830249.59868,-103668480.889976,0
"nS",-18374064766162476,167872641.86045,-109452407.26858,0
"nP",-6139931173410032,50407350.2623276,-121806267.1705,0
"nF",-40172964928023136,404616993.151754,-99286400.739368,0
"nCl",-15510242178872668,135826020.192924,-114191979.981761,0
"nBr",-5966955517679215,61757915.7516776,-96618473.0338334,0
"nI",-5378183467307046,74451106.731644,-72237790.7247569,0
"ATS0m",2371180065346195,105480510.170241,22479793.2956451,0
"ATS0s",35872369755788904,650590998.229961,55138128.0303379,0
"AATS0m",4091449701288512,88592274.2508785,46182917.5950739,0
"AATS1m",-3128681211403554,99895036.1497573,-31319686.4628309,0
"AATS2m",199459898011780,45626866.6387924,4371544.94063368,0
"AATS4m",-2455553052466110,26380536.9121944,-93081996.80087,0
"AATS5m",-349361826876913,23120412.7447469,-15110535.9032265,0
"AATS6m",-431086153010380,19240336.5106147,-22405333.335649,0
"AATS7m",-1122204571893794,22182082.4503696,-50590586.9931114,0
"AATS8m",97271479305620.6,10881648.416908,8939038.97450676,0
"AATS0v",-3363093268902922,175233336.728371,-19192086.0019691,0
"AATS3v",93237613536685.8,40354861.3146858,2310443.1659329,0
"AATS4v",1409868637384257,26362162.6513479,53480765.4451737,0
"AATS5v",-419019209383415,23244561.98457,-18026547.8722105,0
"AATS6v",-43518882923196.8,19952472.7993331,-2181127.28987915,0
"AATS7v",-493893718299459,15944402.4699218,-30975994.191765,0
"AATS8v",443286683212957,11025128.9400037,40206938.6784703,0
"AATS0e",124502989128024,111349176.563982,1118131.20644394,0
"AATS4e",1225453566745026,30910347.5036848,39645415.3936296,0
"AATS5e",1671571836827014,35904047.8237751,46556640.2159293,0
"AATS6e",-80236752911839.5,42529867.6854391,-1886597.75537722,0
"AATS7e",292284104503106,11765675.146794,24842102.2046279,0
"AATS8e",-301610375749362,11060703.5388108,-27268642.9657068,0
"AATS0p",223084431763066,207045596.28946,1077465.23355745,0
"AATS1p",4063927043841624,102453027.546672,39666246.4853987,0
"AATS0i",-2853177121468802,87411753.8548356,-32640657.5276714,0
"AATS1i",1606193501823832,52257608.3239082,30736069.891836,0
"AATS2i",-595804727551.021,39772488.1147967,-14980.3232282408,0
"AATS3i",1056903996216970,33240294.2353973,31795867.6518417,0
"AATS4i",-645227400766475,21937642.4727261,-29411884.233625,0
"AATS5i",-471572396818092,28063480.2093483,-16803774.6316654,0
"AATS6i",-145357616073041,30497414.2385084,-4766227.55412166,0
"AATS1s",-1221009030296440,34259059.6623441,-35640471.2309869,0
"AATS3s",997878086494029,17112013.8571401,58314473.9610912,0
"AATS4s",-234832503548720,16586164.3271776,-14158336.9678745,0
"AATS5s",-648885310894778,16385722.71056,-39600652.4922209,0
"AATS6s",-28003185738730.4,11602909.8435338,-2413462.32249976,0
"AATS7s",497297305308732,9562854.60619611,52003018.5324072,0
"AATS8s",71293449166686.7,10168359.1377601,7011303.220196,0
"ATSC0c",-3662025309274868,124136319.949999,-29500031.1814454,0
"ATSC3c",-480544282999386,35135512.0184343,-13676882.8855337,0
"ATSC4c",1059013830349181,33414273.1308457,31693457.0505911,0
"ATSC5c",1149732229864830,39925528.0016972,28796919.8507771,0
"ATSC6c",84994619916008.8,28104386.4588569,3024247.47967496,0
"ATSC7c",-455381218446640,16258320.139683,-28009118.6871855,0
"ATSC8c",-715628381060650,17005936.2054143,-42081092.8852486,0
"ATSC1m",364949678488229,28314295.4388109,12889237.4976065,0
"ATSC2m",-688294697604062,17516441.5694292,-39294207.9517633,0
"ATSC3m",885758088350374,14278581.7748522,62034038.2761538,0
"ATSC4m",1331940840586824,14827493.1979883,89829131.7892855,0
"ATSC5m",374281611370763,13190567.7167435,28374943.323756,0
"ATSC6m",524219801721977,12325504.819412,42531304.7540542,0
"ATSC7m",25299337543293.4,12625859.2043134,2003771.55597065,0
"ATSC8m",-177736396619361,6152412.73988066,-28888893.533955,0
"ATSC1v",993147530529574,51132719.1888797,19422935.9651494,0
"ATSC2v",2608170281112604,40376899.1746537,64595606.2606676,0
"ATSC3v",202127868458152,19209962.7660598,10522033.3282099,0
"ATSC4v",-1178201427622297,17304640.90178,-68085864.035532,0
"ATSC5v",-551380718389573,13145021.8787355,-41945971.902986,0
"ATSC6v",-541934480225245,11680672.2237958,-46395829.781202,0
"ATSC7v",-280475294208136,9247835.33149896,-30328750.9080976,0
"ATSC8v",-332007977105830,7232063.25550889,-45907781.1374131,0
"ATSC1e",-510658015623698,25540008.7031081,-19994433.8923249,0
"ATSC2e",766830710821822,19929475.206979,38477215.4237805,0
"ATSC3e",-255191204004553,12209248.0597307,-20901467.7035059,0
"ATSC4e",-1368389634431518,13612791.9612868,-100522335.045086,0
"ATSC5e",-602543202132129,10805257.560876,-55763890.7483185,0
"ATSC6e",24116354967391,11407796.3958871,2114023.96488123,0
"ATSC7e",448831534123105,8751183.7901176,51288093.6896736,0
"ATSC8e",-12629458403559.6,7504439.19086564,-1682931.67315315,0
"ATSC1p",-984265561063729,31589677.1937463,-31157822.6971747,0
"ATSC2p",-1329969907027333,23640943.6485825,-56257056.6893203,0
"ATSC3p",-1509174642689644,17143700.035626,-88030859.123378,0
"ATSC4p",585717090199470,18822083.547724,31118610.6848568,0
"ATSC5p",225257475268231,13891561.0713809,16215418.4191942,0
"ATSC6p",397862195864408,13662043.4406707,29121719.4259541,0
"ATSC7p",392612396910352,11667234.2123681,33650854.1582335,0
"ATSC8p",353796800127226,9065146.64542941,39028248.9589518,0
"ATSC0i",8508216796881554,98983096.0140409,85956260.6091312,0
"ATSC1i",373508828055528,26670056.3057595,14004800.8813115,0
"ATSC2i",-465448524416060,12709743.9347609,-36621392.7523014,0
"ATSC3i",774322891234579,9876225.77856737,78402712.5944159,0
"ATSC4i",-117864984826424,10282753.3708058,-11462395.3892603,0
"ATSC5i",-309156146542724,8863472.44794085,-34879800.0285482,0
"ATSC6i",-497791853853032,7752893.15729835,-64207237.7051173,0
"ATSC7i",-270859712855100,6765330.3534802,-40036435.5771282,0
"ATSC8i",-146116914653577,5048664.02449169,-28941699.0207202,0
"ATSC1s",1799181736022111,27001727.2949779,66632097.8790399,0
"ATSC2s",-264932270414245,21005771.0176808,-12612356.3944046,0
"ATSC3s",-175343314016119,8585728.57436488,-20422648.1768427,0
"ATSC4s",460189064616923,9474679.20065687,48570411.1844777,0
"ATSC5s",436117183815708,8084389.50610399,53945592.7360285,0
"ATSC6s",-140286681062106,8392744.35646017,-16715233.4330454,0
"ATSC7s",-391494826499704,6334134.09308854,-61807157.9707922,0
"ATSC8s",121177988030065,5250215.20923474,23080575.4051609,0
"AATSC3c",-1514717683672900,38090945.3297807,-39765820.2115726,0
"AATSC4c",-5568579566273843,44107887.7285153,-126249064.578847,0
"AATSC5c",-6640857547137052,58339497.5475784,-113831243.433681,0
"AATSC7c",2862527581592478,36451039.2514283,78530753.5910738,0
"AATSC8c",827301129314033,18731203.477749,44167003.4868178,0
"AATSC1m",-1781487548343130,33370564.0511375,-53384999.5946474,0
"AATSC2m",236366572069332,20388213.7218079,11593294.7974008,0
