"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",314740903504630,2803657.90047394,112260808.799613,0
"X",-76709154296.962,1767.38279871541,-43402682.4028823,0
"nAcid",218021591050605,4226482.75796378,51584639.8852088,0
"ALogP",547919068448964,6883852.99834551,79594824.0877097,0
"ALogp2",-658917232978451,5182474.9573351,-127143351.082834,0
"AMR",-1416454740533696,50831071.5551644,-27865923.2866356,0
"apol",59871792750656776,831928133.89565,71967505.7391034,0
"naAromAtom",9012782717955234,130812779.423929,68898335.144667,0
"nB",-714860996885539,96564962.3519556,-7402902.45524092,0
"nN",-63097227721053464,411410300.385013,-153368128.270014,0
"nO",-183900498911447040,1522903786.64602,-120756478.85574,0
"nS",-22525139968611116,180532912.161174,-124770268.750229,0
"nP",-7227615338289886,53755429.7875697,-134453679.690627,0
"nF",-70204187427124392,440577518.839668,-159345823.209542,0
"nCl",-19808150581796016,145939752.111895,-135728273.449503,0
"nBr",-7486511395968971,67313936.5467768,-111217851.458836,0
"nI",-7197539936472959,81648218.4838989,-88153055.5120725,0
"ATS0m",2073102199904022,114671738.404695,18078580.0297866,0
"ATS0s",86640458680926352,702255272.296035,123374593.397717,0
"AATS0m",-778171205496239,97515042.3068635,-7980011.97648527,0
"AATS1m",-6145862911258512,104964348.987565,-58551908.0577219,0
"AATS2m",-182617536758997,48791597.4543822,-3742807.08742392,0
"AATS4m",-1760162160205992,28507014.6036979,-61744878.7491646,0
"AATS5m",-146850656958794,24589312.7495912,-5972133.44082726,0
"AATS6m",-222962094804451,20952063.9996997,-10641533.6841109,0
"AATS7m",-1370718619299490,24355987.4580196,-56278507.3552071,0
"AATS8m",-337895455325794,15990979.1839885,-21130379.2868496,0
"AATS0v",-7386635572542878,184579602.609597,-40018699.076768,0
"AATS3v",1923615042935924,42949692.7322992,44787632.2404821,0
"AATS4v",268320386291643,30067601.1347748,8923904.00846831,0
"AATS5v",-1969971530367444,25556579.4621132,-77082754.1020448,0
"AATS6v",311430254024632,21452221.8234581,14517389.2283774,0
"AATS7v",-325515761859884,16987915.1443476,-19161607.4776658,0
"AATS8v",524435945968077,12431726.1250856,42185287.9231176,0
