"","x"
"1",2.22044604925031e-16
"2",1
"3",1
"4",2.22044604925031e-16
"5",2.22044604925031e-16
"6",1
"7",2.22044604925031e-16
"8",1
"9",1
"10",2.22044604925031e-16
"11",1
"12",2.22044604925031e-16
"13",2.22044604925031e-16
"14",1
"15",1
"16",2.22044604925031e-16
"17",1
"18",2.22044604925031e-16
"19",2.22044604925031e-16
"20",2.22044604925031e-16
"21",1
"22",2.22044604925031e-16
"23",2.22044604925031e-16
"24",1
"25",2.22044604925031e-16
"26",2.22044604925031e-16
"27",1
"28",2.22044604925031e-16
"29",2.22044604925031e-16
"30",2.22044604925031e-16
"31",2.22044604925031e-16
"32",1
"33",1
"34",1
"35",2.22044604925031e-16
"36",2.22044604925031e-16
"37",2.22044604925031e-16
"38",2.22044604925031e-16
"39",1
"40",1
"41",1
"42",1
"43",2.22044604925031e-16
"44",2.22044604925031e-16
"45",2.22044604925031e-16
"46",1
"47",2.22044604925031e-16
"48",2.22044604925031e-16
"49",1
"50",2.22044604925031e-16
"51",1
"52",1
"53",1
"54",2.22044604925031e-16
"55",2.22044604925031e-16
"56",1
"57",1
"58",2.22044604925031e-16
"59",1
"60",1
"61",1
"62",2.22044604925031e-16
"63",2.22044604925031e-16
"64",2.22044604925031e-16
"65",2.22044604925031e-16
"66",1
"67",1
"68",2.22044604925031e-16
"69",1
"70",1
"71",2.22044604925031e-16
"72",2.22044604925031e-16
"73",1
"74",1
"75",2.22044604925031e-16
"76",1
"77",2.22044604925031e-16
"78",1
"79",2.22044604925031e-16
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",2.22044604925031e-16
"87",2.22044604925031e-16
"88",1
"89",2.22044604925031e-16
"90",1
"91",2.22044604925031e-16
"92",1
"93",2.22044604925031e-16
"94",2.22044604925031e-16
"95",2.22044604925031e-16
"96",2.22044604925031e-16
"97",1
"98",1
"99",2.22044604925031e-16
"100",1
"101",2.22044604925031e-16
"102",1
"103",2.22044604925031e-16
"104",1
"105",1
"106",2.22044604925031e-16
"107",2.22044604925031e-16
"108",2.22044604925031e-16
"109",2.22044604925031e-16
"110",2.22044604925031e-16
"111",2.22044604925031e-16
"112",2.22044604925031e-16
"113",2.22044604925031e-16
"114",2.22044604925031e-16
"115",1
"116",2.22044604925031e-16
"117",1
"118",2.22044604925031e-16
"119",1
"120",2.22044604925031e-16
"121",2.22044604925031e-16
"122",1
"123",1
"124",2.22044604925031e-16
"125",2.22044604925031e-16
"126",1
"127",1
"128",1
"129",1
"130",2.22044604925031e-16
"131",2.22044604925031e-16
"132",1
"133",2.22044604925031e-16
"134",1
"135",2.22044604925031e-16
"136",1
"137",1
"138",2.22044604925031e-16
"139",2.22044604925031e-16
"140",1
"141",1
"142",1
"143",2.22044604925031e-16
"144",2.22044604925031e-16
