"","x"
"1",1
"2",2.22044604925031e-16
"3",2.22044604925031e-16
"4",2.22044604925031e-16
"5",1
"6",1
"7",2.22044604925031e-16
"8",1
"9",2.22044604925031e-16
"10",1
"11",2.22044604925031e-16
"12",1
"13",2.22044604925031e-16
"14",2.22044604925031e-16
"15",2.22044604925031e-16
"16",1
"17",2.22044604925031e-16
"18",1
"19",1
"20",2.22044604925031e-16
"21",1
"22",2.22044604925031e-16
"23",2.22044604925031e-16
"24",1
"25",1
"26",2.22044604925031e-16
"27",1
"28",1
"29",2.22044604925031e-16
"30",1
"31",2.22044604925031e-16
"32",2.22044604925031e-16
"33",1
"34",1
"35",2.22044604925031e-16
"36",1
"37",1
"38",2.22044604925031e-16
"39",1
"40",1
"41",2.22044604925031e-16
"42",1
"43",1
"44",1
"45",2.22044604925031e-16
"46",2.22044604925031e-16
"47",2.22044604925031e-16
"48",2.22044604925031e-16
"49",1
"50",1
"51",1
"52",2.22044604925031e-16
"53",1
"54",1
"55",1
"56",2.22044604925031e-16
"57",1
"58",1
"59",1
"60",1
"61",1
"62",2.22044604925031e-16
"63",2.22044604925031e-16
"64",2.22044604925031e-16
"65",1
"66",1
"67",2.22044604925031e-16
"68",2.22044604925031e-16
"69",1
"70",1
"71",2.22044604925031e-16
"72",2.22044604925031e-16
"73",2.22044604925031e-16
"74",2.22044604925031e-16
"75",2.22044604925031e-16
"76",1
"77",1
"78",1
"79",1
"80",2.22044604925031e-16
"81",1
"82",2.22044604925031e-16
"83",1
"84",1
"85",2.22044604925031e-16
"86",1
"87",1
"88",1
"89",2.22044604925031e-16
"90",1
"91",2.22044604925031e-16
"92",2.22044604925031e-16
"93",1
"94",1
"95",1
"96",2.22044604925031e-16
"97",1
"98",2.22044604925031e-16
"99",1
"100",2.22044604925031e-16
"101",2.22044604925031e-16
"102",1
"103",1
"104",1
"105",2.22044604925031e-16
"106",2.22044604925031e-16
"107",2.22044604925031e-16
"108",2.22044604925031e-16
"109",1
"110",2.22044604925031e-16
"111",1
"112",2.22044604925031e-16
"113",1
"114",1
"115",2.22044604925031e-16
"116",1
"117",2.22044604925031e-16
"118",2.22044604925031e-16
"119",2.22044604925031e-16
"120",1
"121",2.22044604925031e-16
"122",1
"123",2.22044604925031e-16
"124",2.22044604925031e-16
"125",1
"126",1
"127",2.22044604925031e-16
"128",2.22044604925031e-16
"129",1
"130",1
"131",1
"132",2.22044604925031e-16
"133",1
"134",2.22044604925031e-16
"135",2.22044604925031e-16
"136",1
"137",2.22044604925031e-16
"138",2.22044604925031e-16
"139",1
"140",2.22044604925031e-16
"141",1
"142",2.22044604925031e-16
"143",1
"144",2.22044604925031e-16
"145",1
"146",1
"147",1
"148",2.22044604925031e-16
"149",1
"150",2.22044604925031e-16
"151",1
"152",1
"153",2.22044604925031e-16
"154",1
"155",1
"156",1
"157",1
"158",1
"159",2.22044604925031e-16
"160",2.22044604925031e-16
"161",2.22044604925031e-16
"162",1
"163",1
"164",2.22044604925031e-16
"165",2.22044604925031e-16
"166",1
"167",1
"168",2.22044604925031e-16
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",2.22044604925031e-16
"176",2.22044604925031e-16
"177",2.22044604925031e-16
"178",2.22044604925031e-16
"179",1
"180",1
"181",2.22044604925031e-16
"182",2.22044604925031e-16
"183",1
"184",1
"185",2.22044604925031e-16
"186",1
"187",1
"188",2.22044604925031e-16
"189",1
"190",1
"191",1
"192",1
"193",2.22044604925031e-16
"194",2.22044604925031e-16
"195",2.22044604925031e-16
"196",1
"197",1
"198",2.22044604925031e-16
"199",1
"200",2.22044604925031e-16
"201",1
"202",2.22044604925031e-16
"203",1
"204",1
"205",2.22044604925031e-16
"206",2.22044604925031e-16
"207",1
"208",1
"209",2.22044604925031e-16
"210",1
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",2.22044604925031e-16
"218",2.22044604925031e-16
"219",2.22044604925031e-16
"220",2.22044604925031e-16
"221",1
"222",1
"223",2.22044604925031e-16
"224",1
"225",2.22044604925031e-16
"226",1
"227",2.22044604925031e-16
"228",1
"229",1
"230",2.22044604925031e-16
"231",2.22044604925031e-16
"232",2.22044604925031e-16
"233",1
"234",2.22044604925031e-16
"235",2.22044604925031e-16
"236",2.22044604925031e-16
"237",1
"238",1
"239",2.22044604925031e-16
"240",2.22044604925031e-16
"241",1
"242",1
"243",2.22044604925031e-16
"244",2.22044604925031e-16
"245",2.22044604925031e-16
"246",2.22044604925031e-16
"247",1
"248",1
"249",2.22044604925031e-16
"250",2.22044604925031e-16
"251",1
"252",2.22044604925031e-16
"253",2.22044604925031e-16
"254",2.22044604925031e-16
"255",1
"256",1
"257",2.22044604925031e-16
"258",2.22044604925031e-16
"259",1
"260",1
"261",1
"262",2.22044604925031e-16
"263",1
"264",1
"265",2.22044604925031e-16
"266",1
"267",1
"268",1
"269",2.22044604925031e-16
"270",2.22044604925031e-16
"271",1
"272",2.22044604925031e-16
"273",2.22044604925031e-16
"274",1
"275",2.22044604925031e-16
"276",2.22044604925031e-16
"277",1
"278",1
"279",2.22044604925031e-16
"280",1
"281",2.22044604925031e-16
"282",2.22044604925031e-16
"283",1
"284",1
"285",1
"286",2.22044604925031e-16
"287",1
"288",1
"289",1
"290",2.22044604925031e-16
"291",2.22044604925031e-16
"292",2.22044604925031e-16
"293",1
"294",1
"295",1
"296",2.22044604925031e-16
"297",2.22044604925031e-16
"298",2.22044604925031e-16
"299",2.22044604925031e-16
"300",2.22044604925031e-16
"301",1
"302",2.22044604925031e-16
"303",2.22044604925031e-16
"304",1
"305",1
"306",2.22044604925031e-16
"307",2.22044604925031e-16
"308",2.22044604925031e-16
"309",1
"310",1
"311",1
"312",2.22044604925031e-16
"313",2.22044604925031e-16
"314",2.22044604925031e-16
"315",1
"316",1
"317",2.22044604925031e-16
"318",2.22044604925031e-16
"319",2.22044604925031e-16
"320",2.22044604925031e-16
"321",1
"322",2.22044604925031e-16
"323",2.22044604925031e-16
"324",1
"325",1
"326",1
"327",1
"328",2.22044604925031e-16
"329",1
"330",1
"331",1
"332",2.22044604925031e-16
"333",1
"334",2.22044604925031e-16
"335",2.22044604925031e-16
"336",1
"337",1
"338",1
"339",1
"340",2.22044604925031e-16
"341",2.22044604925031e-16
"342",2.22044604925031e-16
"343",1
"344",2.22044604925031e-16
"345",1
"346",2.22044604925031e-16
"347",2.22044604925031e-16
"348",1
"349",2.22044604925031e-16
"350",2.22044604925031e-16
"351",1
"352",2.22044604925031e-16
"353",1
"354",1
"355",2.22044604925031e-16
"356",1
"357",1
"358",1
"359",1
"360",2.22044604925031e-16
"361",1
"362",2.22044604925031e-16
"363",2.22044604925031e-16
"364",1
"365",2.22044604925031e-16
"366",2.22044604925031e-16
"367",2.22044604925031e-16
"368",1
"369",2.22044604925031e-16
"370",1
"371",2.22044604925031e-16
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",2.22044604925031e-16
"385",1
"386",1
"387",2.22044604925031e-16
"388",2.22044604925031e-16
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",2.22044604925031e-16
"396",1
"397",2.22044604925031e-16
"398",1
"399",2.22044604925031e-16
"400",1
"401",1
"402",2.22044604925031e-16
"403",2.22044604925031e-16
"404",1
"405",1
"406",1
"407",2.22044604925031e-16
"408",1
"409",1
"410",1
"411",1
"412",2.22044604925031e-16
"413",2.22044604925031e-16
"414",1
"415",1
"416",1
"417",2.22044604925031e-16
"418",2.22044604925031e-16
"419",1
"420",1
"421",1
"422",1
"423",2.22044604925031e-16
"424",2.22044604925031e-16
"425",2.22044604925031e-16
"426",1
"427",1
"428",2.22044604925031e-16
"429",1
"430",1
"431",2.22044604925031e-16
"432",2.22044604925031e-16
"433",2.22044604925031e-16
"434",1
"435",2.22044604925031e-16
"436",2.22044604925031e-16
"437",1
"438",1
"439",2.22044604925031e-16
"440",1
"441",2.22044604925031e-16
"442",2.22044604925031e-16
"443",1
"444",2.22044604925031e-16
"445",2.22044604925031e-16
"446",1
"447",1
"448",2.22044604925031e-16
"449",2.22044604925031e-16
"450",2.22044604925031e-16
"451",1
"452",1
"453",2.22044604925031e-16
"454",1
"455",2.22044604925031e-16
"456",2.22044604925031e-16
"457",1
"458",2.22044604925031e-16
"459",2.22044604925031e-16
"460",2.22044604925031e-16
"461",1
"462",2.22044604925031e-16
"463",2.22044604925031e-16
"464",2.22044604925031e-16
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",2.22044604925031e-16
"473",1
"474",1
"475",2.22044604925031e-16
"476",2.22044604925031e-16
"477",1
"478",1
"479",1
"480",2.22044604925031e-16
"481",1
"482",2.22044604925031e-16
"483",2.22044604925031e-16
"484",2.22044604925031e-16
"485",2.22044604925031e-16
"486",2.22044604925031e-16
"487",2.22044604925031e-16
"488",1
"489",1
"490",2.22044604925031e-16
"491",2.22044604925031e-16
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",2.22044604925031e-16
"499",1
"500",2.22044604925031e-16
"501",1
"502",2.22044604925031e-16
"503",1
"504",2.22044604925031e-16
"505",1
"506",1
"507",1
"508",2.22044604925031e-16
"509",2.22044604925031e-16
"510",2.22044604925031e-16
"511",1
"512",2.22044604925031e-16
"513",2.22044604925031e-16
"514",1
"515",1
"516",2.22044604925031e-16
"517",1
"518",1
"519",1
"520",2.22044604925031e-16
"521",1
"522",2.22044604925031e-16
"523",1
"524",2.22044604925031e-16
"525",2.22044604925031e-16
"526",1
"527",1
"528",2.22044604925031e-16
"529",1
"530",1
"531",1
"532",2.22044604925031e-16
"533",2.22044604925031e-16
"534",2.22044604925031e-16
"535",1
"536",2.22044604925031e-16
"537",2.22044604925031e-16
"538",2.22044604925031e-16
"539",2.22044604925031e-16
"540",2.22044604925031e-16
"541",2.22044604925031e-16
"542",1
"543",1
"544",2.22044604925031e-16
"545",2.22044604925031e-16
"546",1
"547",1
"548",1
"549",2.22044604925031e-16
"550",1
"551",2.22044604925031e-16
"552",1
"553",1
"554",2.22044604925031e-16
"555",1
"556",1
"557",1
"558",1
"559",1
"560",1
"561",1
"562",2.22044604925031e-16
"563",2.22044604925031e-16
"564",1
"565",1
"566",1
"567",1
"568",2.22044604925031e-16
"569",1
"570",2.22044604925031e-16
"571",2.22044604925031e-16
"572",2.22044604925031e-16
"573",2.22044604925031e-16
"574",1
"575",1
"576",2.22044604925031e-16
"577",2.22044604925031e-16
"578",1
"579",1
"580",2.22044604925031e-16
"581",1
"582",2.22044604925031e-16
"583",2.22044604925031e-16
"584",2.22044604925031e-16
"585",2.22044604925031e-16
"586",1
"587",1
"588",1
"589",1
"590",2.22044604925031e-16
"591",1
"592",2.22044604925031e-16
"593",1
"594",1
"595",2.22044604925031e-16
"596",1
"597",2.22044604925031e-16
"598",2.22044604925031e-16
"599",1
"600",2.22044604925031e-16
"601",1
"602",2.22044604925031e-16
"603",1
"604",2.22044604925031e-16
"605",1
"606",1
"607",2.22044604925031e-16
"608",2.22044604925031e-16
"609",1
"610",2.22044604925031e-16
"611",2.22044604925031e-16
"612",1
"613",2.22044604925031e-16
"614",1
"615",1
"616",2.22044604925031e-16
"617",1
"618",1
"619",2.22044604925031e-16
"620",1
"621",2.22044604925031e-16
"622",1
"623",1
"624",2.22044604925031e-16
"625",2.22044604925031e-16
"626",2.22044604925031e-16
"627",1
"628",2.22044604925031e-16
"629",2.22044604925031e-16
"630",2.22044604925031e-16
"631",2.22044604925031e-16
"632",1
"633",1
"634",1
"635",2.22044604925031e-16
"636",1
"637",1
"638",2.22044604925031e-16
"639",1
"640",2.22044604925031e-16
"641",1
"642",2.22044604925031e-16
"643",2.22044604925031e-16
"644",2.22044604925031e-16
"645",1
"646",1
"647",1
"648",1
"649",2.22044604925031e-16
"650",1
"651",2.22044604925031e-16
"652",2.22044604925031e-16
"653",2.22044604925031e-16
"654",2.22044604925031e-16
"655",1
"656",2.22044604925031e-16
"657",2.22044604925031e-16
"658",1
"659",1
"660",2.22044604925031e-16
"661",1
"662",1
"663",2.22044604925031e-16
"664",1
"665",2.22044604925031e-16
"666",1
"667",1
"668",1
"669",2.22044604925031e-16
"670",2.22044604925031e-16
"671",1
"672",1
"673",1
"674",2.22044604925031e-16
"675",1
"676",1
"677",2.22044604925031e-16
"678",2.22044604925031e-16
"679",2.22044604925031e-16
"680",1
"681",2.22044604925031e-16
"682",2.22044604925031e-16
"683",2.22044604925031e-16
"684",1
"685",1
"686",1
"687",2.22044604925031e-16
"688",1
"689",2.22044604925031e-16
"690",2.22044604925031e-16
"691",2.22044604925031e-16
"692",1
"693",2.22044604925031e-16
"694",2.22044604925031e-16
"695",1
"696",2.22044604925031e-16
"697",1
"698",1
"699",2.22044604925031e-16
"700",2.22044604925031e-16
"701",1
"702",1
"703",1
"704",2.22044604925031e-16
"705",1
"706",2.22044604925031e-16
"707",2.22044604925031e-16
"708",1
"709",1
"710",1
