coef,std err,z,P>|z|,[0.025,0.975]
0.2926,0.143,2.045,0.041,0.012,0.573
389.5948,173.738,2.242,0.025,49.075,730.115
124.4838,53.12,2.343,0.019,20.37,228.597
-0.5446,0.277,-1.965,0.049,-1.088,-0.001
-0.5684,0.243,-2.342,0.019,-1.044,-0.093
76.2535,38.429,1.984,0.047,0.933,151.574
-4.9456,2.052,-2.41,0.016,-8.968,-0.923
2.5264,1.117,2.262,0.024,0.338,4.715
-186.146,79.497,-2.342,0.019,-341.957,-30.335
-23.3273,7.617,-3.063,0.002,-38.256,-8.399
-0.4891,0.187,-2.612,0.009,-0.856,-0.122
-0.4295,0.169,-2.541,0.011,-0.761,-0.098
4.0423,1.999,2.022,0.043,0.124,7.96
4.1211,1.727,2.386,0.017,0.736,7.507
-9.5505,2.6,-3.673,0.0,-14.646,-4.455
