Estimate,Std. Error,z value,Pr(>|z|)
-3.0294574089781693e+18,110655804541.017,-27377302.2711632,0
2.1877173783573711e+18,79735248663.7664,27437267.8961936,0
1.4132207739205755e+18,52860760434.7889,26734779.4904309,0
6.570584021699963e+17,24083782241.3445,27282193.2861537,0
3.8907727739625926e+17,14613643161.0477,26624249.2107193,0
3.8693095341721766e+17,14313007653.6765,27033518.2359683,0
1.2711771056948958e+17,4859000869.53848,26161285.8244999,0
1.0118014247403523e+17,3555548413.81788,28456972.2298873,0
7.881061306068902e+16,2961615595.16466,26610682.7602342,0
-6.851031243218649e+16,2933742468.31437,-23352531.1686783,0
6.496487916393563e+16,2605668824.94809,24932132.0276493,0
-4.979235902353082e+16,4578951896.93579,-10874182.5955524,0
4.413498040136454e+16,1609632939.84534,27419282.5636416,0
-3.862359735155438e+16,3083505838.95566,-12525871.3194575,0
3.2926586363276348e+16,2762959701.08753,11917143.181754,0
-2.597676879970488e+16,630474559.359144,-41201930.2192135,0
2.54543384561889e+16,1164871453.56628,21851628.6739278,0
-2.507369973144487e+16,852997325.153353,-29394816.3635063,0
2.014878387407712e+16,781652113.487026,25777175.7108049,0
2.010944561027973e+16,345483694.336124,58206641.7025027,0
-1.8965527385733228e+16,784400091.534326,-24178384.9726938,0
-1.753651159260293e+16,752922330.92177,-23291262.4216282,0
1.7235158073292688e+16,199143091.750421,86546602.8562663,0
-1.601217318424085e+16,521542282.774418,-30701582.0444352,0
-1.415949242496634e+16,443369128.327419,-31936126.1763581,0
1.3903062275534454e+16,504587014.9898,27553349.2985655,0
-1.3028342943480496e+16,207874414.644427,-62674105.2561265,0
1.289135927741896e+16,114731230.902959,112361378.640857,0
-1.2542502726665678e+16,952545383.773492,-13167354.4802441,0
1.2345908113873602e+16,417042423.995836,29603482.5320238,0
1.224709882397669e+16,997156958.632765,12282017.1066841,0
-1.1516131432401498e+16,121369921.083589,-94884558.9548516,0
1.1264578588758684e+16,435199140.833676,25883733.5183614,0
1.1074954067257654e+16,828901961.202054,13360993.9240547,0
9640227353610462.0,81985232.7616009,117584923.880653,0
9142546908354412.0,360082104.855163,25390172.9219003,0
9041558037509610.0,308402967.712994,29317350.9469074,0
-8388041730050815.0,390316880.452602,-21490338.107653,0
-8378066694668878.0,344250141.136888,-24337148.1766144,0
8340375459140022.0,138062280.963408,60410239.5016243,0
-8142426609614485.0,108159441.015682,-75281700.1747809,0
8139697741100247.0,56652239.7871391,143678304.188568,0
-7982640669379184.0,186365160.12235,-42833331.4238483,0
7907954189023195.0,165205095.064722,47867495.7689719,0
7763836854625299.0,251051304.414036,30925299.8017533,0
7559001719183112.0,102226773.914792,73943463.4363374,0
7524024686540797.0,1339224109.63708,5618196.85920959,0
-7496000088791125.0,130831103.664873,-57295244.6231156,0
7386293265807249.0,200713046.175501,36800264.888356,0
-7353780731158597.0,88613762.9221505,-82986891.5240524,0
7215979251132072.0,397823145.386396,18138661.1986172,0
-6710444203633020.0,182501655.689183,-36769223.6998743,0
-6611941683888628.0,56530838.9975292,-116961676.160115,0
6578384725549891.0,456114383.57711,14422664.4947226,0
6547174799157368.0,271558455.264649,24109633.3854778,0
-6331617191600940.0,202197699.107894,-31313992.2933661,0
-6148122873652774.0,236035738.907005,-26047423.5898449,0
-6048717131788943.0,77242021.2750003,-78308633.4607175,0
-5991368992499614.0,168931145.350701,-35466337.365212,0
5964489463242267.0,126771084.616775,47049289.5227072,0
-5819541016041871.0,308928806.718913,-18837806.2824582,0
-5776536217434610.0,91422591.6755743,-63184997.4012271,0
-5728018222373375.0,75558927.0437877,-75808623.1035796,0
5697090048814783.0,65537362.4033752,86928888.1928117,0
5696738617284300.0,52175739.7479385,109183667.444013,0
-5539363962283317.0,140630363.554433,-39389530.2712434,0
5501141635303254.0,65882888.8639128,83498792.025747,0
-5360399163040861.0,725868766.375113,-7384804.81783222,0
5327581083363827.0,73831862.7981883,72158291.5756333,0
5315520104288876.0,108269870.593733,49095099.8199173,0
5280425983590818.0,56007028.5999676,94281487.7987273,0
-5217594900073264.0,50400954.2966082,-103521748.206748,0
5209731499991229.0,50624757.3752275,102908769.742382,0
5170340193888916.0,52378154.1297292,98711767.9077257,0
5169114825892538.0,44210225.9774782,116921248.68409,0
5020908909281668.0,107929204.279922,46520392.1661424,0
4883410348073995.0,79982326.213051,61056118.0111957,0
4824889053826584.0,43832761.8023058,110074949.773591,0
4789984086690712.0,137122984.509424,34932029.1111481,0
4730918717263203.0,143477413.982505,32973264.4738082,0
4730784805252791.0,82559766.1308067,57301334.8627635,0
4688812411797165.0,41409749.4281049,113229673.60471,0
-4673245022259248.0,128828431.863265,-36274950.7594666,0
-4571172215681308.0,76248471.6675894,-59951001.1900259,0
4504793124104164.0,57760467.3886916,77990939.6125509,0
-4415149582754855.0,61807689.3571385,-71433661.8740614,0
4407045493643250.0,51721345.5387929,85207479.5760641,0
-4344188367211358.0,105820698.294881,-41052350.2226926,0
4335376990582854.0,38631914.5636571,112222680.122133,0
4311995845863296.0,40676627.9600865,106006718.405823,0
4115786762466058.0,61275062.3857491,67169034.2239991,0
-4101124506625302.0,52196558.808047,-78570783.2140276,0
-4028366925253248.0,331212995.889104,-12162466.374363,0
-3985661732183135.0,31035407.5514063,-128423051.174095,0
-3970979589113449.0,119348337.963273,-33272181.7235146,0
-3927737452193714.0,134420352.807606,-29219812.1055033,0
-3811959578980176.0,81634069.198664,-46695694.7803671,0
-3802036235225160.0,149998566.874398,-25347150.4058357,0
3799437796694838.0,58455614.0369245,64996970.0822038,0
3757697356143278.0,81300082.3195204,46220092.8822558,0
3630428294154982.0,51566398.4634024,70402983.383289,0
3561928873961952.0,23092436.6958913,154246557.904204,0
-3535293906186932.0,64149470.0471679,-55110258.9559586,0
-3534044588125299.0,101136651.483768,-34943262.7665402,0
-3489717185151010.0,42098090.3821956,-82894904.5780686,0
-3478185591134264.0,41960895.6914088,-82891118.8339193,0
-3435408391227360.0,55513647.1522386,-61884033.3405986,0
3371398046252822.0,91480746.5206978,36853635.0486606,0
3370007705431909.0,51597043.0792365,65313969.6446685,0
3278702454064112.0,69732834.204331,47018058.1568915,0
-3273798150053710.0,103574546.936203,-31608133.9179809,0
3270371384560378.0,123516902.6258,26477116.2086869,0
-3224100260441755.0,41498985.8796496,-77691061.4103175,0
3181626789552473.0,89497315.1719684,35549969.1073302,0
3082011963193176.0,34950538.9977481,88182101.0941134,0
-3031451138164436.0,85257233.1276538,-35556527.3110085,0
3001353249810938.0,76135105.9788747,39421410.2840249,0
2990151421439250.0,24364805.0639751,122724208.693152,0
2979438422019272.0,81291742.4161296,36651181.7001981,0
2970391007008935.0,86413312.8065094,34374229.045703,0
2905972694357906.0,37888287.5927087,76698443.7406228,0
-2848449497150022.0,40712763.2241415,-69964533.762252,0
2830616893327026.0,38626743.0978935,73281272.6704207,0
2766050910830370.0,41558940.0625848,66557301.6699871,0
2695348655785082.0,36653864.7648199,73535183.0722106,0
-2656613201654278.0,40140011.9556038,-66183667.4237313,0
2649880091640974.0,33533536.9083966,79021789.406815,0
2615175007520055.0,20235593.7934214,129236385.856404,0
-2614099696638949.0,53381897.714066,-48969778.3065164,0
-2554777090127656.0,37288378.3984532,-68514030.3723594,0
2514230119328233.0,30783997.5299157,81673282.2592297,0
-2505189142181968.0,55167651.0201475,-45410473.2729523,0
-2465757831637799.0,24462423.84965,-100797772.403616,0
-2452191332881748.0,56822940.1282164,-43154953.392918,0
-2449234403686106.0,1461455877.82167,-1675886.65580294,0
2433690826949811.0,23744065.1092249,102496805.654576,0
2433200766250254.0,34125518.0778167,71301504.0739252,0
-2425629997945870.0,84823835.9539536,-28596089.4206979,0
2422092737707702.0,28082382.1547894,86249546.9350565,0
-2416489444648230.0,123379606.492144,-19585809.3031127,0
-2356790494937793.0,27430775.7995114,-85917748.4502561,0
-2350616772926062.0,31937923.9705602,-73599548.1451086,0
2348328141445953.0,72705874.2579377,32299015.2503334,0
2328060468280564.0,45893832.7793783,50727087.4383507,0
-2316128191062886.0,58321834.3507959,-39712883.1224987,0
2308157670063704.0,38835097.6569459,59434836.2518119,0
-2306055885159981.0,50962040.5183883,-45250462.1420703,0
-2261318002188754.0,20497891.2221869,-110319543.492411,0
-2253140655252426.0,38201731.9207636,-58980065.6139307,0
2233692765018150.0,26855299.2883611,83175120.8963893,0
2214651159931886.0,45168550.2855405,49030822.2409531,0
2149359788273658.0,33207663.4306369,64724812.4747822,0
-2134029943506557.0,147367644.318484,-14480993.7987106,0
-2132850965233115.0,67629000.1140014,-31537520.3187655,0
-2084509368688191.0,62650346.130432,-33272112.5650039,0
2072697666674433.0,156861332.146316,13213566.6471395,0
-2069445736752376.0,35916303.573969,-57618561.2333515,0
2037364814391482.0,110441550.930021,18447448.4216761,0
2004536465600454.0,65430594.68226,30636072.8545225,0
-1986912921882877.0,30233158.7819244,-65719660.1987484,0
-1972932551555443.0,104036261.230174,-18963893.2447836,0
1972077601730776.0,71211730.4546729,27693156.5788312,0
-1968107462918169.0,59743417.8198156,-32942666.0666439,0
1961577161978670.0,37867779.0152363,51800692.1184741,0
-1957596820122909.0,44856387.1689551,-43641428.6498256,0
-1952043410514771.0,31133934.2873748,-62698256.9082619,0
-1943108261826030.0,74274280.5095399,-26161253.2426545,0
-1940905375362763.0,62053375.9127758,-31277998.1235986,0
1934763265592854.0,23486554.5167869,82377483.858264,0
1915374690597469.0,27916205.7806817,68611569.4104436,0
1904059653382423.0,79060340.6014745,24083625.7331645,0
1885918946998932.0,21570898.9120324,87428852.8581883,0
1885301794384980.0,59543742.6916794,31662467.1066978,0
-1868260736079978.0,30547577.0409075,-61159048.1817302,0
1866086986266798.0,48541913.5540701,38442798.1848756,0
1851662269535368.0,18454550.3884186,100336352.312187,0
