Estimate,Std. Error,z value,Pr(>|z|)
1.1302306937832894e+19,442606925426.906,25535766.1359038,0
7.991551803665369e+18,313088820639.54,25524871.1446841,0
-6.686969995800028e+18,262048032432.716,-25518108.0114272,0
-7.245353949696161e+17,43466804150.1775,-16668706.3642027,0
6.160915771933559e+17,37318325625.4033,16509089.4853538,0
4.012098431866994e+17,24207426747.0725,16573832.7901878,0
-1.3632858094872112e+17,1807480118.77116,-75424664.1680385,0
1.2954425187457448e+17,1729027087.61533,74923205.5428593,0
7.33607774975408e+16,796856699.162709,92062697.8158357,0
-5.922736574351946e+16,613000520.67018,-96618785.3784651,0
-4.405876869879051e+16,375508324.780389,-117331003.845408,0
4.3206394200049736e+16,309070902.527742,139794441.491209,0
3.9235204229491256e+16,2134589517.27051,18380678.7731541,0
3.738959956018232e+16,2588412919.73732,14444990.3162965,0
3.133794958900677e+16,308703205.372137,101514817.610103,0
3.1046361944163096e+16,1301641276.93699,23851703.6100923,0
3.064594843012107e+16,297120312.18521,103143229.100466,0
2.966507050186614e+16,975409676.457986,30412934.3985895,0
2.780189436167441e+16,594945928.061595,46730119.5795327,0
2.627809385383833e+16,262477550.530593,100115586.269064,0
-2.369424543525693e+16,2554610183.96837,-9275092.3737609,0
-2.294484342558317e+16,145758507.581693,-157416838.346286,0
2.1896166243501944e+16,141948513.293386,154254283.722197,0
-1.810924599388272e+16,255321935.915856,-70927105.9257942,0
1.6820084952938478e+16,201451292.261688,83494549.7946421,0
1.428064655741435e+16,161459348.958617,88447319.0900487,0
-1.3947786468437938e+16,124500581.008342,-112029890.587445,0
1.2607063964803604e+16,1315096446.18477,9586417.78812348,0
-1.2299028433227072e+16,516444585.194423,-23814807.6014718,0
-1.2254272967103402e+16,182227870.935782,-67246974.3743087,0
1.200123506920439e+16,1286318796.7148,9329907.25149554,0
-1.185949640501572e+16,134905560.063084,-87909619.1400118,0
1.151824316838311e+16,363235500.459292,31710125.1221836,0
1.1475163639602582e+16,142679665.088393,80426062.3438769,0
-1.1282664642380564e+16,231700376.546654,-48695063.9033975,0
1.0678366503163482e+16,118028796.312872,90472552.7731141,0
1.0574644522795128e+16,247546148.112824,42717871.4086697,0
9655051989442884.0,162584757.099828,59384730.5348225,0
9605555403298972.0,257397870.74678,37317928.7592033,0
9353986454265338.0,133523777.730336,70054836.7733918,0
8873704953681734.0,76447496.9081305,116075807.744831,0
8521026184596282.0,167072843.384337,51001862.492963,0
8301975387415418.0,61368173.8164492,135281447.550426,0
8203144119044387.0,144515145.31632,56763213.9945545,0
-8065606177553845.0,120349069.17526,-67018434.23324,0
-7736660213982013.0,76875192.6085634,-100639230.309001,0
-7613886990734284.0,179797585.320459,-42346992.4646864,0
7267400449300466.0,82432799.737932,88161514.256519,0
-7194651867957320.0,142729110.813763,-50407739.7171281,0
-7056280533764747.0,176964482.051947,-39873993.0857618,0
7019788739417824.0,110904947.410259,63295541.8431446,0
-6705204641661992.0,90027972.2789084,-74479125.453244,0
6623944365154457.0,43610106.9966776,151890119.54635,0
5849292161698484.0,218927072.12524,26717993.8274254,0
5722438041337050.0,700793549.38576,8165654.5588251,0
-5711100634035316.0,228690940.172978,-24973007.8057117,0
5606653697330349.0,64845623.6029258,86461558.7886394,0
-5531448390806668.0,95620226.7617959,-57848099.4882633,0
5452663705367954.0,160661181.069918,33938899.6710726,0
-5451444836873421.0,165277348.301141,-32983617.4945202,0
5423860984839219.0,77224472.6344684,70235001.9340674,0
-5316421450820412.0,84585074.0494594,-62852950.2464199,0
5005847514325662.0,46611621.8015584,107394836.756319,0
-4736793244624630.0,72731177.739065,-65127410.1681489,0
4668036169652868.0,94425552.6960195,49436154.0533471,0
4540152437492908.0,39334312.2865116,115424731.578434,0
-4363892653376440.0,48629938.7141918,-89736750.0095761,0
4362040806973172.0,80743216.0415664,54023619.8261858,0
4327221248600229.0,181162619.744423,23885839.4447204,0
-4266211035920315.0,47674301.8482655,-89486596.982553,0
4264065112817758.0,346297506.25732,12313300.0837993,0
4256468534363810.0,148038969.388967,28752351.8431157,0
-4244024331634079.0,53107397.0084094,-79913996.3678139,0
4221275370615360.0,55825265.0163024,75615859.0448723,0
-4197315355593910.0,60102246.7338248,-69836247.1237154,0
-4180812640709562.0,25263653.2077182,-165487255.795306,0
4006590689987338.0,156161310.275347,25656743.5488523,0
-3936410141167532.0,68007728.8797341,-57881805.583138,0
3933648181196358.0,77750283.9117422,50593360.9922456,0
-3915388242138928.0,67294883.1588838,-58182555.022715,0
3913549324842072.0,42115120.9290641,92925040.6625638,0
-3889184858199142.0,59749475.102681,-65091531.791961,0
-3866027715241504.0,52301696.2143366,-73917826.6685311,0
-3797756241211602.0,66762889.4365347,-56884240.2308213,0
-3797414035621664.0,53809352.7332084,-70571635.6494675,0
-3770308478914364.0,77382313.3082754,-48723129.5851058,0
3742315035664242.0,222073868.779231,16851667.6736269,0
3670620151785088.0,60614472.7738442,60556827.1703091,0
-3645247877361128.0,223538520.672636,-16307023.3550461,0
-3635475556950150.0,67430180.1879295,-53914664.7216127,0
-3587212961308089.0,41379425.5304521,-86690738.5813796,0
3498026222908244.0,43193168.4008178,80985636.2109803,0
-3454460343922495.0,38624605.0795321,-89436780.9537313,0
3347414547231906.0,75763811.2931322,44182235.4247818,0
-3316474675647080.0,41358468.5496805,-80188527.0887937,0
-3306963253422626.0,64999476.3625981,-50876767.6061697,0
3294053598578667.0,64841311.8113144,50801772.9216249,0
3239005131574993.0,75712512.8678606,42780314.7575878,0
3144317408647526.0,35129901.9937057,89505442.0934877,0
-3143410951140337.0,59559630.0435401,-52777543.2594594,0
3043249909978790.0,72736994.2967062,41839093.5644779,0
2941483044097956.0,25399603.0277559,115808229.005926,0
-2927576537871134.0,50743015.3863129,-57694177.5253821,0
2920970304921808.0,112613523.938128,25938006.4025581,0
-2905016689952084.0,64787686.4420296,-44839024.9673666,0
2817794047234014.0,38266389.3558332,73636266.5688624,0
2776169722244439.0,25857146.5830197,107365664.394986,0
-2717189856466584.0,132091061.149904,-20570580.8766496,0
2688535754055444.0,44944559.2174914,59818936.949528,0
-2635600437785914.0,47003089.7406181,-56072918.8725724,0
-2584046934707499.0,34745341.7288295,-74371032.3782317,0
-2571372968934746.0,31339478.0512467,-82049004.2855852,0
2570630193461846.0,29350417.3677525,87584110.3467992,0
2563974632435638.0,48139602.8654929,53261233.5751845,0
-2473165546203240.0,67418686.7424031,-36683680.2332392,0
-2466436467255932.0,36237607.1388173,-68062895.4833477,0
-2450121706913393.0,61260762.5434636,-39994959.3375542,0
