Estimate,Std. Error,z value,Pr(>|z|)
7.256783243984531e+17,45609432809.6189,15910707.0554363,0
-6.4887538040613e+17,483693579912.202,-1341500.91577381,0
-6.331563547026575e+17,39159495240.6549,-16168654.6471447,0
-4.630169374862173e+17,342154119805.572,-1353240.86627782,0
-4.0731445270239034e+17,25400847400.4428,-16035467.0960816,0
3.8778800141313485e+17,286374312953.596,1354129.83592552,0
-7.04623916288913e+16,2032886114.29689,-34661258.7558856,0
6.0422182168473976e+16,1925276890.94166,31383632.3765987,0
-5.398921183611553e+16,678709729.832189,-79546836.3912573,0
4.969666216619677e+16,1481758420.18951,33538977.3994609,0
4.502334467470758e+16,877861024.00836,51287554.001576,0
-3.895119079317038e+16,2978128063.81733,-13079085.2369334,0
3.823986475532462e+16,345306931.285955,110741665.720163,0
-3.5743077535770456e+16,416091907.868747,-85901880.9542563,0
3.3350237116994304e+16,1095045667.90201,30455567.3745458,0
3.1575408629036864e+16,340104385.926683,92840345.3045844,0
2.685414401520428e+16,1494281434.07594,17971275.9610179,0
2.262394362594905e+16,2482927327.89732,9111802.57744727,0
2.1474716659235416e+16,2953002942.49159,7272162.29629496,0
1.8897131840330284e+16,326693271.225101,57843651.8434125,0
1.777427635692872e+16,290754155.162574,61131633.1730162,0
-1.6852659204156648e+16,150986533.323353,-111616968.96547,0
-1.4991745930551924e+16,286966385.44591,-52242167.3439438,0
-1.4176639756326672e+16,133112437.082643,-106501241.108861,0
1.3320372905079572e+16,178422830.315556,74656213.4538577,0
1.2917025646350698e+16,226495505.64774,57029942.4238469,0
1.2571825460482234e+16,146844385.57419,85613252.5007608,0
1.2305558197569424e+16,168235415.605101,73144873.5292115,0
1.2180882661545486e+16,173526939.353448,70195917.1695805,0
-1.1975502642626368e+16,269766512.439654,-44392102.3937516,0
1.1809919628070022e+16,200299437.656671,58961321.9399705,0
1.1712764103648122e+16,155730652.360932,75211680.7197459,0
-1.1374435343793454e+16,590999670.26085,-19246094.2300917,0
-1.1135531406446388e+16,158534614.352594,-70240379.0611939,0
-1.08637848634223e+16,164787587.967603,-65925989.9207828,0
1.0572178942413676e+16,290282932.38925,36420256.8004828,0
1.0548135175298716e+16,168950922.519396,62433131.5745717,0
1.0428659715691726e+16,116265204.545311,89697169.1270493,0
1.0362308370469062e+16,161116742.056422,64315528.2201537,0
9983360776836854.0,662682676.043338,15065069.8105528,0
-9079274134137966.0,136946990.08112,-66297726.7974994,0
8627685821923777.0,282476759.750792,30542993.4467364,0
-8585959862594887.0,692488454.302881,-12398704.7137678,0
-8565985997429661.0,110720862.864956,-77365600.0845788,0
-8078775460549372.0,1488398525.25714,-5427830.86885527,0
7327587195284128.0,91519589.8073687,80065778.3837024,0
7128151022952629.0,123899854.773197,57531552.6882657,0
7111119363942439.0,84182029.3292855,84473128.2982816,0
-6909582360899325.0,65130226.0332213,-106088720.73275,0
-6820239492956523.0,60753302.435511,-112261214.115828,0
6793337434472424.0,245568147.029651,27663756.5443379,0
-6789899024853207.0,86966769.4634184,-78074637.7811505,0
6702105387343706.0,405169082.863521,16541502.4758967,0
-6591373459461527.0,104549628.385619,-63045403.0419891,0
-6427900939238985.0,811175369.59475,-7924181.6013845,0
6372218192561255.0,168575749.68413,37800325.3997165,0
-6079583111331496.0,57181757.0817857,-106320326.999326,0
6051373883444250.0,109482109.65975,55272719.0063361,0
6000703802285617.0,71110154.0498695,84386032.9437246,0
5803867429557936.0,178907157.003184,32440666.5824702,0
-5728545492764549.0,181054631.216381,-31639872.7515469,0
5508300893493117.0,67163048.7030476,82013860.2976069,0
5408075866240658.0,86894795.4866641,62237051.5512709,0
5395106610355509.0,58571679.3555473,92111181.88375,0
5331404844212238.0,85672655.7877407,62229947.1773248,0
-5237514085676169.0,70985471.0481762,-73782902.4494546,0
5199454405693287.0,131523109.61789,39532629.8229953,0
5195623713839177.0,80732751.6339114,64355835.8743811,0
-5147285175529964.0,58112573.7532486,-88574379.7441466,0
5055013185130888.0,217237108.521355,23269565.7732618,0
4974714854526256.0,48195444.1195795,103219608.106179,0
4965119932003251.0,97373507.4465112,50990459.9537063,0
-4962772102476757.0,82214466.3021819,-60363733.1201048,0
4688312741476687.0,84545638.5964742,55453040.7399656,0
4635829036338401.0,67801852.4895544,68373191.3822355,0
-4616920089290549.0,74487086.6512845,-61982825.4379839,0
4535826536377172.0,564516395.014918,8034888.93578956,0
4534161401578764.0,43779097.7241944,103569092.038938,0
4443086717731597.0,41222003.2351055,107784347.412495,0
4430299509698392.0,47826609.6140579,92632522.8873463,0
4345648105298786.0,52669740.2127195,82507490.7859396,0
-4284113801528592.0,116947053.108729,-36632935.0560508,0
4250460390108969.0,85429871.9294072,49753795.6468111,0
-4212385173743903.0,204198816.584964,-20628842.2440058,0
-4175411449396806.0,49105500.5856977,-85029404.0300024,0
