"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",996265508839900,4305484.91542246,231394495.256789,0
"X",-572810724162.863,5521.39321666512,-103743874.360181,0
"ABC",-2449234403686106,1461455877.82167,-1675886.65580294,0
"nAcid",-374939172305420,11064687.0416108,-33886107.2975124,0
"nBase",-161523577353958,7245243.73940214,-22293739.6123111,0
"SpMax_A",503853212703087,29937545.6990278,16830144.2532562,0
"SpMAD_A",-204220637164924,25285540.6032685,-8076577.85013013,0
"VE1_A",207909615418097,10977930.735843,18938871.1243432,0
"VR1_A",65183273334685.2,3649678.74443238,17860003.0027637,0
"VR3_A",-44793739773512.3,12177966.7158588,-3678260.97891855,0
"nAromAtom",-68510312432186488,2933742468.31437,-23352531.1686783,0
"nSpiro",43705155013607.4,4098032.43912639,10664911.9212254,0
"nBridgehead",2478150700270.79,7326850.3035062,338228.651823949,0
"nHetero",-3029457408978169344,110655804541.017,-27377302.2711632,0
"nB",44134980401364544,1609632939.84534,27419282.5636416,0
"nN",1413220773920575744,52860760434.7889,26734779.4904309,0
"nO",2187717378357371136,79735248663.7664,27437267.8961936,0
"nS",389077277396259328,14613643161.0477,26624249.2107193,0
"nP",127117710569489584,4859000869.53848,26161285.8244999,0
"nF",657058402169996288,24083782241.3445,27282193.2861537,0
"nCl",386930953417217728,14313007653.6765,27033518.2359683,0
"nBr",78810613060689024,2961615595.16466,26610682.7602342,0
"nI",64964879163935632,2605668824.94809,24932132.0276493,0
"ATS0Z",101180142474035232,3555548413.81788,28456972.2298873,0
"AATS0dv",-5819541016041871,308928806.718913,-18837806.2824582,0
"AATS5dv",2979438422019272,81291742.4161296,36651181.7001981,0
"AATS6dv",-2084509368688191,62650346.130432,-33272112.5650039,0
"AATS7dv",2004536465600454,65430594.68226,30636072.8545225,0
"AATS8dv",-800025020084205,39232219.0949617,-20392040.9943609,0
"AATS0d",1358522015543818,169422279.440782,8018555.8831338,0
"AATS5d",-2316128191062886,58321834.3507959,-39712883.1224987,0
