"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",681486625462881,4404820.94061063,154713808.949612,0
"X",-252024520773.128,5696.41842301528,-44242627.921234,0
"ALogP",299114048861719,14249238.634853,20991581.1312262,0
"ALogp2",308477657976102,9947165.33191063,31011614.6342216,0
"AMR",431687072653809,97801254.266,4413921.64030643,0
"apol",-136328580948721136,1807480118.77116,-75424664.1680385,0
"naAromAtom",-18109245993882720,255321935.915856,-70927105.9257942,0
"nB",5849292161698484,218927072.12524,26717993.8274254,0
"nN",73360777497540800,796856699.162709,92062697.8158357,0
"nO",37389599560182320,2588412919.73732,14444990.3162965,0
"nS",30645948430121072,297120312.18521,103143229.100466,0
"nP",10678366503163482,118028796.312872,90472552.7731141,0
"nF",27801894361674412,594945928.061595,46730119.5795327,0
"nCl",26278093853838332,262477550.530593,100115586.269064,0
"nBr",3347414547231906,75763811.2931322,44182235.4247818,0
"nI",-7194651867957320,142729110.813763,-50407739.7171281,0
"ATS0m",43206394200049736,309070902.527742,139794441.491209,0
"ATS0s",29665070501866140,975409676.457986,30412934.3985895,0
"AATS0m",-11282664642380564,231700376.546654,-48695063.9033975,0
"AATS1m",-3645247877361128,223538520.672636,-16307023.3550461,0
"AATS2m",-1857202378948117,104472476.909836,-17776953.6425461,0
"AATS4m",1651545699308421,86177666.8387727,19164428.0924691,0
"AATS5m",-2450121706913393,61260762.5434636,-39994959.3375542,0
"AATS6m",-4266211035920315,47674301.8482655,-89486596.982553,0
"AATS7m",4362040806973172,80743216.0415664,54023619.8261858,0
"AATS8m",-2571372968934746,31339478.0512467,-82049004.2855852,0
"AATS0v",11518243168383110,363235500.459292,31710125.1221836,0
"AATS3v",-22944843425583168,145758507.581693,-157416838.346286,0
"AATS4v",-251480259726602,192624075.262785,-1305549.47185872,0
"AATS5v",1574082699991474,49198795.7658333,31994333.9158844,0
"AATS6v",1592729015276761,45453708.0586382,35040683.8804446,0
"AATS7v",229648331455693,32499949.6148299,7066113.46101606,0
"AATS0e",10574644522795128,247546148.112824,42717871.4086697,0
"AATS4e",-1617687774232281,105391855.620049,-15349267.4051043,0
"AATS5e",4668036169652868,94425552.6960195,49436154.0533471,0
"AATS6e",1609790076647512,100885388.516661,15956622.6617807,0
"AATS7e",-134758695987155,21692397.2089984,-6212254.67562684,0
"AATS8e",431442651716944,20388045.2986823,21161550.5751711,0
"AATS0p",-12299028433227072,516444585.194423,-23814807.6014718,0
"AATS1p",-7056280533764747,176964482.051947,-39873993.0857618,0
"AATS3p",21896166243501944,141948513.293386,154254283.722197,0
"AATS4p",-964553674537181,165233801.215008,-5837508.23042599,0
"AATS0i",-5451444836873421,165277348.301141,-32983617.4945202,0
"AATS1i",2920970304921808,112613523.938128,25938006.4025581,0
"AATS2i",-795098838924882,79264877.6453399,-10030909.8120664,0
"AATS3i",415642175972939,71717052.1394818,5795583.66627452,0
"AATS4i",-387836444468443,65199154.830087,-5948488.83362322,0
"AATS5i",-2473165546203240,67418686.7424031,-36683680.2332392,0
"AATS6i",-1037755371579216,72429020.4256682,-14327894.6129643,0
"AATS1s",-1480000317110820,65839524.4734455,-22478903.4997927,0
"AATS3s",2817794047234014,38266389.3558332,73636266.5688624,0
"AATS4s",1327488021551424,35062868.4581203,37860223.0772134,0
"AATS5s",-2109160960959142,41652858.9375489,-50636643.3123223,0
"AATS6s",1687126123762588,25728097.0909858,65575239.3111769,0
"AATS7s",-1439850689959544,18121676.6260634,-79454606.7491726,0
"AATS8s",1233230793866906,20269800.6821899,60840795.2896394,0
"ATSC0c",-5711100634035316,228690940.172978,-24973007.8057117,0
