"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",793569242514342,4653406.20854469,170535132.105418,0
"X",-283535230787.031,6078.98239500258,-46641890.4289178,0
"ALogP",930300379889505,15506402.7562482,59994596.7168078,0
"ALogp2",487367130388210,10940327.6919775,44547763.4774681,0
"AMR",-3400891325163488,105735805.760963,-32164046.0455929,0
"apol",-70462391628891304,2032886114.29689,-34661258.7558856,0
"naAromAtom",-14991745930551924,286966385.44591,-52242167.3439438,0
"nB",973512945445546,244144657.812234,3987443.15836824,0
"nN",45023344674707584,877861024.00836,51287554.001576,0
"nO",-38951190793170384,2978128063.81733,-13079085.2369334,0
"nS",18897131840330284,326693271.225101,57843651.8434125,0
"nP",5199454405693287,131523109.61789,39532629.8229953,0
"nF",9983360776836854,662682676.043338,15065069.8105528,0
"nCl",17774276356928720,290754155.162574,61131633.1730162,0
"nBr",4688312741476687,84545638.5964742,55453040.7399656,0
"nI",2840079949747257,163584440.613699,17361553.0859322,0
"ATS0m",38239864755324624,345306931.285955,110741665.720163,0
"ATS0s",33350237116994304,1095045667.90201,30455567.3745458,0
"AATS0m",-11975502642626368,269766512.439654,-44392102.3937516,0
"AATS1m",-2795991380361830,252404625.228409,-11077417.3723308,0
"AATS2m",1101669751723150,121544070.607309,9063953.06836878,0
"AATS4m",1396262908901125,94768654.72567,14733383.236714,0
"AATS5m",-1294869306799408,67893640.7385576,-19072026.3740995,0
"AATS6m",-3935400086205724,53456575.2450378,-73618634.717364,0
"AATS7m",1893020967132162,89894303.0048637,21058297.3987767,0
"AATS8m",-2095024931226256,35460679.3731041,-59080225.4289373,0
"AATS0v",6702105387343706,405169082.863521,16541502.4758967,0
"AATS3v",-11135531406446388,158534614.352594,-70240379.0611939,0
"AATS4v",-4125891085059317,214430213.825038,-19241183.4669241,0
"AATS5v",-916853004886827,56874308.4880161,-16120688.3962381,0
"AATS6v",2766522316049196,50936251.3990519,54313425.9012372,0
"AATS7v",1042785763362152,36398748.2590765,28648945.7258223,0
"AATS0e",8627685821923777,282476759.750792,30542993.4467364,0
"AATS4e",2074782202296092,121198065.698853,17118938.246518,0
"AATS5e",6051373883444250,109482109.65975,55272719.0063361,0
"AATS6e",1551218073998468,110997750.511285,13975220.8207207,0
"AATS7e",-1290868320004751,35896123.0107788,-35961218.4195249,0
"AATS8e",1591322196525652,23215206.049382,68546546.3085138,0
"AATS0p",-11374435343793454,590999670.26085,-19246094.2300917,0
"AATS1p",-4212385173743903,204198816.584964,-20628842.2440058,0
"AATS3p",11712764103648122,155730652.360932,75211680.7197459,0
"AATS4p",1603457997471925,185381022.98415,8649526.10391526,0
