"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.700047139951903,7.63481274637061,0.0916914616255241,0.926943181449722
"X",0.000171916937737585,0.000163420299691111,1.05199254965591,0.292802967853459
"MaxEStateIndex",0.0988767345266329,0.162797102452034,0.607361759130605,0.5436108607712
"MinEStateIndex",-0.00311247302344609,0.231218612862745,-0.0134611698639231,0.989259864753833
"MinAbsEStateIndex",-0.0347825866954742,0.101403948199154,-0.343010181686045,0.731590800453691
"qed",0.231334594374115,0.135252989617733,1.71038433256033,0.0871948262877166
"MolWt",4.44338071249533,2.85617875081471,1.55570820321658,0.119777495032922
"MaxPartialCharge",0.0156294086095501,0.156694627563335,0.0997443808546198,0.920547265379373
"MinPartialCharge",0.143329181836096,0.11840081733304,1.21054216570936,0.226070921128718
"FpDensityMorgan1",-0.107565866067313,0.122252709589459,-0.87986488339223,0.378932510347071
"BCUT2D_MWHI",-0.454879441970233,0.218338782250488,-2.0833652971847,0.0372179389564316
"BCUT2D_MWLOW",0.0768095887295994,0.153261240175149,0.501167735833408,0.616253079035892
"BCUT2D_CHGHI",0.447232057510802,0.32082275635286,1.39401600620534,0.16331277121684
"BCUT2D_CHGLO",0.278096501814289,0.310667299117049,0.89515859121533,0.370702316841996
"BCUT2D_LOGPHI",-0.0864362596657992,0.246996231197654,-0.34994971075745,0.726376439086534
"BCUT2D_LOGPLOW",-0.66534235754319,0.260356485551786,-2.55550521867392,0.0106033771086731
"BCUT2D_MRHI",0.32284437477604,0.241717909686685,1.33562455175337,0.181672021132282
"BCUT2D_MRLOW",-0.233445926396371,0.148701153096356,-1.56989990686288,0.1164383992803
"BalabanJ",-0.0919740767953539,0.169672560241519,-0.542068067249259,0.587771615885883
"HallKierAlpha",-2.73554519854587,1.25392238396793,-2.18159053026031,0.0291397664044796
"Ipc",-0.327908948202083,63.6350740760786,-0.00515295932255933,0.995888551509301
"Kappa3",0.189175330491759,0.258073754606735,0.733028163906219,0.463541251986295
"PEOE_VSA1",-2.6537180248466,1.58960782525329,-1.66941681003851,0.0950348044886749
"PEOE_VSA10",-1.81768368255616,1.08660598070042,-1.67280846492717,0.0943650079236469
"PEOE_VSA11",-1.34413508125783,0.729917919208746,-1.8414879891083,0.06555007910765
"PEOE_VSA12",-1.27712218871496,0.612862999178288,-2.08386244630087,0.0371726811437068
"PEOE_VSA13",-0.837762272235371,0.423146231780424,-1.97984103204799,0.0477213941324402
"PEOE_VSA14",-2.47411512798692,1.24204698619092,-1.9919658076499,0.0463748095977621
"PEOE_VSA2",-1.21894307443426,0.8068982381848,-1.51065278959636,0.130876936611947
"PEOE_VSA3",-1.3764234291503,0.698414044856135,-1.9707842923374,0.0487485541281223
"PEOE_VSA4",-0.937622448956796,0.506429521851104,-1.85143718622404,0.0641066835022975
"PEOE_VSA5",-0.973674683038046,0.579897858886322,-1.67904514237725,0.0931432462233924
"PEOE_VSA6",-3.94692082384522,2.12849469038044,-1.85432495635672,0.0636926837963624
"PEOE_VSA7",-4.68749185377633,2.4946675709773,-1.8790046049863,0.0602438644437395
"PEOE_VSA8",-2.86657026998451,1.55415620689984,-1.84445441021827,0.0651169440475901
"PEOE_VSA9",-2.69402439114757,1.44753761501283,-1.8611083837871,0.062728872516568
"SMR_VSA1",-1.40232857040338,1.30508686427883,-1.07450975776872,0.282594273773669
"SMR_VSA10",0.0320472565592418,0.44697277556345,0.071698453040777,0.94284188729056
"SMR_VSA2",0.112414740982522,0.275208149865876,0.408471700555772,0.68292740284667
"SMR_VSA3",1.4407617052966,0.881383009833972,1.63466017522621,0.102120305406403
"SMR_VSA4",1.08337370207811,0.602740822913211,1.79741218927543,0.0722702070593743
"SMR_VSA5",1.51667638387255,2.06397969081978,0.734831059926831,0.462442388425076
"SMR_VSA6",1.5998861129886,1.10042639538475,1.45387835088163,0.145980035932471
"SMR_VSA7",0.458247965780629,1.49069337422116,0.307405918417025,0.758534423902222
"SlogP_VSA1",-0.831586398841947,0.80157678584109,-1.0374382261699,0.299531671013441
"SlogP_VSA10",0.0916115157428543,0.662904471494065,0.13819716065028,0.890084599039897
"SlogP_VSA11",0.793059875796027,0.593596546403889,1.33602508404155,0.181541074603391
"SlogP_VSA12",1.13656907529415,0.817525592546519,1.39025503991115,0.164451445254336
"SlogP_VSA2",0.0589987482744121,1.6531137451502,0.0356894668908893,0.971529969406265
"SlogP_VSA3",0.694098290809535,0.409517753822183,1.69491623826136,0.0900913116318563
"SlogP_VSA4",-0.0262302455881808,0.347046986015209,-0.0755812516609242,0.939752252799769
"SlogP_VSA5",1.37228124743798,0.638982027928223,2.1476053902288,0.0317451168605209
"SlogP_VSA7",0.322193112926556,0.226700807226308,1.42122613884176,0.155251028052315
"SlogP_VSA8",0.663664959267476,0.4502434288054,1.47401364863521,0.140477916361104
"TPSA",0.41686195927006,1.66321570179384,0.250636137465788,0.802095439631737
"EState_VSA1",2.07127113698962,1.44414864078458,1.43425065709603,0.151500745736414
"EState_VSA10",-0.380106741813544,0.391360202918554,-0.971245259428302,0.331426160844345
"EState_VSA11",-0.281956889379842,0.166090117418991,-1.69761388432617,0.0895806605812597
"EState_VSA2",0.645228893040219,0.719610660012856,0.896636096286695,0.369913130249084
"EState_VSA3",0.755003295324963,0.75300954790149,1.00264770536978,0.316030869785607
"EState_VSA4",0.678651259584023,0.942003581625782,0.720433842101487,0.471257919606243
"EState_VSA5",0.45416595977848,0.741007134093358,0.612903626540876,0.539940065204484
"EState_VSA6",0.279605702256943,0.680782237269496,0.410712393699334,0.681283438009518
"EState_VSA7",0.299249044651561,0.827464176260506,0.361645921644529,0.717616643590889
"EState_VSA8",0.249638951354589,0.870409404227294,0.286806358182913,0.774260594258318
"VSA_EState1",1.2347576135112,1.92632748214526,0.640990498737062,0.52152885602911
"VSA_EState10",0.121746855885973,0.787229080104755,0.154652386405456,0.877095368401231
"VSA_EState2",0.224104082425729,2.08079304088998,0.107701284088243,0.914232650885134
"VSA_EState3",-0.322982836257134,1.90529572028909,-0.169518480946426,0.865388837030495
"VSA_EState4",0.133330186837447,0.549907715980285,0.242459203540666,0.808424364713513
"VSA_EState5",0.132921359666079,0.330422385338361,0.402277102170192,0.687480104345411
"VSA_EState6",0.393263536859772,1.12081191551396,0.350873800872679,0.725683027314044
"VSA_EState7",-0.108379263892716,0.744711794553551,-0.145531821417826,0.88429099332714
"VSA_EState8",-0.118760114633511,0.564886500936716,-0.210237126283915,0.833482604432262
"VSA_EState9",0.211971178507725,0.451195531654472,0.469798931142903,0.638498678127907
"FractionCSP3",-0.451827829791347,0.209265704822058,-2.15911073520405,0.0308415770057702
"NHOHCount",0.69965145022912,1.04604856969733,0.668851782314045,0.503590030891303
"NumAliphaticCarbocycles",-0.392591444459542,0.378044050009435,-1.03848068617862,0.299046322446984
"NumAliphaticHeterocycles",-0.638865294002801,0.351603492171151,-1.81700497357921,0.0692163517966313
"NumAromaticCarbocycles",-0.309206552694248,0.516385045791544,-0.598790679966882,0.549312478145519
"NumAromaticHeterocycles",-0.377869635160611,0.45298221009138,-0.834182064422318,0.404178396426836
"NumRotatableBonds",-0.11949395001327,0.252963516010726,-0.472376222064385,0.636658273421765
"NumSaturatedHeterocycles",0.268741226336407,0.282034485618752,0.952866546609784,0.340657691799289
"NumSaturatedRings",-0.150921059386464,0.343816242938593,-0.43895849159581,0.660691613099863
"MolLogP",0.721939815532419,1.39848158975327,0.51623119018663,0.605692948532981
"fr_Al_COO",-0.149386586887352,0.315240196893337,-0.473881783984222,0.635584209787108
"fr_Al_OH",0.561400243568171,0.662454870748717,0.847454322335447,0.396741936903648
"fr_ArN",-0.572002042745359,0.168063772555879,-3.40348210709821,0.00066532770896512
"fr_Ar_COO",0.00499095524879386,0.154488211362202,0.0323063825050859,0.974227719360076
"fr_Ar_N",0.102417875647629,0.577153776173649,0.177453357970952,0.859152298680996
"fr_Ar_NH",-0.178480031282604,0.147883054487875,-1.20689981621416,0.227470728484771
"fr_Ar_OH",-0.392866793453132,0.315369723130592,-1.24573402149466,0.212862059068749
"fr_C_S",-0.317845653241378,0.10990180427148,-2.89208767179322,0.00382691140266814
"fr_HOCCN",0.0541019902001635,0.0703152071546546,0.76942090323604,0.441643483390376
"fr_Imine",0.103016761339275,0.185416368107152,0.555596910838755,0.578486443727498
"fr_NH0",-1.0472819889888,0.821298741385093,-1.27515352966765,0.202254905713943
"fr_NH1",-0.272790982284414,0.765229427856577,-0.356482608161721,0.721479174435363
"fr_NH2",-0.00974527671820593,0.573017107061873,-0.0170069559845683,0.986431066502068
