smiles,pki_cb1,pki_cb2,diff,cb1
O=C(c1c2ccccc2n(CCCCCC)c1C)c3cccc4ccccc43,"7,32","8,40","-1,08",0
O=C(c1c2ccccc2n(CCCCC)c1)c3cccc4ccc(OC)cc43,"8,18","8,16","0,02",0
Fc1ccc(C(=O)c2c3ccccc3n(CCCCC)c2C)c4ccccc14,"7,85","8,66","-0,81",0
O=C(c1c2ccccc2n(n1)CCCCC)c3cccc4ccccc43,"8,23","8,34","-0,11",0
FCCCCCn1c2ccccc2c(n1)C(=O)NC34CC5CC(C3)CC(C4)C5,"8,71","9,58","-0,87",0
Fc1ccc(Cn2c3ccccc3c(n2)C(=O)N[C@@H](C(C)C)C(OC)=O)cc1,"8,00","9,10","-1,10",0
F[C@@H](Cn1cc(C(=O)C2C(C2(C)C)(C)C)c3ccccc31)CCC,"7,23","8,74","-1,51",0
O=C(c1cn(CCCCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,96","8,15","-0,19",0
Clc1cccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)c1,"7,15","7,80","-0,65",0
FC(F)(F)c1ccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)cc1,"6,66","7,28","-0,62",0
O=C(c1cn(CCCCC)c(-c2ccc(CC)cc2)c1)c3cccc4ccccc43,"7,47","7,54","-0,07",0
O=C(c1cn(c(-c2ccccc2C)c1)CCCCC)c3cccc4ccccc43,"8,25","8,40","-0,15",0
O=C(c1cn(c2ccccc21)CCC)c3ccc(c4ccccc43)CCC,"7,59","8,02","-0,43",0
O=C(c1c2ccccc2n(CCCCC)c1C)Cc3ccc(C)cc3,"6,13","5,87","0,26",1
Fc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2C,"7,41","7,12","0,29",1
ClCCCCCn1c2ccccc2c(n1)C(=O)N[C@@H](C(C)C)C(=O)N,"8,39","7,92","0,47",1
FCCCCCn1c2ccccc2c(n1)C(=O)N[C@H](Cc3ccccc3)C(=O)N,"6,90","7,76","-0,86",0
O=C(Oc1cccc2cccnc21)c3c4ccccc4n(CC5CCCCC5)c3,"9,66","9,47","0,19",1
O=C(C1C(C1(C)C)(C)C)c2c3ccccc3n(CC4CCOCC4)c2,"7,60","9,25","-1,65",0
O=C(N)[C@@H](NC(=O)c1c2ccccc2n(n1)CCCCC)C(C)C,"8,54","9,06","-0,52",0
FCCCCCn1cc(c2ccccc21)C(=O)c3ccc(F)c4ccccc43,"9,07","8,72","0,35",1
Clc1ccc(C(=O)c2c3ccccc3n(CCCCC)c2C)c4ccccc14,"8,05","8,64","-0,59",0
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(c4ccccc34)CCC,"7,28","7,92","-0,64",0
O=C(c1c2ccccc2n(CCCCC)c1)c3ccccc3OC,"7,58","8,54","-0,96",0
O=C(c1cn(c(-c2ccccc2CC)c1)CCCCC)c3cccc4ccccc43,"7,77","8,47","-0,70",0
O=C(c1c2ccccc2n(CCCCC)c1)c3cccc4ccc(CC)cc34,"8,08","8,42","-0,34",0
O=C(c1c2ccccc2n(CCCC)c1C)c3cccc4ccccc43,"7,66","8,37","-0,71",0
Clc1ccccc1-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43,"8,10","8,28","-0,18",0
O=C(c1cn(CCCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,85","8,19","-0,34",0
O=C(c1c2ccccc2n(CCCC)c1C)c3ccc(OC)c4ccccc43,"7,47","7,88","-0,41",0
